stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,30439,255,218.0,156.0,255.0,21,108.0,13.0,219.0,35,108.0,22.0,214.0
green_reproductive_organ,7221,214,140.0,47.0,213.0,221,217.0,43.0,244.0,72,115.0,55.0,205.0
