island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,fragment_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Toshima,2,toshima3~6,,3|4|5|6,,,,1,313,937,3,1,not_triggered,25.91,21.84,0.843,,,,420.7,8.276,1.948,43,10.12,0.918,1,0.028,0,5.85,18.24,6,0.939,1.17,,42,1,0,1.757,0.191,0.1925,0.1014,1.1657,0.0,162,47.505,11.18,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,26.038,21.783,424.964,4.01,21.943,16.678,21.528,14.806,5.309,22.134,0.2419,1.1264,1.0193,1.979,1.77,0.154,0.7656,0.5492,2,opened_or_broad,flat_span_over_pi,0.0851,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima3~6,,3|4|5|6,,,,2,682,968,2,1,not_triggered,30.14,20.15,0.669,,,,438.1,3.635,0.821,39,8.814,0.983,1,0.133,1,5.39,25.38,5,0.907,1.45,,36,3,0,0.669,0.152,0.0932,0.0434,1.1295,0.0,0,3.635,0.821,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,30.292,19.741,442.421,4.696,25.512,17.018,18.38,10.126,5.417,23.047,0.2123,1.6807,1.388,0.813,1.077,0.155,0.8621,0.3828,5,opened_or_broad,flat_span_over_pi,0.5745,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima3~6,,3|4|5|6,,,,3,1105,930,1,1,not_triggered,24.3,22.35,0.92,,,,353.6,18.528,5.187,135,37.794,0.832,1,0.02,0,5.09,14.86,6,0.697,1.1,,133,2,0,4.65,0.537,0.1372,0.0579,2.0346,0.0,214,67.64,18.936,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,24.421,20.481,357.136,8.693,15.643,15.657,19.231,13.7,4.984,19.507,0.3186,1.1429,0.8134,6.538,1.767,0.356,0.7644,0.3067,6,opened_or_broad,flat_span_over_pi,0.8572,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima3~6,,3|4|5|6,,,,4,1438,939,4,1,not_triggered,24.13,17.61,0.73,,,,347.2,58.901,16.796,102,29.086,0.891,1,0.13,1,5.36,13.09,7,0.924,1.39,,92,10,3,15.586,1.21,0.5775,0.0869,18.6297,0.0,228,140.161,39.968,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,24.251,17.444,350.713,3.16,21.006,15.401,17.103,13.189,4.902,18.876,0.2334,1.1677,1.2282,16.646,19.363,0.1303,0.8829,0.628,3,opened_or_broad,flat_span_over_pi,0.1764,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima3~6,,3|4|5|6,,,,5,454,1340,5,1,not_triggered,42.5,24.89,0.586,,,,711.4,0.818,0.114,20,2.783,,0,0.0,0,14.93,31.93,3,0.778,1.5,,13,7,0,0.041,0.073,0.0409,0.029,0.1231,0.0,0,0.818,0.114,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,42.716,24.506,718.616,9.18,33.451,22.719,16.593,11.147,7.232,41.075,0.2162,2.0382,2.016,0.137,0.032,0.2149,0.9271,0.3644,6,opened_or_broad,flat_span_over_pi,0.8258,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima3~6,,3|4|5|6,,,,6,1034,1345,6,1,not_triggered,21.17,14.48,0.684,,,,228.6,0.0,0.0,0,0.0,,0,0.0,0,8.68,13.59,2,0.927,1.29,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,21.273,14.38,230.906,3.744,17.444,13.189,13.785,9.02,4.198,13.843,0.2407,1.4623,1.2654,0.007,0.036,0.176,0.9172,0.7108,2,opened_or_broad,flat_span_over_pi,0.0764,shape_end_complexity,boundary_sinuses,orientation,,,auto_unreviewed
Toshima,2,toshima3~6,,3|4|5|6,,,,7,417,1773,7,1,not_triggered,33.36,27.52,0.825,,,,686.9,58.698,8.461,111,15.999,0.964,1,0.006,0,7.44,29.94,4,0.912,1.18,,107,4,1,7.927,0.533,0.5288,0.1738,18.1663,0.0,398,106.645,15.371,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,33.526,27.399,693.81,4.023,29.418,25.357,25.017,13.359,8.071,51.167,0.2744,1.8981,1.1759,8.402,9.422,0.12,0.9255,0.421,4,opened_or_broad,flat_span_over_pi,0.5628,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima3~6,,3|4|5|6,,,,8,923,1817,8,1,not_triggered,36.83,32.17,0.873,,,,680.6,34.284,4.987,140,20.366,0.869,1,0.021,0,7.73,21.46,4,0.712,1.1,,130,10,0,4.622,0.365,0.2449,0.0724,2.7586,0.0,348,82.396,11.986,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,37.015,31.169,687.511,18.154,18.776,26.208,21.783,7.233,8.342,54.659,0.4443,3.6235,0.8619,6.163,3.545,0.4904,0.8408,0.4247,4,opened_or_broad,flat_span_over_pi,0.188,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima3~6,,3|4|5|6,,,,9,1455,1852,9,1,not_triggered,36.83,31.16,0.846,,,,809.3,9.109,1.114,103,12.6,0.938,1,0.069,0,6.28,32.01,5,0.833,1.11,,102,1,0,1.035,0.079,0.0884,0.0434,1.4046,0.0,203,73.505,8.992,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,37.015,29.042,817.39,13.299,23.63,25.272,28.42,15.912,8.044,50.824,0.3404,1.5882,0.8315,0.729,2.07,0.3593,0.8702,0.5963,6,opened_or_broad,flat_span_over_pi,0.1207,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima3~6,,3|4|5|6,,,,10,298,2288,10,1,not_triggered,34.29,24.13,0.704,,,,584.1,3.519,0.596,44,7.458,0.802,1,0.012,0,6.25,27.35,4,0.872,1.31,,44,0,0,0.596,0.0,0.08,0.0362,0.362,0.0,0,3.519,0.596,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50,34.462,23.996,589.917,6.892,27.485,19.741,21.698,14.551,6.284,31.012,0.2286,1.3567,1.2667,0.698,0.122,0.2,0.8227,0.4295,4,opened_or_broad,flat_span_over_pi,0.4453,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
