island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,fragment_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Oshima,1,oshima6,6,,,,,1,628,1116,3,1,not_triggered,37.0,27.01,0.73,,,,704.0,127.469,18.106,108,15.341,0.784,1,0.008,0,7.28,30.91,4,0.883,1.28,,87,21,5,16.812,1.294,1.1803,0.1004,73.6917,0.0,661,216.967,30.819,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,36.999,26.839,703.985,6.004,30.911,22.86,23.961,12.531,7.277,41.586,0.2354,1.8243,1.2901,19.988,0.129,0.1623,0.8517,0.3573,4,opened_or_broad,flat_span_over_pi,0.0828,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima6,6,,,,,2,1237,1073,2,1,not_triggered,31.58,23.88,0.756,,,,548.6,125.577,22.892,99,18.047,0.876,1,0.002,0,5.44,26.91,5,0.908,1.3,,71,28,3,21.304,1.588,1.2685,0.1362,87.7132,0.0,517,185.634,33.839,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,31.581,22.86,548.644,4.611,26.886,17.103,20.405,14.139,5.444,23.277,0.2025,1.2096,1.3176,24.663,0.887,0.146,0.7481,0.3291,5,opened_or_broad,flat_span_over_pi,0.1981,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima6,6,,,,,3,587,1806,5,1,not_triggered,34.21,26.92,0.787,,,,691.7,11.62,1.68,51,7.373,0.342,1,0.104,1,14.34,30.81,3,0.941,1.25,,45,6,0,1.616,0.064,0.2278,0.0573,1.7133,0.0,143,73.606,10.642,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,34.205,26.839,691.641,4.105,30.016,23.199,24.892,12.869,7.384,42.827,0.246,1.8026,1.2059,1.841,0.051,0.12,0.8644,0.2325,3,opened_or_broad,flat_span_over_pi,0.088,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima6,6,,,,,4,1240,1769,4,1,not_triggered,35.39,24.72,0.699,,,,624.2,54.029,8.655,77,12.336,0.878,1,0.036,0,5.2,31.42,5,0.833,1.39,,65,12,2,7.822,0.834,0.7017,0.1219,34.9605,0.0,398,125.864,20.164,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,35.391,24.481,624.214,4.247,31.059,18.965,22.521,11.769,6.037,28.623,0.1944,1.6115,1.3791,9.207,0.059,0.12,0.7747,0.3036,5,opened_or_broad,flat_span_over_pi,0.0873,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima6,6,,,,,5,591,2389,6,1,not_triggered,32.26,24.21,0.75,,,,548.0,107.677,19.648,70,12.773,0.905,1,0.004,0,7.3,24.44,4,0.897,1.31,,55,15,2,18.321,1.326,1.5382,0.0968,89.6486,0.0,448,163.813,29.891,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,32.258,22.945,548.014,6.502,25.671,21.844,19.812,10.16,6.953,37.971,0.2709,2.15,1.2957,23.697,2.839,0.2016,0.952,0.3822,4,opened_or_broad,flat_span_over_pi,0.8719,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Oshima,1,oshima6,6,,,,,6,1252,2479,7,1,not_triggered,32.26,24.89,0.772,,,,553.2,42.76,7.73,60,10.846,0.671,1,0.033,0,4.2,28.71,9,0.875,1.29,,54,6,3,6.714,1.016,0.7127,0.1577,12.2509,0.0,278,90.523,16.364,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,32.258,24.553,553.139,3.871,28.302,16.256,20.235,10.075,5.174,21.029,0.1828,1.6134,1.3987,8.233,0.022,0.12,0.6621,0.3004,9,opened_or_broad,flat_span_over_pi,0.999,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
