island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,fragment_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Toshima,2,toshima6~8,,6|7|8,,,,1,322,1134,2,1,shimask_red_outline_from_raw_difference,28.87,22.86,0.792,,check,,448.0,121.147,27.043,138,30.806,0.962,1,0.019,0,12.34,19.24,3,0.93,1.29,,125,13,7,24.934,2.109,0.8779,0.19,32.0788,0.0,591,185.641,41.441,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,28.871,22.267,448.1,8.106,20.68,17.357,19.727,14.224,5.525,23.973,0.2672,1.2202,1.0483,25.813,33.562,0.2808,0.7795,0.5,3,opened_or_broad,flat_span_over_pi,0.143,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima6~8,,6|7|8,,,,2,744,1138,3,1,shimask_red_outline_from_raw_difference,28.11,22.01,0.783,,check,,429.0,117.355,27.355,110,25.641,0.952,1,0.028,0,12.13,17.36,3,0.898,1.17,,85,25,9,23.594,3.761,1.0669,0.2079,26.8458,0.0,527,182.043,42.434,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,28.109,21.759,428.939,6.445,21.58,18.542,19.05,13.547,5.902,27.359,0.2735,1.3687,1.1328,28.369,20.652,0.2293,0.8521,0.4931,3,opened_or_broad,flat_span_over_pi,0.2448,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima6~8,,6|7|8,,,,3,1304,1034,1,1,shimask_red_outline_from_raw_difference,38.86,27.09,0.697,,check,,749.5,60.05,8.012,125,16.678,0.996,1,0.055,0,5.52,31.32,5,0.878,1.4,,106,19,4,7.051,0.961,0.4804,0.086,17.8853,0.0,481,172.308,22.989,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,38.862,26.416,749.483,7.454,31.324,17.357,22.183,21.505,5.525,23.973,0.1764,0.8071,1.4121,8.767,0.572,0.1918,0.6571,0.368,5,opened_or_broad,flat_span_over_pi,0.5184,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima6~8,,6|7|8,,,,4,236,1575,5,1,shimask_red_outline_from_raw_difference,26.84,19.81,0.738,,check,,429.5,51.914,12.086,154,35.852,0.984,1,0.035,0,5.42,23.11,5,0.917,1.34,,137,17,1,10.138,1.948,0.3371,0.1577,5.1828,0.0,401,145.584,33.892,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,26.839,19.643,429.541,3.347,23.408,16.341,18.457,14.478,5.201,21.249,0.2222,1.1287,1.2682,12.588,3.986,0.1247,0.8319,0.4514,5,opened_or_broad,flat_span_over_pi,0.2453,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima6~8,,6|7|8,,,,5,785,1610,6,1,shimask_red_outline_from_raw_difference,28.7,22.94,0.799,,check,,497.5,115.871,23.291,148,29.75,0.967,1,0.004,0,12.07,24.29,3,0.918,1.21,,127,21,4,21.523,1.768,0.7829,0.1039,69.6702,0.0,526,187.577,37.705,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,28.702,22.691,497.49,4.323,24.294,18.965,20.235,15.24,6.037,28.623,0.2485,1.2444,1.2006,24.865,6.332,0.1506,0.8358,0.3425,3,opened_or_broad,flat_span_over_pi,0.1932,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima6~8,,6|7|8,,,,6,1234,1584,4,1,shimask_red_outline_from_raw_difference,34.54,24.89,0.721,,check,,645.9,86.021,13.319,145,22.45,0.926,1,0.02,0,14.12,29.82,3,0.929,1.34,,134,11,4,12.521,0.798,0.5933,0.1075,26.9534,0.0,486,173.534,26.868,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,34.544,24.638,645.849,4.635,29.825,22.183,22.775,14.563,7.061,39.158,0.2367,1.5233,1.3095,13.914,4.8,0.1342,0.9003,0.355,3,opened_or_broad,flat_span_over_pi,0.1829,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima6~8,,6|7|8,,,,7,737,2038,7,1,shimask_red_outline_from_raw_difference,32.17,23.79,0.74,,check,,557.8,64.624,11.585,110,19.719,0.847,1,0.013,0,5.96,26.83,4,0.931,1.19,,100,10,3,10.668,0.916,0.5875,0.0932,29.9426,0.0,340,117.641,21.089,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,32.173,23.453,557.906,5.182,26.907,18.373,22.86,15.494,5.848,26.862,0.2173,1.1858,1.177,12.111,0.651,0.1611,0.7834,0.249,4,opened_or_broad,flat_span_over_pi,0.24,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima6~8,,6|7|8,,,,8,286,2043,9,1,shimask_red_outline_from_raw_difference,28.28,21.0,0.743,,check,,392.2,50.337,12.834,80,20.397,0.814,1,0.003,0,3.15,23.37,5,0.95,1.12,,76,4,1,12.039,0.795,0.6292,0.086,34.5376,0.0,202,86.172,21.971,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,28.279,20.743,392.107,4.82,23.374,9.906,20.489,12.531,3.153,7.809,0.1349,0.7905,1.1408,13.506,0.451,0.1705,0.4776,0.257,5,opened_or_broad,flat_span_over_pi,0.0864,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima6~8,,6|7|8,,,,9,1278,2077,8,1,shimask_red_outline_from_raw_difference,32.43,27.01,0.833,,check,,648.0,40.81,6.298,142,21.915,0.948,1,0.02,0,14.77,27.37,3,0.91,1.2,,136,6,0,5.716,0.582,0.2874,0.1577,2.0932,0.0,450,106.745,16.474,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,32.427,26.839,648.021,4.969,27.374,23.199,23.791,15.833,7.384,42.827,0.2698,1.4652,1.1506,6.772,1.178,0.1532,0.8644,0.4506,3,opened_or_broad,flat_span_over_pi,0.2011,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima6~8,,6|7|8,,,,10,317,2524,10,1,shimask_red_outline_from_raw_difference,39.79,34.46,0.866,,check,,776.6,11.176,1.439,127,16.352,0.989,1,0.048,0,14.5,21.09,2,0.881,1.0,,126,1,0,1.301,0.138,0.088,0.043,1.0753,0.0,214,85.125,10.961,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,39.793,34.121,776.687,22.077,17.632,28.194,29.379,15.579,8.974,63.256,0.509,1.8098,0.6001,2.179,0.503,0.5548,0.8263,0.3206,2,opened_or_broad,flat_span_over_pi,0.5516,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
