island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Toshima,toshima6~8,1,1,351.8,992.4,0.0358,0.2136,weak_recovered,0.0,-0.2,-1.0,0.0,,
Toshima,toshima6~8,1,2,322.87,999.34,0.4444,0.7523,mixed,0.629,7.984,8.0,0.0,,
Toshima,toshima6~8,1,3,342.8,1001.98,1.1756,1.2235,mixed,0.97,11.024,11.0,0.0,,
Toshima,toshima6~8,1,4,316.33,1011.67,0.0215,0.1655,strong,1.0,3.333,3.0,0.0,,
Toshima,toshima6~8,1,5,294.12,1014.58,1.7348,1.4862,mixed,0.971,14.558,14.5,0.0,,
Toshima,toshima6~8,1,6,348.0,1015.38,0.172,0.468,mixed,0.833,8.5,6.0,0.0,,
Toshima,toshima6~8,1,7,245.41,1025.37,0.1935,0.4964,strong,1.0,13.37,14.0,0.0,,
Toshima,toshima6~8,1,8,266.56,1032.95,5.5914,2.6682,mixed,0.953,16.127,14.0,0.0,check,
Toshima,toshima6~8,1,9,225.85,1035.28,3.2688,2.0401,mixed,0.928,13.671,13.0,0.0,check,
Toshima,toshima6~8,1,10,296.0,1035.67,0.043,0.234,mixed,0.167,1.167,1.0,0.0,,
Toshima,toshima6~8,1,11,320.08,1047.75,0.172,0.468,mixed,0.958,6.042,4.5,0.0,,
Toshima,toshima6~8,1,12,301.5,1049.5,0.0287,0.1911,strong,1.0,10.75,13.0,0.0,,
Toshima,toshima6~8,1,13,340.12,1049.9,15.4337,4.4329,mixed,0.966,16.481,15.0,0.0,check,
Toshima,toshima6~8,1,14,291.59,1050.48,0.1935,0.4964,mixed,0.963,10.519,11.0,0.0,,
Toshima,toshima6~8,1,15,231.31,1057.0,0.0932,0.3445,strong,1.0,10.077,11.0,0.0,,
Toshima,toshima6~8,1,16,296.67,1057.11,0.0645,0.2866,strong,1.0,6.556,6.0,0.0,,
Toshima,toshima6~8,1,17,239.38,1058.77,0.0932,0.3445,mixed,0.923,6.077,6.0,0.0,,
Toshima,toshima6~8,1,18,310.23,1061.69,0.1864,0.4871,mixed,0.923,6.808,6.0,0.0,,
Toshima,toshima6~8,1,19,280.19,1062.1,0.2222,0.5319,mixed,0.935,11.161,11.0,0.0,,
Toshima,toshima6~8,1,20,223.11,1062.33,0.0645,0.2866,strong,1.0,8.111,9.0,0.0,,
Toshima,toshima6~8,1,21,257.08,1064.51,1.1326,1.2009,mixed,0.886,12.272,12.0,0.0,,
Toshima,toshima6~8,1,22,216.68,1067.48,0.2222,0.5319,mixed,0.903,8.419,9.0,0.0,,
Toshima,toshima6~8,1,23,291.91,1069.36,0.0789,0.3169,mixed,0.909,6.091,4.0,0.0,,
Toshima,toshima6~8,1,24,206.15,1072.88,0.2366,0.5488,mixed,0.788,6.515,6.0,0.0,,
Toshima,toshima6~8,1,25,226.61,1073.63,0.3297,0.648,strong,1.0,11.826,12.0,0.0,,
Toshima,toshima6~8,1,26,250.32,1075.42,0.2222,0.5319,strong,1.0,9.613,9.0,0.0,,
Toshima,toshima6~8,1,27,325.56,1075.88,0.1147,0.3821,mixed,0.688,4.125,4.0,0.0,,
Toshima,toshima6~8,1,28,370.0,1076.0,0.0215,0.1655,strong,1.0,2.667,3.0,0.0,,
Toshima,toshima6~8,1,29,278.1,1076.56,0.6237,0.8911,mixed,0.897,10.0,11.0,0.0,,
Toshima,toshima6~8,1,30,261.11,1076.89,0.2509,0.5652,mixed,0.886,8.743,9.0,0.0,,
Toshima,toshima6~8,1,31,381.07,1077.0,0.2007,0.5055,mixed,0.964,10.536,11.0,0.0,,
Toshima,toshima6~8,1,32,292.67,1081.0,0.043,0.234,mixed,0.667,5.667,3.5,0.0,,
Toshima,toshima6~8,1,33,391.38,1082.62,0.0932,0.3445,strong,1.0,5.615,4.0,0.0,,
Toshima,toshima6~8,1,34,239.5,1083.4,0.1434,0.4273,mixed,0.85,7.6,7.0,0.0,,
Toshima,toshima6~8,1,35,211.85,1085.44,0.6021,0.8756,mixed,0.988,15.31,16.0,0.0,,
Toshima,toshima6~8,1,36,302.29,1088.5,0.1004,0.3575,mixed,0.929,5.786,5.0,0.0,,
Toshima,toshima6~8,1,37,374.38,1089.46,0.8315,1.029,mixed,0.983,14.759,12.0,0.0,,
Toshima,toshima6~8,1,38,247.41,1091.31,0.4373,0.7462,mixed,0.951,10.443,9.0,0.0,,
Toshima,toshima6~8,1,39,276.57,1093.56,2.3226,1.7197,mixed,0.867,10.855,10.0,0.0,,
Toshima,toshima6~8,1,40,328.14,1095.94,0.2509,0.5652,mixed,0.943,6.657,7.0,0.0,,
Toshima,toshima6~8,1,41,279.83,1099.08,0.086,0.3309,mixed,0.917,8.083,8.5,0.0,,
Toshima,toshima6~8,1,42,388.03,1099.96,0.5591,0.8438,mixed,0.962,11.474,12.0,0.0,,
Toshima,toshima6~8,1,43,358.06,1100.39,0.7599,0.9836,mixed,0.915,14.009,14.0,0.0,,
Toshima,toshima6~8,1,44,211.97,1100.68,0.2222,0.5319,mixed,0.903,10.548,12.0,0.0,,
Toshima,toshima6~8,1,45,246.47,1102.13,0.1075,0.37,mixed,0.933,6.8,6.0,0.0,,
Toshima,toshima6~8,1,46,268.26,1103.99,0.7599,0.9836,mixed,0.849,10.679,10.0,0.0,,
Toshima,toshima6~8,1,47,400.93,1104.42,0.2867,0.6042,mixed,0.975,5.925,6.0,0.0,,
Toshima,toshima6~8,1,48,233.0,1105.29,0.0502,0.2528,mixed,0.571,2.714,3.0,0.0,,
Toshima,toshima6~8,1,49,220.5,1106.33,0.129,0.4053,strong,1.0,8.111,7.0,0.0,,
Toshima,toshima6~8,1,50,249.2,1110.48,0.6452,0.9063,mixed,0.967,12.067,12.0,0.0,,
Toshima,toshima6~8,1,51,202.17,1112.91,0.724,0.9601,mixed,0.891,9.406,10.0,0.0,,
Toshima,toshima6~8,1,52,214.6,1117.3,0.3082,0.6265,mixed,0.93,10.256,10.0,0.0,,
Toshima,toshima6~8,1,53,389.23,1119.05,0.595,0.8704,strong,1.0,17.843,17.0,0.0,,
Toshima,toshima6~8,1,54,311.06,1120.49,0.2509,0.5652,mixed,0.943,9.686,10.0,0.0,,
Toshima,toshima6~8,1,55,254.07,1120.71,0.2007,0.5055,mixed,0.964,8.0,8.0,0.0,,
Toshima,toshima6~8,1,56,379.06,1121.81,0.1147,0.3821,mixed,0.875,5.875,6.0,0.0,,
Toshima,toshima6~8,1,57,295.93,1123.2,0.2867,0.6042,mixed,0.975,10.675,11.0,0.0,,
Toshima,toshima6~8,1,58,335.31,1125.44,0.6523,0.9114,mixed,0.923,8.308,8.0,0.0,,
Toshima,toshima6~8,1,59,305.25,1126.0,0.0287,0.1911,mixed,0.75,4.25,4.0,0.0,,
Toshima,toshima6~8,1,60,276.32,1127.96,3.0251,1.9626,mixed,0.882,10.964,11.0,0.0,check,
Toshima,toshima6~8,1,61,212.82,1131.39,0.5448,0.8329,mixed,0.947,13.75,14.0,0.0,,
Toshima,toshima6~8,1,62,374.55,1131.39,0.2724,0.5889,mixed,0.868,6.789,7.0,0.0,,
Toshima,toshima6~8,1,63,259.2,1131.61,0.8817,1.0595,mixed,0.984,16.163,16.0,0.0,,
Toshima,toshima6~8,1,64,224.69,1134.0,0.2796,0.5966,strong,1.0,11.41,13.0,0.0,,
Toshima,toshima6~8,1,65,201.28,1134.66,0.2294,0.5404,mixed,0.938,9.875,9.0,0.0,,
Toshima,toshima6~8,1,66,290.69,1134.69,0.1147,0.3821,mixed,0.938,6.125,6.0,0.0,,
Toshima,toshima6~8,1,67,306.8,1135.6,0.0358,0.2136,mixed,0.8,3.0,4.0,0.0,,
Toshima,toshima6~8,1,68,383.43,1135.61,0.1649,0.4582,strong,1.0,10.435,10.0,0.0,,
Toshima,toshima6~8,1,69,395.65,1135.73,0.1864,0.4871,mixed,0.923,9.808,8.5,0.0,,
Toshima,toshima6~8,1,70,236.12,1139.88,0.0573,0.2702,strong,1.0,10.5,9.5,0.0,,
Toshima,toshima6~8,1,71,208.5,1140.29,0.1004,0.3575,strong,1.0,10.714,12.0,0.0,,
Toshima,toshima6~8,1,72,411.25,1141.0,0.0287,0.1911,strong,1.0,2.25,2.0,0.0,,
Toshima,toshima6~8,1,73,336.2,1141.4,0.0358,0.2136,mixed,0.8,1.8,2.0,0.0,,
Toshima,toshima6~8,1,74,295.57,1141.78,0.4158,0.7276,mixed,0.983,11.759,12.5,0.0,,
Toshima,toshima6~8,1,75,257.18,1144.43,0.4659,0.7702,mixed,0.877,13.477,13.0,0.0,,
Toshima,toshima6~8,1,76,202.07,1144.61,0.2007,0.5055,mixed,0.893,7.857,7.0,0.0,,
Toshima,toshima6~8,1,77,238.47,1146.82,0.1219,0.3939,strong,1.0,8.294,7.0,0.0,,
Toshima,toshima6~8,1,78,402.95,1148.21,0.6237,0.8911,mixed,0.954,10.023,8.0,0.0,,
Toshima,toshima6~8,1,79,231.0,1150.0,0.0645,0.2866,mixed,0.889,4.0,4.0,0.0,,
Toshima,toshima6~8,1,80,300.2,1150.5,0.0717,0.3021,strong,1.0,10.3,10.5,0.0,,
Toshima,toshima6~8,1,81,211.52,1150.65,0.1649,0.4582,mixed,0.957,8.652,9.0,0.0,,
Toshima,toshima6~8,1,82,358.79,1153.39,0.2007,0.5055,strong,1.0,6.536,6.0,0.0,,
Toshima,toshima6~8,1,83,223.71,1153.64,0.2007,0.5055,mixed,0.964,11.0,12.0,0.0,,
Toshima,toshima6~8,1,84,255.66,1154.57,0.3154,0.6337,mixed,0.932,11.114,10.0,0.0,,
Toshima,toshima6~8,1,85,347.35,1155.25,0.1434,0.4273,strong,1.0,8.95,8.0,0.0,,
Toshima,toshima6~8,1,86,279.99,1157.47,1.4194,1.3443,mixed,0.904,15.439,15.0,0.0,,
Toshima,toshima6~8,1,87,310.76,1158.76,0.1505,0.4378,mixed,0.81,3.762,3.0,0.0,,
Toshima,toshima6~8,1,88,206.83,1159.0,0.043,0.234,strong,1.0,8.167,8.0,0.0,,
Toshima,toshima6~8,1,89,259.71,1161.0,0.0502,0.2528,strong,1.0,3.286,3.0,0.0,,
Toshima,toshima6~8,1,90,220.22,1161.33,0.0645,0.2866,strong,1.0,12.333,10.0,0.0,,
Toshima,toshima6~8,1,91,226.71,1162.5,0.1004,0.3575,mixed,0.929,5.071,4.5,0.0,,
Toshima,toshima6~8,1,92,351.4,1162.7,0.1434,0.4273,strong,1.0,5.6,4.5,0.0,,
Toshima,toshima6~8,1,93,297.86,1165.29,0.0502,0.2528,strong,1.0,5.714,7.0,0.0,,
Toshima,toshima6~8,1,94,208.53,1167.44,0.3226,0.6409,mixed,0.933,11.711,11.0,0.0,,
Toshima,toshima6~8,1,95,251.7,1168.53,0.2867,0.6042,strong,1.0,9.2,7.5,0.0,,
Toshima,toshima6~8,1,96,393.4,1169.8,0.0358,0.2136,weak_recovered,0.0,0.8,1.0,0.0,,
Toshima,toshima6~8,1,97,279.48,1170.97,1.6487,1.4489,mixed,0.891,15.361,14.0,0.0,,
Toshima,toshima6~8,1,98,217.29,1171.0,0.0502,0.2528,mixed,0.857,5.857,8.0,0.0,,
Toshima,toshima6~8,1,99,223.29,1171.5,0.1004,0.3575,strong,1.0,8.786,10.0,0.0,,
