stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,133923,255,232.0,196.0,255.0,0,106.0,5.0,232.0,25,98.0,12.0,223.0
green_reproductive_organ,37858,28,136.0,20.0,230.0,255,231.0,31.0,255.0,0,103.0,23.0,207.0
