island,sheet,corolla_id,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Toshima,toshima6~8,1,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,28.871,22.267,448.1,8.106,20.68,17.357,19.727,14.224,5.525,23.973,0.2672,1.2202,1.0483,25.813,33.562,0.2808,0.7795,0.5,3,opened_or_broad,flat_span_over_pi,0.143,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima6~8,2,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,28.109,21.759,428.939,6.445,21.58,18.542,19.05,13.547,5.902,27.359,0.2735,1.3687,1.1328,28.369,20.652,0.2293,0.8521,0.4931,3,opened_or_broad,flat_span_over_pi,0.2448,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima6~8,3,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,38.862,26.416,749.483,7.454,31.324,17.357,22.183,21.505,5.525,23.973,0.1764,0.8071,1.4121,8.767,0.572,0.1918,0.6571,0.368,5,opened_or_broad,flat_span_over_pi,0.5184,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima6~8,4,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,26.839,19.643,429.541,3.347,23.408,16.341,18.457,14.478,5.201,21.249,0.2222,1.1287,1.2682,12.588,3.986,0.1247,0.8319,0.4514,5,opened_or_broad,flat_span_over_pi,0.2453,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima6~8,5,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,28.702,22.691,497.49,4.323,24.294,18.965,20.235,15.24,6.037,28.623,0.2485,1.2444,1.2006,24.865,6.332,0.1506,0.8358,0.3425,3,opened_or_broad,flat_span_over_pi,0.1932,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima6~8,6,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,34.544,24.638,645.849,4.635,29.825,22.183,22.775,14.563,7.061,39.158,0.2367,1.5233,1.3095,13.914,4.8,0.1342,0.9003,0.355,3,opened_or_broad,flat_span_over_pi,0.1829,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima6~8,7,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,32.173,23.453,557.906,5.182,26.907,18.373,22.86,15.494,5.848,26.862,0.2173,1.1858,1.177,12.111,0.651,0.1611,0.7834,0.249,4,opened_or_broad,flat_span_over_pi,0.24,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima6~8,8,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,28.279,20.743,392.107,4.82,23.374,9.906,20.489,12.531,3.153,7.809,0.1349,0.7905,1.1408,13.506,0.451,0.1705,0.4776,0.257,5,opened_or_broad,flat_span_over_pi,0.0864,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima6~8,9,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,32.427,26.839,648.021,4.969,27.374,23.199,23.791,15.833,7.384,42.827,0.2698,1.4652,1.1506,6.772,1.178,0.1532,0.8644,0.4506,3,opened_or_broad,flat_span_over_pi,0.2011,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima6~8,10,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,39.793,34.121,776.687,22.077,17.632,28.194,29.379,15.579,8.974,63.256,0.509,1.8098,0.6001,2.179,0.503,0.5548,0.8263,0.3206,2,opened_or_broad,flat_span_over_pi,0.5516,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
