island,region_order,sheet,plant_range,plant_id,corolla_id,cx,cy,corolla_len_mm,corolla_width_mm,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude
Kozushima,4,kozu1,1,,1,321,1150,30.31,21.34,495.2,5.79,1.17,48,9.69,0.871,1,0.099,0,5.79,26.79,8,0.889,1.3,
Kozushima,4,kozu1,1,,2,847,1145,28.28,21.59,481.9,20.06,4.16,93,19.3,0.991,1,0.053,0,6.01,20.62,7,0.904,1.26,
Kozushima,4,kozu1,1,,3,1438,1046,25.15,16.76,322.8,52.92,16.39,99,30.67,0.963,1,0.018,0,5.07,15.68,4,0.892,1.47,
Kozushima,4,kozu1,1,,4,408,1482,30.06,17.36,376.4,15.61,4.15,73,19.4,0.91,1,0.019,0,8.52,19.39,3,0.873,1.69,
Kozushima,4,kozu1,1,,5,933,1521,30.65,25.23,549.8,24.68,4.49,116,21.1,0.956,1,0.036,0,7.79,21.52,8,0.848,1.13,
Kozushima,4,kozu1,1,,6,1444,1435,23.2,17.44,288.0,4.49,1.56,41,14.24,0.897,1,0.013,0,4.64,19.05,6,0.856,1.25,
Kozushima,4,kozu1,1,,7,353,1852,30.9,21.34,510.3,53.33,10.45,126,24.69,0.948,1,0.015,0,6.68,20.1,4,0.897,1.38,
Kozushima,4,kozu1,1,,8,1045,1935,32.26,23.54,595.3,11.42,1.92,88,14.78,0.966,1,0.06,0,6.74,26.52,9,0.848,1.24,
Kozushima,4,kozu1,1,,9,1574,1868,28.02,19.98,430.1,2.55,0.59,24,5.58,0.952,1,0.145,1,10.73,16.86,3,0.907,1.38,
Kozushima,4,kozu1,1,,10,370,2214,28.53,20.24,413.1,13.05,3.16,82,19.85,0.917,1,0.068,0,5.79,22.06,6,0.826,1.16,
Kozushima,4,kozu2,2,,1,446,1211,42.42,28.45,809.0,6.5,0.8,20,2.47,0.744,1,0.11,1,9.03,28.95,4,0.855,1.42,
Kozushima,4,kozu2,2,,2,1236,1525,40.47,25.15,684.3,28.46,4.16,155,22.65,0.973,1,0.006,0,7.38,28.69,6,0.804,1.51,
Kozushima,4,kozu2,2,,3,420,1667,44.37,25.15,768.3,0.13,0.02,3,0.39,0.62,0,0.065,0,7.49,16.02,4,0.844,1.58,
Kozushima,4,kozu2,2,,4,400,2130,46.57,35.73,1104.6,17.62,1.6,73,6.61,0.962,1,0.02,0,7.98,38.52,4,0.846,1.29,
Kozushima,4,kozu2,2,,5,1352,2074,54.69,29.89,1035.4,25.99,2.51,119,11.49,0.998,1,0.014,0,8.06,42.67,5,0.757,1.77,
Kozushima,4,kozu2,2,,6,1016,2596,43.18,25.57,743.4,41.84,5.63,85,11.43,0.982,1,0.0,0,8.06,31.64,4,0.811,1.59,
Kozushima,4,kozu2,2,,7,403,2634,41.74,26.84,767.0,54.0,7.04,54,7.04,0.986,1,0.001,0,8.54,31.76,6,0.782,1.44,
Kozushima,4,kozu2,2,,8,346,3027,34.71,26.75,829.9,63.99,7.71,90,10.84,0.988,1,0.001,0,8.33,28.61,4,0.89,1.62,
Niijima,3,niijima1~2,1-2,,1,306,1165,44.53,27.26,702.7,39.53,5.63,122,17.36,0.968,1,0.247,1,4.64,28.77,7,0.668,1.4,
Niijima,3,niijima1~2,1-2,,2,780,1164,33.95,25.57,687.5,60.13,8.75,111,16.15,0.908,1,0.154,1,7.57,24.8,8,0.903,1.3,
Niijima,3,niijima1~2,1-2,,3,1224,1135,35.31,24.13,589.0,233.76,39.69,42,7.13,0.981,1,0.01,0,13.31,29.67,3,0.747,1.36,
Niijima,3,niijima1~2,1-2,,4,391,1659,31.5,28.11,576.6,1.66,0.29,10,1.73,0.747,0,0.058,0,8.95,13.39,4,0.809,1.1,
Niijima,3,niijima1~2,1-2,,5,815,1644,32.17,27.09,578.9,0.28,0.05,2,0.35,0.554,0,0.002,0,14.12,20.43,1,0.914,1.12,
Niijima,3,niijima1~2,1-2,,6,1285,1613,39.2,25.74,636.2,0.52,0.08,5,0.79,0.574,0,0.007,0,12.94,26.21,2,0.89,1.25,
Niijima,3,niijima1~2,1-2,,7,277,2116,31.41,27.43,612.6,0.36,0.06,2,0.33,0.338,0,0.004,0,14.61,19.85,1,0.891,1.1,
Niijima,3,niijima1~2,1-2,,8,961,2096,53.09,29.46,1057.3,0.35,0.03,2,0.19,0.626,0,0.003,0,9.38,40.56,4,0.701,1.62,
Niijima,3,niijima1~2,1-2,,9,1591,2133,43.77,31.16,777.3,263.19,33.86,78,10.03,0.841,1,0.036,0,8.17,29.74,8,0.761,1.45,
Niijima,3,niijima1~2,1-2,,10,708,2530,32.17,25.32,561.3,145.08,25.85,67,11.94,0.9,1,0.028,0,4.66,24.58,5,0.89,1.18,
Niijima,3,niijima1~2,1-2,,11,1132,2519,41.66,26.67,651.3,26.61,4.09,72,11.05,0.69,1,0.191,1,2.34,32.67,6,0.711,1.5,
Niijima,3,niijima1~2,1-2,,12,1619,2619,31.67,23.03,506.8,65.66,12.96,87,17.17,0.89,1,0.143,1,5.58,26.52,6,0.883,1.27,
Niijima,3,niijima1~2,1-2,,13,301,2968,32.68,23.28,522.5,132.06,25.28,54,10.33,0.839,1,0.055,0,5.31,26.64,5,0.891,1.38,
Niijima,3,niijima1~2,1-2,,14,680,2992,37.59,26.92,566.4,213.86,37.76,63,11.12,0.926,1,0.041,0,14.34,15.79,3,0.661,1.12,
Niijima,3,niijima1~2,1-2,,15,1071,2944,32.94,25.91,468.2,133.62,28.54,56,11.96,0.887,1,0.038,0,4.99,24.16,4,0.835,1.05,
Niijima,3,niijima1~2,1-2,,16,1495,3001,43.77,33.95,1018.5,395.48,38.83,71,6.97,0.973,1,0.002,0,17.14,19.73,2,0.787,1.21,
Niijima,3,niijima2,2,,1,273,1181,31.5,28.79,599.8,190.65,31.78,51,8.5,0.925,1,0.035,0,2.91,25.65,5,0.795,1.04,
Niijima,3,niijima2,2,,2,766,1219,29.13,24.64,529.9,211.17,39.85,54,10.19,0.962,1,0.02,0,12.72,25.3,3,0.924,1.18,
Niijima,3,niijima2,2,,3,1169,1226,32.0,22.78,541.6,134.11,24.76,57,10.52,0.902,1,0.067,0,6.14,27.79,4,0.914,1.42,
Niijima,3,niijima2,2,,4,307,2107,36.49,30.06,756.0,46.1,6.1,89,11.77,0.972,1,0.352,1,15.85,29.68,3,0.836,1.18,
Niijima,3,niijima2,2,,5,1593,2167,40.05,31.83,754.1,26.49,3.51,53,7.03,0.981,1,0.429,1,7.36,31.82,6,0.778,1.11,
Niijima,3,niijima2,2,,6,1168,2368,65.96,28.87,1412.4,179.63,12.72,247,17.49,0.95,1,0.016,0,7.57,45.67,4,0.822,2.27,
Niijima,3,niijima2,2,,7,244,2572,36.66,28.79,702.2,41.94,5.97,80,11.39,0.956,1,0.115,1,6.12,28.28,6,0.88,1.03,
Niijima,3,niijima2,2,,8,699,2582,31.92,30.14,630.8,23.65,3.75,55,8.72,0.902,1,0.164,1,5.66,26.79,4,0.784,1.03,
Niijima,3,niijima2,2,,9,1481,2679,36.66,27.43,604.7,22.54,3.73,71,11.74,0.769,1,0.067,0,15.63,24.16,3,0.808,1.35,
Niijima,3,niijima2,2,,10,299,2996,29.21,23.03,504.4,9.85,1.95,23,4.56,0.785,1,0.076,0,6.12,18.25,5,0.918,1.28,
Niijima,3,niijima2,2,,11,710,2993,32.68,26.92,558.0,14.92,2.67,28,5.02,0.847,1,0.042,0,11.8,21.89,3,0.899,1.19,
Niijima,3,niijima2,2,,12,1090,2958,37.59,31.16,608.5,3.8,0.62,11,1.81,0.903,1,0.039,0,15.47,26.2,3,0.783,1.32,
Niijima,3,niijima2~4,2-4,,1,347,1347,29.04,22.61,447.9,9.03,2.02,76,16.97,0.912,1,0.183,1,5.79,23.66,5,0.936,1.22,
Niijima,3,niijima2~4,2-4,,2,837,1394,26.84,21.42,389.5,0.24,0.06,5,1.28,0.775,0,0.02,0,13.48,15.82,3,0.846,1.24,
Niijima,3,niijima2~4,2-4,,3,1168,1344,27.77,23.03,406.5,1.79,0.44,11,2.71,0.336,0,0.015,0,7.25,11.67,4,0.78,1.14,
Niijima,3,niijima2~4,2-4,,4,385,1789,27.01,21.25,386.6,1.51,0.39,17,4.4,0.588,0,0.012,0,5.52,17.22,5,0.924,1.07,
Niijima,3,niijima2~4,2-4,,5,778,1820,30.99,24.05,487.5,4.28,0.88,43,8.82,0.975,1,0.013,0,6.71,16.94,4,0.887,1.18,
