region_order,island,n_corolla,corolla_len_mm_mean,corolla_area_mm2_mean,guide_cov_pct_mean,guide_present_frac,degraded_frac
1,Oshima,88,38.8,778.0,28.39,1,0.15
2,Toshima,63,34.9,616.0,5.27,0.83,0.1
3,Niijima,35,35.2,621.0,12.15,0.77,0.26
3.5,Shikinejima,5,48.8,929.0,2.0,0.2,0.2
4,Kozushima,18,35.3,622.0,4.31,0.94,0.11
