island,sheet,corolla_id,cx,cy,site_no_auto,site_candidates,site_no_FILL,individual_FILL,flower_no_FILL,fold_state_FILL(open/folded),split_or_exclude_FILL,site_lat,site_lon,fold_check,merge_check,notes
Kozushima,kozu1,1,321,1150,1,,,,,,,34.20873,139.13931,,,
Kozushima,kozu1,2,847,1145,1,,,,,,,34.20873,139.13931,,,
Kozushima,kozu1,3,1438,1046,1,,,,,,,34.20873,139.13931,,,
Kozushima,kozu1,4,408,1482,1,,,,,,,34.20873,139.13931,,,
Kozushima,kozu1,5,933,1521,1,,,,,,,34.20873,139.13931,,,
Kozushima,kozu1,6,1444,1435,1,,,,,,,34.20873,139.13931,,,
Kozushima,kozu1,7,353,1852,1,,,,,,,34.20873,139.13931,,,
Kozushima,kozu1,8,1045,1935,1,,,,,,,34.20873,139.13931,,,
Kozushima,kozu1,9,1574,1868,1,,,,,,,34.20873,139.13931,,,
Kozushima,kozu1,10,370,2214,1,,,,,,,34.20873,139.13931,,,
Kozushima,kozu2,1,446,1211,2,,,,,,,34.2233,139.13106,,,
Kozushima,kozu2,2,1236,1525,2,,,,,,,34.2233,139.13106,,,
Kozushima,kozu2,3,420,1667,2,,,,,,,34.2233,139.13106,,,
Kozushima,kozu2,4,400,2130,2,,,,,,,34.2233,139.13106,,,
Kozushima,kozu2,5,1352,2074,2,,,,,folded,,34.2233,139.13106,check,,
Kozushima,kozu2,6,1016,2596,2,,,,,,,34.2233,139.13106,,,
Kozushima,kozu2,7,403,2634,2,,,,,,,34.2233,139.13106,,,
Kozushima,kozu2,8,346,3027,2,,,,,,,34.2233,139.13106,,,
Niijima,niijima1~2,1,306,1165,,1|2,,,,,,,,,,
Niijima,niijima1~2,2,780,1164,,1|2,,,,,,,,,,
Niijima,niijima1~2,3,1224,1135,,1|2,,,,,,,,,,
Niijima,niijima1~2,4,391,1659,,1|2,,,,,,,,,,
Niijima,niijima1~2,5,815,1644,,1|2,,,,,,,,,,
Niijima,niijima1~2,6,1285,1613,,1|2,,,,,,,,,,
Niijima,niijima1~2,7,277,2116,,1|2,,,,,,,,,,
Niijima,niijima1~2,8,961,2096,,1|2,,,,,,,,,,
