island,sheet,nearest_corolla,cx,cy,length_mm,width_mm,aspect
Oshima,oshima8~9,7,1094.151481888035,1506.7705817782658,8.3,1.1,7.5
Oshima,oshima8~9,10,1108.0134730538923,2006.6526946107786,10.15,0.74,13.8
Oshima,oshima8~9,13,1185.3261480787255,2623.460168697282,10.58,1.1,9.6
Oshima,oshima8~9,14,1701.1391812865497,2619.033918128655,9.41,0.97,9.7
Oshima,oshima8~9,12,788.0990990990991,3150.0135135135133,6.77,0.25,26.7
Shikinejima,shikine1~4,2,274.1620947630923,665.2967581047382,11.01,0.25,43.3
Shikinejima,shikine1~4,1,993.5,664.5,19.56,0.08,231.0
Shikinejima,shikine1~4,1,1501.2247838616715,664.5533141210375,14.56,0.25,58.0
Shikinejima,shikine1~4,1,1359.4864864864865,802.7027027027027,6.01,1.35,4.4
Toshima,toshima1~2,13,325.6094890510949,3425.832116788321,4.74,0.74,6.4
Toshima,toshima1~2,13,440.96715328467155,3428.3576642335765,4.5,0.5,9.0
Toshima,toshima2~3,3,1607.6609375,884.4828125,6.98,1.73,4.0
Toshima,toshima2~3,7,1494.3283333333334,1351.8783333333333,5.88,1.12,5.2
Toshima,toshima2~3,5,989.8283415288332,1407.8310236924453,11.81,1.66,7.1
Toshima,toshima2~3,7,1505.1296518607444,1499.7587034813926,13.63,1.95,7.0
Toshima,toshima3~6,13,617.8355263157895,2405.6469298245615,7.7,0.42,18.2
Toshima,toshima3~6,12,266.18631178707227,2404.9505703422055,9.23,0.17,54.5
Toshima,toshima3~6,14,1257.1540404040404,2405.093434343434,14.73,0.17,87.0
Toshima,toshima3~6,15,1663.678787878788,2414.139393939394,9.91,0.25,39.0
Toshima,toshima6~8,4,1664.2245614035087,793.8280701754386,7.37,0.25,29.0
Toshima,toshima6~8,2,148.825,828.8291666666667,9.49,0.2,46.4
Toshima,toshima6~8,4,1585.4427645788337,1007.2365010799136,7.28,1.35,5.4
Toshima,toshima6~8,3,547.5370370370371,1095.2531986531988,17.86,2.18,8.2
