island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Toshima,toshima1~2,1,145,134,11,2,47.749,11.739,10.574,1.165,35.648,0.3293,0.1219,12.2509,0.0,1,378,138.774,34.118,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,2,126,118,8,2,30.731,9.166,8.278,0.887,37.579,0.2439,0.1004,6.5448,0.0,1,261,101.935,30.402,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,3,67,60,7,0,3.556,0.652,0.53,0.122,12.282,0.0531,0.0287,0.7957,0.0,1,0,3.556,0.652,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,4,139,137,2,0,13.556,3.211,2.936,0.275,32.926,0.0975,0.0502,1.5125,0.0,1,264,88.007,20.847,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,5,78,64,14,0,11.993,3.354,2.625,0.73,21.816,0.1538,0.0466,2.3728,0.0,1,137,106.193,29.702,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,6,80,74,6,1,21.584,4.571,4.065,0.505,16.941,0.2698,0.1004,4.6738,0.0,1,192,62.846,13.308,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,7,127,107,20,3,42.495,6.404,5.811,0.593,19.14,0.3346,0.0789,7.2903,0.0,1,263,195.935,29.53,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,8,221,208,13,1,56.509,13.0,12.109,0.891,50.84,0.2557,0.0645,28.3799,0.0,1,336,161.011,37.04,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,9,129,122,7,4,68.495,12.519,11.759,0.76,23.577,0.531,0.1004,14.043,0.0,1,409,178.294,32.587,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,10,149,140,9,3,68.107,9.32,8.649,0.671,20.39,0.4571,0.1219,15.4122,0.0,1,509,172.021,23.54,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,11,101,97,4,0,18.566,3.002,2.772,0.229,16.331,0.1838,0.0645,1.2545,0.0,1,307,110.76,17.909,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,12,89,83,6,0,14.294,3.508,2.826,0.683,21.845,0.1606,0.0717,1.871,0.0,1,199,82.107,20.153,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,13,38,36,2,0,5.455,0.971,0.867,0.105,6.765,0.1436,0.0681,0.9892,0.0,1,0,5.455,0.971,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,14,40,38,2,0,5.269,1.24,1.062,0.177,9.411,0.1317,0.0538,0.7527,0.0,1,101,33.29,7.832,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,15,18,18,0,0,1.986,0.287,0.28,0.007,2.604,0.1103,0.0717,0.4875,0.0,0,0,1.986,0.287,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,16,35,35,0,0,5.713,1.066,1.06,0.005,6.529,0.1632,0.0358,1.8925,0.0,1,102,46.846,8.739,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,17,14,14,0,0,1.763,0.327,0.313,0.015,2.598,0.126,0.0466,0.724,0.0,0,0,1.763,0.327,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
