island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc
Toshima,2,toshima1~2,,1|2,,,,1,575,986,1,1,not_triggered,28.28,18.46,0.653,,,406.8,47.749,11.739,145,35.648,0.85,1,0.031,0,5.69,15.27,4,0.913,1.52,,134,11,2,10.574,1.165,0.3293,0.1219,12.2509,0.0,378,138.774,34.118,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,28.279,17.949,406.752,6.765,21.429,17.018,17.865,12.615,5.417,23.047,0.2528,1.349,1.1995,8.814,24.466,0.2392,0.9481,0.6402,5,opened_or_broad,flat_span_over_pi,0.0987,shape_end_complexity,profile_fallback,sinus
Toshima,2,toshima1~2,,1|2,,,,2,1010,1057,3,1,not_triggered,26.59,16.17,0.608,,,335.3,30.731,9.166,126,37.579,0.786,1,0.008,0,4.72,17.73,6,0.922,1.43,,118,8,2,8.278,0.887,0.2439,0.1004,6.5448,0.0,261,101.935,30.402,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,26.585,16.087,335.34,3.664,22.836,14.224,15.833,12.277,4.528,16.1,0.1983,1.1586,1.4423,8.602,18.397,0.1378,0.8842,0.6165,6,opened_or_broad,flat_span_over_pi,0.1268,shape_end_complexity,boundary_sinuses,
Toshima,2,toshima1~2,,1|2,,,,3,1487,1044,2,1,not_triggered,30.31,25.99,0.857,,,545.5,3.556,0.652,67,12.282,0.938,1,0.165,1,12.02,18.83,3,0.776,1.13,,60,7,0,0.53,0.122,0.0531,0.0287,0.7957,0.0,0,3.556,0.652,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,30.311,23.804,545.512,9.595,20.631,19.897,19.981,21.082,6.333,31.503,0.307,0.9438,1.0325,0.811,0.427,0.3166,0.8359,0.4503,3,opened_or_broad,flat_span_over_pi,0.3703,guide_density_secondary,profile_fallback,sinus
Toshima,2,toshima1~2,,1|2,,,,4,1871,1092,4,1,not_triggered,29.55,18.63,0.63,,,422.2,13.556,3.211,139,32.926,0.888,1,0.029,0,5.85,22.32,6,0.864,1.54,,137,2,0,2.936,0.275,0.0975,0.0502,1.5125,0.0,264,88.007,20.847,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,29.549,17.661,422.143,5.1,24.364,17.695,17.272,13.631,5.633,24.918,0.2312,1.2981,1.4106,2.769,7.801,0.1726,1.0019,0.5337,3,opened_or_broad,flat_span_over_pi,0.2042,shape_end_complexity,boundary_sinuses,
Toshima,2,toshima1~2,,1|2,,,,5,576,1451,5,1,not_triggered,26.75,19.3,0.721,,,357.5,11.993,3.354,78,21.816,0.927,1,0.36,1,5.71,18.69,6,0.73,1.11,,64,14,0,2.625,0.73,0.1538,0.0466,2.3728,0.0,137,106.193,29.702,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,26.755,18.987,357.534,7.983,18.687,17.949,16.341,10.16,5.713,25.638,0.3057,1.7667,1.1436,3.195,4.073,0.2984,0.9454,0.4622,6,opened_or_broad,flat_span_over_pi,0.0974,guide_density_secondary,boundary_sinuses,
Toshima,2,toshima1~2,,1|2,,,,6,1034,1486,6,1,not_triggered,29.97,20.74,0.692,,,472.2,21.584,4.571,80,16.941,0.986,1,0.012,0,11.53,25.04,3,0.872,1.43,,74,6,1,4.065,0.505,0.2698,0.1004,4.6738,0.0,192,62.846,13.308,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,29.972,20.574,472.214,4.843,25.044,18.119,18.796,13.123,5.767,26.124,0.2303,1.3806,1.3324,3.476,18.017,0.1616,0.8807,0.4297,3,opened_or_broad,flat_span_over_pi,0.2018,shape_end_complexity,boundary_sinuses,
Toshima,2,toshima1~2,,1|2,,,,7,1560,1556,7,1,not_triggered,35.48,25.99,0.733,,,663.5,42.495,6.404,127,19.14,0.967,1,0.135,1,7.71,27.39,4,0.735,1.1,,107,20,3,5.811,0.593,0.3346,0.0789,7.2903,0.0,263,195.935,29.53,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,35.475,25.654,663.419,7.325,28.066,20.997,25.908,12.531,6.684,35.085,0.2381,1.6757,1.0833,6.698,4.88,0.2065,0.8185,0.3629,4,opened_or_broad,flat_span_over_pi,0.1255,shape_end_complexity,boundary_sinuses,
Toshima,2,toshima1~2,,1|2,,,,8,587,1883,9,1,not_triggered,29.8,23.62,0.793,,,434.7,56.509,13.0,221,50.84,0.966,1,0.076,0,5.47,21.03,6,0.841,1.06,,208,13,1,12.109,0.891,0.2557,0.0645,28.3799,0.0,336,161.011,37.04,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,29.803,22.644,434.673,6.876,22.842,19.558,20.574,6.265,6.226,30.44,0.2725,3.1216,1.1102,14.472,6.584,0.2307,0.8637,0.4006,6,opened_or_broad,flat_span_over_pi,0.6036,guide_density_secondary,boundary_sinuses,
Toshima,2,toshima1~2,,1|2,,,,9,1139,1902,8,1,not_triggered,30.82,24.81,0.805,,,547.1,68.495,12.519,129,23.577,0.959,1,0.114,1,6.9,19.4,5,0.86,1.21,,122,7,4,11.759,0.76,0.531,0.1004,14.043,0.0,409,178.294,32.587,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,30.819,24.033,547.132,3.698,27.036,18.711,22.098,14.901,5.956,27.861,0.2203,1.2557,1.2234,12.888,6.72,0.12,0.7786,0.5243,6,opened_or_broad,flat_span_over_pi,0.1552,shape_end_complexity,boundary_sinuses,
Toshima,2,toshima1~2,,1|2,,,,10,1545,1996,10,1,not_triggered,37.34,27.01,0.723,,,730.8,68.107,9.32,149,20.39,0.966,1,0.038,0,14.66,25.09,3,0.898,1.38,,140,9,3,8.649,0.671,0.4571,0.1219,15.4122,0.0,509,172.021,23.54,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,37.338,26.839,730.752,7.345,29.909,20.489,24.045,15.24,6.522,33.408,0.2181,1.3444,1.2438,8.426,16.891,0.1967,0.7634,0.5355,6,opened_or_broad,flat_span_over_pi,0.1504,shape_end_complexity,boundary_sinuses,
