island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Oshima,oshima4,1,58,754.74,752.22,0.1649,0.4582,mixed,0.913,8.174,10.0,0.0,,
Oshima,oshima4,1,59,822.5,753.0,0.043,0.234,strong,1.0,5.5,5.5,0.0,,
Oshima,oshima4,1,60,704.97,755.16,1.5627,1.4106,mixed,0.986,10.867,12.0,0.0,,
Oshima,oshima4,1,61,663.0,755.5,0.1004,0.3575,mixed,0.714,4.929,4.5,0.0,,
Oshima,oshima4,1,62,848.0,757.0,0.0215,0.1655,strong,1.0,2.0,2.0,0.0,,
Oshima,oshima4,1,63,819.5,757.5,0.0143,0.1351,strong,1.0,4.0,4.0,0.0,,
Oshima,oshima4,1,64,763.25,757.75,0.0287,0.1911,strong,1.0,4.0,3.5,0.0,,
Oshima,oshima4,1,65,735.99,758.7,1.1183,1.1932,mixed,0.917,8.795,9.0,0.0,,
Oshima,oshima4,1,66,822.5,759.5,0.0143,0.1351,mixed,0.5,1.5,1.5,0.0,,
Oshima,oshima4,1,67,819.5,761.0,0.0143,0.1351,strong,1.0,6.5,6.5,0.0,,
Oshima,oshima4,1,68,623.69,763.62,0.1147,0.3821,mixed,0.75,6.188,6.0,0.0,,
Oshima,oshima4,1,69,784.4,765.77,0.2151,0.5233,mixed,0.967,8.733,8.5,0.0,,
Oshima,oshima4,1,70,686.96,771.93,0.9677,1.11,mixed,0.896,9.585,9.0,0.0,,
Oshima,oshima4,1,71,828.01,772.63,1.0323,1.1464,mixed,0.91,8.257,8.0,0.0,,
Oshima,oshima4,1,72,654.37,772.84,0.9677,1.11,mixed,0.896,8.859,9.0,0.0,,
Oshima,oshima4,1,73,803.52,774.45,2.1505,1.6547,mixed,0.973,9.927,11.0,0.0,,
Oshima,oshima4,1,74,717.5,774.62,0.3728,0.6889,mixed,0.962,10.269,10.5,0.0,,
Oshima,oshima4,1,75,877.84,776.68,0.1362,0.4164,mixed,0.895,5.895,6.0,0.0,,
