stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,54886,255,220.0,87.2,255.0,0,116.0,6.0,227.0,0,109.0,9.0,222.0
green_reproductive_organ,27193,92,115.0,46.0,223.0,255,92.0,11.0,252.0,0,73.0,4.0,205.0
