island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,fragment_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Oshima,1,oshima4,4,,,,,1,769,902,1,1,shimask_red_outline_from_raw_difference,46.65,32.17,0.69,,check,,1165.8,116.939,10.031,246,21.101,0.944,1,0.162,1,8.22,41.03,4,0.922,1.44,,235,11,8,9.363,0.667,0.4754,0.1362,9.3763,0.0,898,314.824,27.004,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,46.651,32.004,1165.834,5.736,40.831,28.617,29.718,20.913,9.109,65.17,0.2231,1.3684,1.3739,10.67,0.021,0.123,0.8942,0.3496,4,opened_or_broad,flat_span_over_pi,0.1943,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima4,4,,,,,2,1638,913,2,1,shimask_red_outline_from_raw_difference,36.83,28.36,0.77,,check,,765.3,126.788,16.566,281,36.716,0.915,1,0.369,1,7.22,31.21,4,0.914,1.25,,217,64,3,11.905,4.662,0.4512,0.0573,61.8637,0.0,557,382.136,49.93,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,36.83,28.109,765.289,5.514,31.231,22.691,26.331,16.002,7.223,40.972,0.2313,1.418,1.1861,17.522,3.326,0.1497,0.8072,0.3276,4,opened_or_broad,flat_span_over_pi,0.2225,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima4,4,,,,,3,1671,1502,4,1,shimask_red_outline_from_raw_difference,35.73,28.19,0.789,,check,,764.5,257.749,33.713,273,35.708,0.979,1,0.026,0,13.85,30.42,3,0.918,1.28,,215,58,6,27.407,6.306,0.9441,0.1147,133.5554,0.0,1089,424.996,55.589,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,35.729,28.109,764.53,5.223,30.422,21.759,27.263,17.018,6.926,37.677,0.2277,1.2786,1.1159,35.934,5.504,0.1462,0.7741,0.4535,3,opened_or_broad,flat_span_over_pi,0.2355,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima4,4,,,,,4,836,1540,3,1,shimask_red_outline_from_raw_difference,45.8,32.09,0.701,,check,,1095.4,90.774,8.287,230,20.997,0.919,1,0.374,1,7.92,41.32,7,0.939,1.45,,196,34,6,7.359,0.927,0.3947,0.1577,6.853,0.0,804,293.691,26.811,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,45.805,31.665,1095.418,5.497,40.223,28.448,28.871,18.373,9.055,64.401,0.2251,1.5484,1.3932,8.846,0.177,0.12,0.8984,0.3305,7,opened_or_broad,flat_span_over_pi,0.1317,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima4,4,,,,,5,850,2141,5,1,shimask_red_outline_from_raw_difference,43.01,34.29,0.797,,check,,1070.3,411.698,38.466,232,21.676,0.982,1,0.024,0,14.82,37.8,3,0.949,1.17,,82,150,4,26.603,11.864,1.7746,0.0717,338.0928,0.0,1368,554.229,51.783,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,43.011,34.121,1070.314,5.161,37.765,23.283,31.073,20.235,7.411,43.14,0.1962,1.1506,1.2154,39.723,12.51,0.12,0.6824,0.4652,3,opened_or_broad,flat_span_over_pi,0.122,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima4,4,,,,,6,1859,2128,6,1,shimask_red_outline_from_raw_difference,36.91,26.33,0.713,,check,,696.2,199.448,28.649,181,25.999,0.943,1,0.019,0,13.8,26.05,3,0.929,1.34,,147,34,7,24.571,4.079,1.1019,0.2079,35.8494,0.0,950,320.516,46.04,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,36.915,25.908,696.157,6.529,30.301,16.51,24.299,16.764,5.255,21.691,0.1734,0.9848,1.247,28.667,29.202,0.1769,0.6373,0.5344,3,opened_or_broad,flat_span_over_pi,0.1826,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima4,4,,,,,7,870,2697,7,1,shimask_red_outline_from_raw_difference,40.89,30.9,0.756,,check,,940.4,390.996,41.578,229,24.352,0.967,1,0.013,0,8.54,33.81,4,0.954,1.21,,79,150,3,26.672,14.906,1.7074,0.0573,341.1609,0.0,1298,529.175,56.272,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,40.894,30.48,940.443,6.928,33.881,26.162,29.379,19.05,8.328,54.467,0.2458,1.3733,1.1532,44.285,13.38,0.1694,0.8583,0.4595,4,opened_or_broad,flat_span_over_pi,0.1272,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima4,4,,,,,8,1829,2880,8,1,shimask_red_outline_from_raw_difference,71.29,31.58,0.443,check,check,,1487.4,201.978,13.579,319,21.446,0.945,1,0.066,0,14.07,45.29,3,0.769,2.22,,304,15,15,12.63,0.949,0.6332,0.1792,23.3333,0.0,1311,433.24,29.127,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,71.289,31.073,1487.389,21.778,49.427,25.654,30.48,23.961,16.332,209.489,0.3304,1.0707,1.6216,18.846,2.805,0.3055,0.8256,0.3409,3,folded_half,2x_flat_span_over_pi,0.7949,guide_density_secondary,profile_fallback,sinus|folded_mouth_proxy,,,auto_unreviewed
