island,sheet,organ_id,nearest_corolla,cx,cy,x1,y1,x2,y2,length_mm,width_mm,aspect,angle_deg,organ_type_auto,organ_type_FILL,exclude_FILL,detection_source,nearest_corolla_hint,association_confirmed,visibility_note
Oshima,oshima4,1,2,1283.42,806.34,1226,661,1339,950,60.39,0.64,94.46,68.64,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima4,2,2,2042.7,902.5,2054,769,2035,1027,94.05,0.31,302.45,-85.79,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima4,3,3,2130.68,1422.31,2059,1305,2207,1538,52.12,0.62,83.67,57.58,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima4,4,4,1223.6,1446.61,1230,1324,1213,1565,84.99,0.34,250.02,-85.97,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima4,5,6,1437.73,2104.15,1428,1967,1453,2227,90.35,0.34,268.32,84.51,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima4,6,6,2151.75,2117.04,2158,2245,2137,1981,102.09,0.31,331.33,85.45,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima4,7,8,2190.12,2668.63,2195,2787,2189,2544,24.85,1.0,24.79,88.59,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima4,8,8,1397.65,2698.3,1336,2576,1453,2810,52.15,0.62,83.67,63.43,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima4,9,8,2150.64,3091.87,2158,2955,2153,3217,98.99,0.31,314.66,-88.91,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
