island,sheet,organ_id,nearest_corolla,cx,cy,x1,y1,x2,y2,length_mm,width_mm,aspect,angle_deg,organ_type_auto,organ_type_FILL,exclude_FILL,detection_source,nearest_corolla_hint,association_confirmed,visibility_note
Niijima,niijima1~2,1,2,998.03,1116.45,958,1019,1041,1208,38.71,0.52,74.18,66.29,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima1~2,2,3,1499.68,1164.44,1464,1062,1536,1261,40.12,0.5,79.97,70.11,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima1~2,3,2,570.35,1198.01,553,1302,588,1095,45.72,0.48,95.79,-80.4,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima1~2,4,6,1543.12,1613.52,1563,1727,1520,1502,48.49,0.47,104.09,79.18,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima1~2,5,5,1042.41,1615.67,1031,1508,1051,1724,52.52,0.4,131.72,84.71,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima1~2,6,4,569.01,1658.05,553,1745,581,1568,41.97,0.41,102.49,-81.01,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima1~2,7,8,959.39,2046.93,973,2153,950,1944,45.03,0.44,101.67,83.72,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima1~2,8,7,516.32,2091.72,512,2202,527,1988,38.64,0.52,73.91,-85.99,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima1~2,9,9,1349.24,2100.97,1359,2004,1345,2194,40.73,0.49,82.79,-85.79,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima1~2,10,10,1599.36,2369.88,1482,2360,1717,2378,56.27,0.4,140.42,4.38,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima1~2,11,12,942.82,2504.73,932,2407,956,2600,53.49,0.35,151.32,82.91,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima1~2,12,12,1357.11,2518.98,1337,2606,1380,2431,30.69,0.57,53.62,-76.2,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima1~2,13,13,1658.62,2759.38,1757,2752,1569,2767,41.95,0.44,94.77,-4.56,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima1~2,14,17,1409.73,2821.27,1509,2816,1310,2831,50.78,0.38,134.98,-4.31,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima1~2,15,16,862.87,2882.79,872,2786,854,2978,46.07,0.43,106.89,-84.64,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima1~2,16,16,1219.03,2890.35,1224,2793,1216,2981,49.69,0.37,134.1,-87.56,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima1~2,17,15,520.18,2916.43,545,2812,498,3018,53.79,0.4,134.74,-77.15,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
