island,sheet,corolla_id,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Niijima,niijima1~2,1,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,35.475,23.876,583.591,11.304,24.087,22.267,23.283,19.473,7.088,39.457,0.2943,1.1435,1.0345,7.329,2.243,0.3186,0.9326,0.3467,4,opened_or_broad,flat_span_over_pi,0.1684,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,niijima1~2,2,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,35.814,25.4,681.87,7.333,28.396,18.881,24.384,19.135,6.01,28.368,0.2116,0.9867,1.1645,8.722,23.55,0.2048,0.7433,0.5246,3,opened_or_broad,flat_span_over_pi,0.2118,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,niijima1~2,3,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,31.411,24.596,583.024,6.006,25.321,19.812,22.352,16.849,6.306,31.235,0.2491,1.1759,1.1328,31.838,30.55,0.1912,0.8055,0.3996,3,opened_or_broad,flat_span_over_pi,0.2924,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,niijima1~2,4,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,30.988,22.521,498.021,5.578,25.326,18.288,19.727,13.208,5.821,26.615,0.2299,1.3846,1.2838,0.441,0.877,0.18,0.812,0.6327,3,opened_or_broad,flat_span_over_pi,0.2125,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,niijima1~2,5,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,33.359,27.009,573.913,9.112,24.162,20.997,22.606,11.769,6.684,35.085,0.2766,1.7842,1.0688,0.135,0.319,0.2732,0.7774,0.5911,3,opened_or_broad,flat_span_over_pi,0.1462,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,niijima1~2,6,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,35.221,25.823,619.361,7.33,27.807,20.489,22.691,13.801,6.522,33.408,0.2345,1.4847,1.2255,0.136,0.533,0.2081,0.7934,0.6784,3,opened_or_broad,flat_span_over_pi,0.2674,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,niijima1~2,7,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,31.411,24.892,599.454,5.515,25.812,21.167,22.86,17.018,6.738,35.653,0.261,1.2438,1.1291,0.111,1.292,0.1756,0.8503,0.7335,3,opened_or_broad,flat_span_over_pi,0.2876,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,niijima1~2,8,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,33.443,24.663,526.429,10.141,23.218,20.151,21.082,14.478,6.414,32.312,0.2763,1.3918,1.1013,0.237,0.137,0.3032,0.817,0.5866,4,opened_or_broad,flat_span_over_pi,0.1366,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,niijima1~2,9,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,27.263,22.517,436.824,3.454,23.724,14.732,20.066,13.377,4.689,17.271,0.1977,1.1013,1.1823,0.117,2.333,0.1267,0.6543,0.8147,3,opened_or_broad,flat_span_over_pi,0.1803,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,niijima1~2,10,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,35.729,32.089,727.533,11.433,24.212,30.988,25.061,15.579,9.864,76.415,0.4074,1.9891,0.9661,38.585,11.299,0.32,0.9657,0.383,3,opened_or_broad,flat_span_over_pi,0.2251,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
