stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,132920,255,230.0,184.0,255.0,0,99.0,4.0,230.0,0,91.0,10.0,218.0
green_reproductive_organ,39268,225,126.0,25.0,231.0,255,223.0,13.0,255.0,0,81.0,15.0,211.0
