island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc
Kozushima,4,kozu2,2,,,,,1,1097,1105,1,1,not_triggered,40.98,28.45,0.694,,,738.6,48.452,6.56,145,19.633,0.965,1,0.003,0,7.79,30.72,4,0.775,1.39,,119,26,4,5.347,1.213,0.3341,0.086,7.6129,0.0,440,129.082,17.477,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,832,1620.03,40.979,27.093,738.53,10.171,30.723,24.469,21.167,11.684,7.789,47.644,0.2535,2.0942,1.4515,6.499,6.954,4,opened_or_broad,flat_span_over_pi,0.3663,guide_density_secondary,boundary_sinuses,
Kozushima,4,kozu2,2,,,,,2,446,1212,2,1,not_triggered,42.42,28.19,0.665,,,803.1,10.036,1.25,37,4.607,0.744,1,0.111,1,8.95,28.78,5,0.849,1.42,,30,7,0,0.973,0.277,0.2712,0.0932,2.0072,0.0,0,10.036,1.25,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,832,1620.03,42.418,26.501,803.254,9.313,33.021,19.389,20.828,13.039,6.172,29.915,0.1869,1.487,1.5854,1.439,0.236,5,opened_or_broad,flat_span_over_pi,0.5626,guide_density_secondary,boundary_sinuses,
Kozushima,4,kozu2,2,,,,,3,1236,1525,3,1,not_triggered,40.47,25.06,0.619,,,680.8,45.986,6.755,228,33.49,0.973,1,0.006,0,7.36,31.25,6,0.8,1.51,,205,23,1,5.308,1.447,0.2017,0.086,4.0502,0.0,543,130.946,19.234,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,832,1620.03,40.471,23.537,680.845,8.352,32.034,21.082,16.933,16.849,6.711,35.368,0.2095,1.2513,1.8918,7.129,4.918,6,opened_or_broad,flat_span_over_pi,0.1098,guide_density_secondary,boundary_sinuses,
Kozushima,4,kozu2,2,,,,,4,421,1668,4,1,not_triggered,44.37,23.62,0.532,check,,759.5,0.208,0.027,7,0.922,0.618,0,0.066,0,5.52,36.28,4,0.872,1.85,,7,0,0,0.027,0.0,0.0297,0.0215,0.0789,0.0,0,0.208,0.027,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,832,1620.03,44.365,23.368,759.526,6.725,37.556,13.97,18.457,12.954,8.894,62.122,0.2368,1.0784,2.0347,0.034,0.032,4,folded_half,2x_flat_span_over_pi,0.6491,guide_density_secondary,profile_fallback,sinus|folded_mouth_proxy
Kozushima,4,kozu2,2,,,,,5,401,2132,6,1,not_triggered,46.57,35.73,0.767,,,1094.2,28.416,2.597,146,13.343,0.962,1,0.02,0,7.68,38.7,5,0.862,1.26,,123,23,2,2.03,0.567,0.1946,0.0538,5.4193,0.0,409,124.136,11.345,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,832,1620.03,46.567,32.305,1094.192,7.778,38.704,24.13,24.892,21.167,7.681,46.335,0.1984,1.14,1.5549,2.638,2.36,5,opened_or_broad,flat_span_over_pi,0.5178,guide_density_secondary,boundary_sinuses,
Kozushima,4,kozu2,2,,,,,6,1352,2074,5,1,not_triggered,54.78,29.89,0.546,check,,1024.1,43.276,4.226,196,19.138,0.997,1,0.014,0,8.06,42.66,4,0.754,1.77,,166,30,3,3.282,0.944,0.2208,0.086,3.5197,0.0,524,120.036,11.721,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,832,1620.03,54.779,29.379,1024.142,15.796,38.899,24.977,22.86,14.732,15.901,198.573,0.4088,1.6954,1.7016,4.442,3.409,6,folded_half,2x_flat_span_over_pi,0.1462,shape_end_complexity,boundary_sinuses,folded_mouth_proxy
Kozushima,4,kozu2,2,,,,,7,404,2634,8,1,not_triggered,41.83,25.91,0.619,,,762.1,63.677,8.356,87,11.416,0.986,1,0.001,0,7.95,32.18,7,0.777,1.44,,71,16,4,7.58,0.776,0.7319,0.1075,15.8064,0.0,193,82.401,10.813,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,832,1620.03,41.825,25.231,762.121,9.557,32.183,24.892,18.796,13.547,7.923,49.307,0.2462,1.8375,1.7122,9.259,4.794,7,opened_or_broad,flat_span_over_pi,0.2377,guide_density_secondary,boundary_sinuses,
Kozushima,4,kozu2,2,,,,,8,1018,2595,7,1,not_triggered,43.18,25.57,0.592,,,732.1,54.272,7.414,107,14.616,0.982,1,0.0,0,8.06,31.64,4,0.812,1.59,,90,17,5,6.414,1.0,0.5072,0.172,7.2831,0.0,345,85.677,11.704,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,832,1620.03,43.18,24.007,732.006,11.457,31.638,25.315,21.505,13.123,8.058,50.999,0.2547,1.929,1.4712,7.173,8.404,4,opened_or_broad,flat_span_over_pi,0.0813,guide_density_secondary,boundary_sinuses,
Kozushima,4,kozu2,2,,,,,9,347,3028,9,1,not_triggered,34.71,26.75,0.771,,,826.2,77.921,9.432,123,14.888,0.988,1,0.001,0,8.25,28.8,5,0.886,1.62,,108,15,5,8.383,1.049,0.6335,0.1505,17.5054,0.0,412,114.738,13.888,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,832,1620.03,34.713,26.585,728.737,11.09,23.538,25.569,25.823,24.215,8.139,52.027,0.3458,1.0559,0.9115,7.095,11.124,3,opened_or_broad,flat_span_over_pi,0.1244,shape_end_complexity,profile_fallback,sinus
