island,sheet,corolla_id,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Kozushima,kozu1,1,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,30.096,20.404,482.823,8.78,21.231,20.319,17.854,9.692,6.468,32.855,0.3046,2.0965,1.1892,2.409,1.35,0.2917,0.9958,0.4986,4,opened_or_broad,flat_span_over_pi,0.1347,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Kozushima,kozu1,2,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,30.096,21.339,486.271,7.404,22.607,19.639,20.999,8.162,6.251,30.692,0.2765,2.4062,1.0766,7.191,2.651,0.246,0.9203,0.4883,5,opened_or_broad,flat_span_over_pi,0.263,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Kozushima,kozu1,3,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,26.44,16.536,334.42,8.266,18.089,16.238,14.283,9.777,5.169,20.983,0.2857,1.6609,1.2665,19.169,17.999,0.3126,0.982,0.4577,2,opened_or_broad,flat_span_over_pi,0.1805,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Kozushima,kozu1,4,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,29.331,16.561,378.315,9.191,20.055,16.153,15.218,13.943,5.142,20.764,0.2564,1.1585,1.3179,5.428,5.876,0.3133,0.9754,0.4686,1,opened_or_broad,flat_span_over_pi,0.0284,guide_density_secondary,profile_fallback,orientation|sinus,,,auto_unreviewed
Kozushima,kozu1,5,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,23.635,15.898,295.462,6.821,16.729,12.838,15.898,10.032,4.086,13.115,0.2443,1.2797,1.0523,3.949,0.664,0.2886,0.8075,0.4606,6,opened_or_broad,flat_span_over_pi,0.4833,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Kozushima,kozu1,6,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,31.796,22.189,554.473,9.423,22.288,20.744,19.724,11.817,6.603,34.244,0.2963,1.7554,1.13,6.925,5.318,0.2964,0.9349,0.4793,7,opened_or_broad,flat_span_over_pi,0.2136,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Kozushima,kozu1,7,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,30.946,21.582,516.397,8.819,22.043,22.274,18.874,17.003,7.09,39.482,0.3217,1.31,1.1679,13.937,12.071,0.285,1.0321,0.4386,2,opened_or_broad,flat_span_over_pi,0.2342,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Kozushima,kozu1,8,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,31.966,22.955,592.969,9.089,22.792,22.019,21.509,13.603,7.009,38.583,0.3075,1.6188,1.0597,2.934,2.717,0.2843,0.9593,0.4777,8,opened_or_broad,flat_span_over_pi,0.2794,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Kozushima,kozu1,9,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,28.226,19.554,440.085,7.868,20.273,19.554,18.194,18.704,6.224,30.427,0.307,1.0455,1.1143,1.352,0.487,0.2787,1.0,0.464,4,opened_or_broad,flat_span_over_pi,0.2741,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Kozushima,kozu1,10,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,27.886,19.354,422.868,8.049,19.751,18.109,17.173,12.583,5.764,26.095,0.2918,1.4392,1.1501,6.214,2.423,0.2887,0.9356,0.4691,7,opened_or_broad,flat_span_over_pi,0.4325,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
