stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,74180,255,234.0,199.0,255.0,0,107.0,5.0,228.0,26,100.0,13.0,221.0
green_reproductive_organ,15102,225,155.0,19.0,232.0,255,230.0,43.0,255.0,54,116.0,41.0,219.0
