island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Kozushima,kozu1,1,96,86,10,0,9.823,2.034,1.663,0.371,19.884,0.1023,0.0506,1.0336,0.0,1,207,128.866,26.691,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,2,147,132,15,1,29.273,6.021,5.116,0.905,30.236,0.1991,0.1012,3.0213,0.0,1,258,174.127,35.816,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,3,121,103,18,5,62.883,18.804,16.779,2.025,36.183,0.5197,0.094,15.0412,0.0,1,334,132.126,39.51,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,4,118,106,12,1,20.78,5.493,4.887,0.606,31.192,0.1761,0.0506,3.4694,0.0,1,237,77.396,20.459,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,5,69,67,2,0,8.941,3.026,2.236,0.79,23.352,0.1296,0.0651,1.4094,0.0,1,169,54.932,18.591,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,6,165,152,13,0,35.576,6.417,5.358,1.059,29.76,0.2156,0.1229,1.8937,0.0,1,412,182.475,32.912,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,7,155,141,14,4,69.496,13.458,11.715,1.743,30.016,0.4484,0.1301,14.7232,0.0,1,546,159.541,30.895,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,8,142,138,4,0,16.783,2.831,2.397,0.434,23.949,0.1182,0.0651,0.6794,0.0,1,348,119.282,20.117,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,9,77,76,1,0,4.828,1.097,0.997,0.1,17.499,0.0627,0.0217,0.5999,0.0,1,161,88.99,20.224,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,10,122,116,6,0,21.445,5.071,4.109,0.962,28.851,0.1758,0.0903,1.7708,0.0,1,258,115.104,27.22,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
