island,sheet,organ_id,nearest_corolla,cx,cy,x1,y1,x2,y2,length_mm,width_mm,aspect,angle_deg,organ_type_auto,organ_type_FILL,exclude_FILL,detection_source,nearest_corolla_hint,association_confirmed,visibility_note
Kozushima,kozu1,1,3,1625.76,1031.18,1631,1094,1618,969,29.63,0.44,66.99,84.06,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu1,2,2,1126.97,1070.62,1096,979,1154,1158,40.26,0.46,87.16,72.05,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu1,3,2,589.8,1156.78,566,1086,612,1228,27.32,0.54,50.63,72.05,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu1,4,5,1707.75,1481.91,1689,1418,1727,1550,25.91,0.57,45.12,73.94,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu1,5,6,1161.71,1488.61,1135,1408,1188,1571,31.9,0.57,55.83,71.99,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu1,6,4,664.53,1504.38,672,1438,664,1568,23.96,0.53,44.93,-86.48,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu1,7,7,645.62,1819.2,645,1743,646,1895,33.8,0.47,71.49,89.62,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu1,8,9,1334.23,1888.59,1311,1804,1360,1970,31.14,0.54,57.84,73.55,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu1,9,9,1562.18,2137.99,1474,2137,1650,2142,37.68,0.44,85.43,1.63,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu1,10,10,640.65,2237.95,644,2166,636,2316,54.58,0.28,198.06,-86.95,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
