island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc
Oshima,1,oshima13~15,,13|14|15,,,,1,502,1018,4,1,not_triggered,38.02,32.34,0.851,,,730.4,12.774,1.749,132,18.073,0.993,1,0.403,1,6.9,28.26,4,0.831,1.0,,106,26,0,1.342,0.407,0.0968,0.0573,0.9534,0.0,245,191.061,26.159,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,38.015,30.937,730.358,10.19,27.741,24.723,25.315,13.208,7.869,48.639,0.2837,1.8718,1.0958,1.961,0.769,4,opened_or_broad,flat_span_over_pi,0.1589,shape_end_complexity,boundary_sinuses,
Oshima,1,oshima13~15,,13|14|15,,,,2,886,977,2,1,not_triggered,32.94,29.29,0.889,,,654.4,84.609,12.929,181,27.657,0.964,1,0.017,0,9.22,22.7,8,0.865,1.1,,171,10,6,12.016,0.912,0.4675,0.1362,5.8136,0.0,558,211.376,32.299,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,32.935,29.125,654.652,8.538,24.312,29.21,20.997,13.208,9.298,67.897,0.3824,2.2115,1.1579,14.902,7.463,8,opened_or_broad,flat_span_over_pi,0.2035,shape_end_complexity,profile_fallback,sinus
Oshima,1,oshima13~15,,13|14|15,,,,3,1473,960,1,1,not_triggered,42.67,35.22,0.825,,,1028.0,30.753,2.992,213,20.72,0.835,1,0.29,1,8.22,26.95,4,0.839,1.11,,195,18,0,2.662,0.329,0.1444,0.0717,1.5699,0.0,455,277.871,27.031,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,42.672,34.883,1027.963,7.403,35.184,30.141,27.263,17.611,9.594,72.296,0.2727,1.7115,1.2906,3.102,2.391,4,opened_or_broad,flat_span_over_pi,0.1326,shape_end_complexity,boundary_sinuses,
Oshima,1,oshima13~15,,13|14|15,,,,4,1898,990,3,1,not_triggered,37.0,25.15,0.68,,,693.8,88.057,12.691,167,24.069,0.915,1,0.02,0,5.88,31.78,6,0.933,1.36,,155,12,7,11.805,0.886,0.5273,0.1434,9.1469,0.0,576,210.975,30.406,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,36.999,24.807,693.806,5.194,31.721,18.457,24.045,16.341,5.875,27.11,0.1852,1.1295,1.3192,13.267,1.416,6,opened_or_broad,flat_span_over_pi,0.1806,shape_end_complexity,boundary_sinuses,
Oshima,1,oshima13~15,,13|14|15,,,,5,480,1567,5,1,not_triggered,37.85,28.62,0.756,,,862.0,335.154,38.879,235,27.261,0.971,1,0.008,0,8.33,22.6,4,0.963,1.32,,145,90,9,24.835,14.043,1.4262,0.129,193.2542,0.0,1906,492.781,57.164,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,37.846,28.279,862.085,4.542,33.22,27.855,26.501,15.579,8.867,61.746,0.2669,1.788,1.2535,37.701,49.333,6,opened_or_broad,flat_span_over_pi,0.0824,shape_end_complexity,boundary_sinuses,
Oshima,1,oshima13~15,,13|14|15,,,,6,1177,1626,6,1,not_triggered,45.21,31.24,0.691,,,1022.2,307.211,30.054,240,23.478,0.919,1,0.129,1,15.09,30.1,3,0.928,1.47,,180,60,12,23.666,6.388,1.28,0.1792,127.1683,0.0,1389,538.759,52.705,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,45.212,30.819,1022.178,6.09,39.037,29.041,27.601,14.732,9.244,67.113,0.2368,1.9713,1.4143,31.127,18.7,4,opened_or_broad,flat_span_over_pi,0.1624,shape_end_complexity,boundary_sinuses,
Oshima,1,oshima13~15,,13|14|15,,,,7,1698,1668,7,1,not_triggered,38.61,28.96,0.75,,,817.4,202.724,24.802,349,42.698,1.0,1,0.172,1,8.3,29.6,4,0.911,1.31,,241,108,9,16.666,8.136,0.5809,0.0789,74.8673,0.0,1103,420.86,51.49,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,38.608,28.702,817.347,5.602,32.922,24.638,27.517,16.849,7.843,48.306,0.2382,1.4623,1.1964,24.995,23.6,4,opened_or_broad,flat_span_over_pi,0.2246,shape_end_complexity,boundary_sinuses,
Oshima,1,oshima13~15,,13|14|15,,,,8,541,2269,8,1,not_triggered,49.87,31.33,0.628,,,1052.0,335.505,31.891,217,20.627,0.862,1,0.016,0,7.36,39.33,5,0.71,1.09,,155,62,7,27.23,4.661,1.5461,0.1864,108.1432,0.0,1383,498.064,47.343,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,49.869,30.734,1051.97,9.974,39.81,22.86,29.549,15.325,7.277,41.586,0.1828,1.4917,1.3473,33.308,14.206,5,opened_or_broad,flat_span_over_pi,0.2186,shape_end_complexity,boundary_sinuses,
Oshima,1,oshima13~15,,13|14|15,,,,9,1165,2292,9,1,not_triggered,43.01,31.33,0.728,,,1055.2,347.161,32.901,318,30.137,0.994,1,0.035,0,9.35,37.63,5,0.927,1.38,,228,90,20,25.978,6.923,1.0917,0.1935,89.0322,0.0,1685,547.605,51.897,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,43.011,31.157,1055.16,5.293,37.633,29.379,28.194,19.727,9.352,68.687,0.2485,1.4893,1.3348,33.49,26.075,5,opened_or_broad,flat_span_over_pi,0.227,shape_end_complexity,boundary_sinuses,
Oshima,1,oshima13~15,,13|14|15,,,,10,448,2949,11,1,not_triggered,49.02,28.45,0.58,,,1066.2,54.251,5.088,234,21.946,0.933,1,0.044,0,14.23,41.64,3,0.93,1.64,,228,6,0,4.733,0.355,0.2318,0.1147,1.9068,0.0,627,227.405,21.328,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,49.022,27.855,1066.264,7.302,41.635,22.352,26.67,18.373,7.115,39.758,0.1709,1.2166,1.5611,5.219,3.714,3,opened_or_broad,flat_span_over_pi,0.2273,shape_end_complexity,boundary_sinuses,
