island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,fragment_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Toshima,2,toshima2~3,,2|3,,,,1,429,933,2,1,not_triggered,31.5,23.71,0.753,,,,523.6,27.935,5.335,102,19.479,0.916,1,0.066,0,4.1,26.36,4,0.902,1.23,,96,6,1,4.861,0.474,0.2739,0.1183,4.595,0.0,272,103.613,19.787,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,31.496,23.368,523.555,4.196,27.216,8.128,22.521,14.986,2.587,5.257,0.0951,0.5424,1.2084,5.457,1.546,0.1332,0.3478,0.3051,4,opened_or_broad,flat_span_over_pi,0.2083,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima2~3,,2|3,,,,2,975,927,1,1,not_triggered,34.29,24.81,0.724,,,,601.8,3.047,0.506,41,6.812,0.849,1,0.027,0,13.53,23.97,3,0.876,1.37,,40,1,0,0.474,0.032,0.0743,0.0358,0.3513,0.0,0,3.047,0.506,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,34.29,24.638,601.863,8.187,26.018,20.151,23.029,14.563,6.414,32.312,0.2465,1.3837,1.1298,0.417,1.303,0.2388,0.8179,0.5714,5,opened_or_broad,flat_span_over_pi,0.318,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima2~3,,2|3,,,,3,1349,965,3,1,not_triggered,31.92,24.81,0.777,,,,521.8,8.502,1.629,56,10.731,0.87,1,0.027,0,5.36,22.21,7,0.734,1.06,,48,8,0,1.217,0.412,0.1518,0.0538,1.9426,0.0,160,53.147,10.185,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,31.919,24.553,521.942,5.378,26.456,15.071,23.791,15.748,4.797,18.074,0.1813,0.957,1.112,1.69,0.849,0.1685,0.6138,0.5064,7,opened_or_broad,flat_span_over_pi,0.2006,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima2~3,,2|3,,,,4,481,1351,5,1,not_triggered,23.03,21.08,0.915,,,,320.5,7.735,2.413,40,12.481,0.926,1,0.006,0,9.27,15.02,3,0.811,1.01,,34,6,0,2.018,0.396,0.1934,0.0753,1.5125,0.0,139,32.961,10.285,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,23.029,20.781,320.501,7.925,15.02,14.563,19.727,15.325,4.635,16.876,0.3086,0.9503,0.7614,2.946,0.348,0.3441,0.7008,0.3362,3,opened_or_broad,flat_span_over_pi,0.711,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima2~3,,2|3,,,,5,842,1428,7,1,not_triggered,21.0,18.71,0.891,,,,246.8,37.512,15.199,92,37.277,0.939,1,0.002,0,3.61,15.08,6,0.806,1.13,,78,14,2,12.838,2.361,0.4077,0.1434,4.7383,0.0,286,78.896,31.967,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,20.997,16.933,246.81,6.495,14.418,15.24,14.647,12.361,4.851,18.482,0.3365,1.2329,0.9843,14.312,19.692,0.3093,0.9,0.4478,6,opened_or_broad,flat_span_over_pi,0.1216,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima2~3,,2|3,,,,6,1257,1451,6,1,not_triggered,37.34,23.96,0.642,,,,694.8,145.111,20.885,255,36.7,0.943,1,0.056,0,6.79,24.52,4,0.93,1.51,,239,16,8,18.458,2.427,0.5691,0.1219,21.0107,0.0,761,296.071,42.611,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,37.338,23.707,694.845,4.481,32.773,21.759,22.267,16.002,6.926,37.677,0.2113,1.3598,1.4718,19.303,44.788,0.12,0.9179,0.5807,5,opened_or_broad,flat_span_over_pi,0.1211,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima2~3,,2|3,,,,7,1701,1474,4,1,not_triggered,44.11,24.13,0.547,check,,,741.3,85.176,11.49,154,20.774,0.842,1,0.074,0,1.89,37.5,4,0.853,1.64,,144,10,5,10.525,0.965,0.5531,0.1039,33.0609,0.0,405,238.896,32.226,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,44.111,23.876,741.375,6.526,37.501,5.927,22.183,13.039,3.773,11.181,0.1006,0.4545,1.6905,12.348,0.0,0.1479,0.2482,0.4521,4,folded_half,2x_flat_span_over_pi,0.2713,shape_end_complexity,boundary_sinuses,folded_mouth_proxy,,,auto_unreviewed
Toshima,2,toshima2~3,,2|3,,,,8,306,1843,8,1,not_triggered,41.74,23.45,0.562,,,,644.1,67.512,10.481,277,43.004,0.87,1,0.036,0,13.69,23.25,2,0.83,1.76,,271,6,3,9.647,0.835,0.2437,0.0932,7.5269,0.0,535,195.57,30.362,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,41.741,22.775,644.092,7.788,33.868,14.309,20.743,13.631,9.109,65.17,0.269,1.0497,1.6327,9.878,25.55,0.1866,0.6283,0.5719,5,folded_half,2x_flat_span_over_pi,0.3266,shape_end_complexity,boundary_sinuses,folded_mouth_proxy,,,auto_unreviewed
Toshima,2,toshima2~3,,2|3,,,,9,856,1838,9,1,not_triggered,36.58,25.65,0.701,,,,662.1,95.369,14.403,215,32.471,0.854,1,0.022,0,7.28,25.35,5,0.903,1.41,,202,13,6,13.219,1.184,0.4436,0.1147,23.6344,0.0,674,194.881,29.433,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,36.576,25.353,662.121,11.056,25.435,21.167,22.945,16.341,6.738,35.653,0.2649,1.2953,1.1085,11.364,27.77,0.3023,0.8349,0.5928,3,opened_or_broad,flat_span_over_pi,0.189,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,2,toshima2~3,,2|3,,,,10,1407,1936,10,1,not_triggered,29.29,24.13,0.824,,,,489.8,6.444,1.316,58,11.841,0.843,1,0.023,0,13.58,22.72,3,0.899,1.23,,57,1,0,1.302,0.013,0.1111,0.043,0.5878,0.0,156,45.441,9.277,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,29.295,23.876,489.842,6.494,22.716,21.336,20.32,13.631,6.791,36.226,0.299,1.5652,1.1179,1.455,0.523,0.2217,0.8936,0.2983,3,opened_or_broad,flat_span_over_pi,0.265,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
