date,island,no,lat,lon,id,collar,organ,status
2026.7.4,oshima,1,34.76697,139.37248,1,1,1,s
2026.7.4,oshima,1,34.76697,139.37248,1,2,2,p
2026.7.4,oshima,1,34.76697,139.37248,2,3,3,p
2026.7.4,oshima,1,34.76697,139.37248,2,4,4,s
2026.7.4,oshima,1,34.76697,139.37248,3,5,5,p
2026.7.4,oshima,1,34.76697,139.37248,3,6,6,p
2026.7.4,oshima,1,34.76697,139.37248,4,7,7,s
2026.7.4,oshima,1,34.76697,139.37248,5,8,8,s
2026.7.4,oshima,1,34.76697,139.37248,5,9,9,s
2026.7.4,oshima,4,34.78443,139.4136,1,10,10,s
2026.7.4,oshima,4,34.78443,139.4136,1,13,13,p
2026.7.4,oshima,4,34.78443,139.4136,2,14,14,p
2026.7.4,oshima,4,34.78443,139.4136,2,16,16,p
2026.7.4,oshima,4,34.78443,139.4136,3,11,11,p
2026.7.4,oshima,4,34.78443,139.4136,3,12,12,s
2026.7.4,oshima,4,34.78443,139.4136,4,15,15,p
2026.7.4,oshima,4,34.78443,139.4136,5,17,17,s
2026.7.4,oshima,4,34.78443,139.4136,5,18,17,p
2026.7.4,oshima,5,34.7846373,139.4115378,1,19,19,s
2026.7.4,oshima,5,34.7846373,139.4115378,1,20,20,p
2026.7.4,oshima,5,34.7846373,139.4115378,2,21,21,p
2026.7.4,oshima,5,34.7846373,139.4115378,3,22,22,p
2026.7.4,oshima,5,34.7846373,139.4115378,3,23,23,s
2026.7.5,oshima,6,34.78538,139.39223,1,24,24,p
2026.7.5,oshima,6,34.78538,139.39223,1,25,25,p
2026.7.5,oshima,6,34.78538,139.39223,2,26,26,p
2026.7.5,oshima,6,34.78538,139.39223,2,27,27,p
2026.7.5,oshima,6,34.78538,139.39223,3,28,28,s
2026.7.5,oshima,6,34.78538,139.39223,3,29,29,s
2026.7.5,oshima,7,34.78843,139.39223,1,30,30,s
2026.7.5,oshima,7,34.78843,139.39223,1,31,31,p
2026.7.5,oshima,7,34.78843,139.39223,2,32,32,p
2026.7.5,oshima,7,34.78843,139.39223,2,33,33,p
2026.7.5,oshima,7,34.78843,139.39223,3,34,34,s
2026.7.5,oshima,7,34.78843,139.39223,3,35,35,p
2026.7.5,oshima,8,34.72078,139.35477,1,36,36,s
2026.7.5,oshima,8,34.72078,139.35477,1,37,37,p
2026.7.5,oshima,8,34.72078,139.35477,2,38,38,p
2026.7.5,oshima,8,34.72078,139.35477,2,39,39,s
2026.7.5,oshima,8,34.72078,139.35477,3,40,40,p
2026.7.5,oshima,8,34.72078,139.35477,3,41,41,p
2026.7.5,oshima,8,34.72078,139.35477,4,42,42,p
2026.7.5,oshima,8,34.72078,139.35477,4,43,43,p
