stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,52276,255,234.0,199.0,255.0,14,109.0,7.0,229.0,0,93.0,8.0,218.0
green_reproductive_organ,10528,225,161.0,31.0,232.0,255,199.0,31.0,252.0,0,99.0,27.0,206.0
