island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Shikinejima,shikine1~4,1,47,39,8,0,2.075,0.513,0.401,0.112,11.614,0.0442,0.0288,0.2234,0.0,1,0,2.075,0.513,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0848826,117.8098,0.0044,13,12,809,203.78|321.67|439.35|557.15|675.49|793.01|911.50|1028.07|1146.11|1263.75|1380.68|1498.50|1616.48
Shikinejima,shikine1~4,2,18,18,0,0,0.793,0.19,0.19,0.0,4.32,0.044,0.036,0.1009,0.0,0,0,0.793,0.19,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0848826,117.8098,0.0044,13,12,809,203.78|321.67|439.35|557.15|675.49|793.01|911.50|1028.07|1146.11|1263.75|1380.68|1498.50|1616.48
Shikinejima,shikine1~4,3,17,14,3,0,1.333,0.362,0.342,0.02,4.612,0.0784,0.0504,0.2954,0.0,0,0,1.333,0.362,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0848826,117.8098,0.0044,13,12,809,203.78|321.67|439.35|557.15|675.49|793.01|911.50|1028.07|1146.11|1263.75|1380.68|1498.50|1616.48
Shikinejima,shikine1~4,4,20,20,0,0,0.713,0.097,0.097,0.0,2.729,0.0357,0.0324,0.0937,0.0,0,0,0.713,0.097,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0848826,117.8098,0.0044,13,12,809,203.78|321.67|439.35|557.15|675.49|793.01|911.50|1028.07|1146.11|1263.75|1380.68|1498.50|1616.48
Shikinejima,shikine1~4,5,26,26,0,0,1.672,0.216,0.209,0.007,3.359,0.0643,0.036,0.3242,0.0,0,0,1.672,0.216,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0848826,117.8098,0.0044,13,12,809,203.78|321.67|439.35|557.15|675.49|793.01|911.50|1028.07|1146.11|1263.75|1380.68|1498.50|1616.48
Shikinejima,shikine1~4,6,428,410,18,9,190.963,11.644,10.62,1.024,26.098,0.4462,0.1801,22.7968,0.0,1,1465,385.514,23.508,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0848826,117.8098,0.0044,13,12,809,203.78|321.67|439.35|557.15|675.49|793.01|911.50|1028.07|1146.11|1263.75|1380.68|1498.50|1616.48
