island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,fragment_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Oshima,1,oshima1,1,,,,,1,669,1070,1,1,shimask_red_outline_from_raw_difference,48.85,34.46,0.705,,check,,1272.1,247.756,19.477,67,5.267,0.97,1,0.0,0,19.62,41.65,3,0.902,1.44,,40,27,1,18.134,1.342,3.6979,0.1004,232.0857,0.0,428,286.294,22.506,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,48.853,33.782,1272.027,7.122,41.646,30.819,31.242,20.066,9.81,75.582,0.2356,1.5359,1.333,21.253,0.149,0.1458,0.9123,0.2258,3,opened_or_broad,flat_span_over_pi,0.2173,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima1,1,,,,,2,1440,1108,2,1,shimask_red_outline_from_raw_difference,50.46,33.19,0.658,,check,,1218.1,194.294,15.951,109,8.949,0.739,1,0.004,0,16.82,41.4,3,0.908,1.38,,90,19,4,15.045,0.906,1.7825,0.1577,69.1612,0.0,700,277.949,22.819,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,50.461,32.851,1218.049,8.976,41.4,26.416,30.311,20.405,8.408,55.53,0.2031,1.2946,1.3659,17.334,0.0,0.1779,0.8041,0.2462,3,opened_or_broad,flat_span_over_pi,0.2232,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima1,1,,,,,3,678,1932,3,1,shimask_red_outline_from_raw_difference,46.06,37.25,0.809,,check,,1231.4,200.853,16.311,80,6.497,0.932,1,0.0,0,10.08,40.49,4,0.895,1.23,,59,21,1,14.885,1.426,2.5107,0.1004,179.0464,0.0,494,241.068,19.576,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,46.059,36.394,1231.475,5.527,40.447,31.665,30.988,21.844,10.079,79.792,0.2492,1.4496,1.3052,17.466,0.009,0.12,0.8701,0.1861,4,opened_or_broad,flat_span_over_pi,0.1262,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima1,1,,,,,4,1597,1957,4,1,shimask_red_outline_from_raw_difference,45.55,30.9,0.678,,check,,1101.4,256.014,23.245,73,6.628,0.756,1,0.0,0,16.98,38.71,3,0.908,1.47,,65,8,1,22.352,0.893,3.507,0.1792,235.5696,0.0,433,296.157,26.89,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,45.551,30.565,1101.382,6.761,38.705,26.67,28.617,20.405,8.489,56.603,0.2193,1.3071,1.3525,25.593,0.0,0.1484,0.8726,0.2336,3,opened_or_broad,flat_span_over_pi,0.2639,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
