stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,32291,255,225.0,175.0,255.0,19,138.0,15.0,222.0,38,134.0,27.0,215.0
green_reproductive_organ,7095,45,149.0,40.0,212.0,225,223.0,62.0,246.0,66,125.0,60.0,205.0
