stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,30382,255,224.0,183.0,255.0,22,134.0,15.0,220.0,31,124.0,25.0,213.0
green_reproductive_organ,7314,194,146.0,43.0,211.0,224,221.0,78.0,246.0,79,121.0,61.0,203.3
