island,sheet,organ_id,nearest_corolla,cx,cy,x1,y1,x2,y2,length_mm,width_mm,aspect,angle_deg,organ_type_auto,organ_type_FILL,exclude_FILL,detection_source,nearest_corolla_hint,association_confirmed,visibility_note
Toshima,toshima2~3,1,1,612.34,912.67,584,807,638,1016,50.76,0.38,132.12,75.51,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima2~3,2,3,1178.67,934.01,1167,816,1192,1045,54.54,0.33,164.24,83.77,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima2~3,3,3,1632.77,955.56,1595,846,1676,1052,39.44,0.42,94.97,68.54,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima2~3,4,4,609.54,1365.49,620,1280,599,1439,36.15,0.34,107.37,-82.48,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima2~3,5,5,989.06,1412.77,981,1344,997,1480,28.14,0.37,75.99,83.29,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima2~3,6,7,1499.78,1453.89,1511,1573,1490,1322,61.46,0.28,217.62,85.22,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima2~3,7,7,1721.9,1691.39,1608,1667,1834,1706,46.86,0.45,104.74,9.79,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima2~3,8,8,570.9,1810.48,552,1683,578,1930,61.8,0.33,184.6,83.99,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima2~3,9,9,1110.39,1916.62,1144,1806,1083,2008,45.69,0.42,107.54,-73.2,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima2~3,10,10,1592.17,1948.63,1578,1848,1606,2045,40.93,0.48,85.58,81.91,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima2~3,11,12,1106.88,2269.02,1096,2160,1119,2375,46.75,0.4,115.73,83.89,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima2~3,12,11,522.5,2312.04,483,2208,557,2413,36.22,0.55,66.22,70.15,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima2~3,13,13,1586.33,2355.59,1581,2250,1595,2446,39.9,0.53,74.79,85.91,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima2~3,14,14,560.94,2713.72,558,2625,566,2804,53.85,0.25,213.15,87.44,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima2~3,15,16,1105.99,2744.11,1124,2633,1089,2854,53.14,0.36,147.31,-81.0,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima2~3,16,16,1592.62,2769.31,1572,2875,1612,2658,45.86,0.52,89.02,-79.56,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
