stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,92622,255,232.0,170.0,255.0,25,140.0,15.0,232.0,0,123.0,14.0,223.0
green_reproductive_organ,32300,218,163.0,53.0,235.0,255,210.0,36.0,255.0,0,113.0,13.0,212.0
