island,sheet,corolla_id,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Toshima,toshima2~3,1,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,30.819,22.86,544.042,4.081,26.653,15.579,21.929,16.002,4.959,19.313,0.1861,0.9735,1.2155,5.364,0.616,0.1324,0.6815,0.3049,4,opened_or_broad,flat_span_over_pi,0.2284,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima2~3,2,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,34.29,6.011,110.724,7.791,26.415,5.08,2.371,3.133,3.234,8.214,0.1224,1.6216,11.1422,0.193,2.875,0.2272,0.8451,0.8587,4,folded_half,2x_flat_span_over_pi,0.1482,shape_end_complexity,boundary_sinuses,folded_mouth_proxy,,,auto_unreviewed
Toshima,toshima2~3,3,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,31.919,22.521,504.86,6.566,25.269,14.901,19.981,14.901,4.743,17.67,0.1877,1.0,1.2646,1.262,1.016,0.2057,0.6617,0.5081,4,opened_or_broad,flat_span_over_pi,0.1811,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima2~3,4,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,22.352,18.542,303.82,4.609,17.659,16.679,16.256,12.531,5.309,22.138,0.3007,1.3311,1.0863,2.687,1.818,0.2062,0.8995,0.2837,3,opened_or_broad,flat_span_over_pi,0.2999,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima2~3,5,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,22.098,15.579,245.577,3.682,18.332,7.705,14.393,9.567,2.452,4.724,0.1338,0.8053,1.2736,15.743,11.621,0.1666,0.4946,0.4794,5,opened_or_broad,flat_span_over_pi,0.1924,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima2~3,6,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,35.814,22.606,638.085,5.832,29.898,19.981,21.167,16.425,6.36,31.772,0.2127,1.2165,1.4125,20.352,42.981,0.1628,0.8839,0.5233,3,opened_or_broad,flat_span_over_pi,0.2749,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima2~3,7,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,36.153,21.675,613.87,4.338,31.73,16.679,20.235,14.986,5.309,22.138,0.1673,1.113,1.568,13.083,18.746,0.12,0.7695,0.4594,4,opened_or_broad,flat_span_over_pi,0.2241,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima2~3,8,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,35.899,22.86,632.422,4.85,30.964,21.082,20.066,14.139,6.711,35.368,0.2167,1.491,1.5431,8.96,32.171,0.1351,0.9222,0.6169,3,opened_or_broad,flat_span_over_pi,0.2792,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima2~3,9,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,36.407,25.061,650.91,10.448,25.875,20.32,21.929,16.425,6.468,32.858,0.25,1.2371,1.1799,11.924,26.748,0.287,0.8108,0.589,3,opened_or_broad,flat_span_over_pi,0.1832,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima2~3,10,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,30.311,22.352,483.741,6.294,23.932,18.627,19.727,13.801,5.929,27.61,0.2477,1.3497,1.2132,1.436,1.031,0.2076,0.8333,0.3582,3,opened_or_broad,flat_span_over_pi,0.24,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima2~3,11,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,28.702,21.082,425.154,6.156,22.461,17.441,17.611,12.361,5.552,24.207,0.2472,1.411,1.2754,2.999,0.028,0.2145,0.8273,0.3469,3,opened_or_broad,flat_span_over_pi,0.3015,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima2~3,12,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,,29.718,23.453,510.924,5.25,24.383,19.219,21.251,14.139,6.118,29.395,0.2509,1.3593,1.1474,0.563,1.765,0.1767,0.8195,0.7141,3,opened_or_broad,flat_span_over_pi,0.1977,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
