stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,102850,255,231.0,188.0,255.0,12,117.0,7.0,233.0,22,103.0,11.0,223.0
green_reproductive_organ,30962,23,141.0,22.0,228.0,255,232.0,35.0,255.0,0,101.0,17.0,211.0
