island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Toshima,toshima3~6,1,53,51,2,0,8.804,1.957,1.771,0.187,11.782,0.1661,0.0941,1.1657,0.0,1,161,47.852,10.638,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,2,38,35,3,0,3.584,0.817,0.668,0.149,8.662,0.0943,0.0434,1.1295,0.0,1,0,3.584,0.817,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,3,120,119,1,0,17.84,5.995,5.379,0.616,40.324,0.1487,0.0579,1.9839,0.0,1,214,67.01,22.518,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,4,102,92,10,3,58.72,16.448,15.302,1.146,28.572,0.5757,0.0869,18.608,0.0,1,226,139.813,39.164,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,5,32,21,11,0,1.405,0.189,0.102,0.086,4.294,0.0439,0.0326,0.1231,0.0,0,0,1.405,0.189,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,6,8,8,0,0,0.261,0.105,0.105,0.0,3.237,0.0326,0.0181,0.1014,0.0,0,0,0.261,0.105,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,7,121,117,4,1,59.205,8.591,8.057,0.534,17.558,0.4893,0.152,18.1663,0.0,1,397,106.616,15.471,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,8,144,139,5,0,34.501,5.541,5.227,0.314,23.127,0.2396,0.0724,2.4038,0.0,1,350,82.693,13.281,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,9,109,108,1,0,8.594,1.11,1.038,0.072,14.073,0.0788,0.0434,1.4046,0.0,1,193,70.225,9.067,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,10,45,45,0,0,3.497,0.637,0.637,0.0,8.192,0.0777,0.0362,0.362,0.0,1,0,3.497,0.637,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,11,145,141,4,0,12.685,1.787,1.642,0.146,20.432,0.0875,0.0507,1.0064,0.0,1,242,59.285,8.354,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,12,84,82,2,0,7.016,0.911,0.792,0.118,10.906,0.0835,0.0362,0.8761,0.0,1,0,7.016,0.911,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,13,117,114,3,4,62.065,11.906,11.069,0.838,22.445,0.5305,0.1303,12.0192,0.0,1,381,141.964,27.234,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,14,96,93,3,4,48.265,11.36,10.586,0.774,22.596,0.5028,0.0941,9.6805,0.0,1,284,107.21,25.234,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,15,111,106,5,0,20.331,4.024,3.629,0.396,21.97,0.1832,0.0579,2.0708,0.0,1,209,127.193,25.175,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
