island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Oshima,oshima5,1,93,84,9,0,25.011,3.794,3.3,0.494,14.108,0.2689,0.1075,2.5233,0.0,1,283,82.43,12.504,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
Oshima,oshima5,2,89,77,12,0,28.667,4.386,3.95,0.435,13.616,0.3221,0.1649,2.9319,0.0,1,363,112.036,17.14,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
Oshima,oshima5,3,194,181,13,2,54.394,9.762,8.726,1.036,34.817,0.2804,0.129,5.4265,0.0,1,509,218.222,39.164,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
Oshima,oshima5,4,135,122,13,1,29.599,3.887,3.299,0.587,17.728,0.2192,0.1075,3.4839,0.0,1,522,147.856,19.416,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
Oshima,oshima5,5,103,98,5,1,27.892,3.687,3.279,0.408,13.617,0.2708,0.1075,4.2724,0.0,1,401,115.72,15.299,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
