island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc
Oshima,1,oshima5,5,,,,,1,798,1143,2,1,not_triggered,34.88,26.08,0.748,,,659.2,25.011,3.794,93,14.108,0.832,1,0.004,0,7.6,30.03,4,0.895,1.33,,84,9,0,3.3,0.494,0.2689,0.1075,2.5233,0.0,283,82.43,12.504,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,34.883,25.908,659.211,4.765,30.033,23.876,23.029,9.313,7.6,45.364,0.2531,2.5636,1.3041,4.133,0.434,0.1366,0.9216,0.3524,4,opened_or_broad,flat_span_over_pi,0.8101,guide_density_secondary,boundary_sinuses,
Oshima,1,oshima5,5,,,,,2,1535,1141,3,1,not_triggered,31.92,27.09,0.849,,,653.7,28.667,4.386,89,13.616,0.58,1,0.08,0,8.62,14.66,4,0.907,1.12,,77,12,0,3.95,0.435,0.3221,0.1649,2.9319,0.0,363,112.036,17.14,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,31.919,26.501,653.662,17.171,14.663,26.924,18.711,14.732,8.57,57.686,0.5845,1.8276,0.7837,9.891,0.546,0.538,1.016,0.2826,4,opened_or_broad,flat_span_over_pi,0.9944,guide_density_secondary,boundary_sinuses,
Oshima,1,oshima5,5,,,,,3,870,1855,4,1,not_triggered,32.34,22.1,0.683,,,557.2,54.394,9.762,194,34.817,0.958,1,0.097,0,6.87,24.21,6,0.969,1.46,,181,13,2,8.726,1.036,0.2804,0.129,5.4265,0.0,509,218.222,39.164,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,32.343,21.929,557.218,6.773,25.485,20.913,21.082,12.615,6.657,34.802,0.2612,1.6577,1.2088,10.268,7.479,0.2094,0.9537,0.3925,6,opened_or_broad,flat_span_over_pi,0.5063,guide_density_secondary,profile_fallback,sinus
Oshima,1,oshima5,5,,,,,4,830,2587,5,1,not_triggered,33.87,27.01,0.797,,,761.5,29.599,3.887,135,17.728,0.759,1,0.014,0,8.14,26.24,4,0.914,1.24,,122,13,1,3.299,0.587,0.2192,0.1075,3.4839,0.0,522,147.856,19.416,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,33.867,26.839,761.404,4.064,29.718,23.876,26.416,20.405,7.6,45.364,0.2557,1.1701,1.125,4.208,0.173,0.12,0.8896,0.3121,4,opened_or_broad,flat_span_over_pi,0.9229,guide_density_secondary,boundary_sinuses,
Oshima,1,oshima5,5,,,,,5,1547,2624,6,1,not_triggered,37.42,28.36,0.758,,,756.4,27.892,3.687,103,13.617,0.701,1,0.007,0,5.93,32.1,6,0.926,1.13,,98,5,1,3.279,0.408,0.2708,0.1075,4.2724,0.0,401,115.72,15.299,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,37.423,28.194,756.386,5.584,31.754,21.59,27.601,14.901,6.872,37.093,0.2164,1.4489,1.1504,3.944,0.0,0.1492,0.7658,0.2901,6,opened_or_broad,flat_span_over_pi,0.99,guide_density_secondary,boundary_sinuses,
