island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,fragment_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Oshima,1,oshima7,7,,,,,1,1075,1189,2,1,not_triggered,28.87,25.15,0.871,,,,529.7,117.856,22.248,63,11.892,0.876,1,0.005,0,5.39,23.83,5,0.939,1.08,,52,11,2,21.222,1.026,1.8707,0.1505,94.0787,0.0,404,186.315,35.171,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,28.871,25.061,529.756,4.953,23.834,16.933,23.199,14.732,5.39,22.818,0.2262,1.1494,1.0274,24.225,2.132,0.1715,0.6757,0.3097,5,opened_or_broad,flat_span_over_pi,0.1334,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima7,7,,,,,2,499,1253,3,1,not_triggered,30.56,26.16,0.856,,,,552.9,13.534,2.448,61,11.033,0.694,1,0.096,0,6.87,24.59,6,0.796,1.1,,50,11,0,2.059,0.389,0.2219,0.086,2.129,0.0,213,92.265,16.688,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,30.565,25.739,552.874,6.47,24.01,24.638,22.267,15.24,7.843,48.306,0.3266,1.6167,1.0783,2.871,0.009,0.2117,0.9572,0.2831,6,opened_or_broad,flat_span_over_pi,0.969,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima7,7,,,,,3,613,1867,5,1,not_triggered,28.36,26.16,0.922,,,,549.3,116.086,21.133,62,11.287,0.889,1,0.005,0,7.79,20.37,8,0.873,1.02,,57,5,2,20.085,1.048,1.8724,0.1685,87.1325,0.0,346,173.52,31.588,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,28.363,25.823,549.311,6.703,21.575,22.267,21.251,15.833,7.088,39.457,0.3285,1.4064,1.0152,25.171,4.311,0.2363,0.8623,0.486,8,opened_or_broad,flat_span_over_pi,0.3054,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Oshima,1,oshima7,7,,,,,4,1185,1793,4,1,not_triggered,27.26,25.23,0.926,,,,534.8,15.498,2.898,83,15.52,0.907,1,0.536,1,7.71,23.45,7,0.943,1.05,,63,20,1,2.486,0.411,0.1867,0.0358,8.3943,0.0,118,84.616,15.822,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,27.263,24.807,534.817,3.272,23.906,23.876,23.368,11.938,7.6,45.364,0.3179,2.0,1.023,3.254,0.36,0.12,0.9625,0.2398,7,opened_or_broad,flat_span_over_pi,0.9245,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima7,7,,,,,5,554,2437,7,1,not_triggered,29.97,28.28,0.944,,,,530.6,246.967,46.544,138,26.008,0.986,1,0.0,0,7.09,19.1,4,0.91,1.07,,26,112,4,16.723,29.822,1.7896,0.1183,176.7525,0.0,988,330.494,62.286,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,29.972,27.686,530.602,6.037,23.85,19.558,22.013,13.631,6.226,30.44,0.261,1.4348,1.0834,47.102,40.671,0.2014,0.7064,0.5031,4,opened_or_broad,flat_span_over_pi,0.2081,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima7,7,,,,,6,1183,2458,6,1,not_triggered,33.27,25.32,0.761,,,,667.4,288.709,43.257,167,25.021,0.939,1,0.004,0,15.47,20.61,2,0.919,1.3,,73,94,4,22.016,21.241,1.7288,0.1434,103.878,0.0,1248,407.197,61.009,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,33.274,25.146,667.447,4.55,28.639,22.437,25.146,16.171,7.142,40.06,0.2494,1.3874,1.1389,44.081,34.899,0.1368,0.8923,0.5352,4,opened_or_broad,flat_span_over_pi,0.1518,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
