island,sheet,organ_id,nearest_corolla,cx,cy,x1,y1,x2,y2,length_mm,width_mm,aspect,angle_deg,organ_type_auto,organ_type_FILL,exclude_FILL,detection_source,nearest_corolla_hint,association_confirmed,visibility_note
Kozushima,kozu2,1,1,1497.78,1097.27,1494,998,1513,1196,56.12,0.35,158.45,84.52,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu2,2,2,733.1,1101.39,674,1021,789,1181,37.66,0.56,67.82,54.29,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu2,3,3,1585.96,1506.44,1602,1591,1569,1416,31.14,0.56,55.22,79.32,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu2,4,4,773.73,1606.82,744,1534,805,1676,29.07,0.53,55.34,66.75,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu2,5,6,1650.29,1977.6,1664,2078,1631,1876,45.43,0.45,100.28,80.72,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu2,6,5,780.78,2122.48,765,2016,788,2232,51.75,0.42,123.28,83.92,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu2,7,8,1381.93,2601.7,1352,2515,1414,2681,35.22,0.53,66.24,69.52,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu2,8,8,718.67,2617.55,711,2706,726,2530,58.43,0.29,198.35,-85.13,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Kozushima,kozu2,9,9,757.96,3002.21,710,2922,808,3080,31.68,0.63,50.43,58.19,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
