stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,95204,255,234.0,198.0,255.0,0,105.0,5.0,232.0,22,102.0,14.0,226.0
green_reproductive_organ,15627,232,156.0,19.0,233.0,255,235.0,53.0,255.0,57,116.0,44.0,217.0
