island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Kozushima,kozu2,1,1,1160.1,961.0,0.0717,0.3021,mixed,0.6,2.6,2.5,0.0,,
Kozushima,kozu2,1,2,1136.78,977.44,0.0645,0.2866,mixed,0.111,-0.333,0.0,0.0,,
Kozushima,kozu2,1,3,1170.0,977.5,0.043,0.234,strong,1.0,3.833,3.5,0.0,,
Kozushima,kozu2,1,4,1157.0,980.5,0.086,0.3309,mixed,0.917,6.083,5.5,0.0,,
Kozushima,kozu2,1,5,1193.0,981.86,0.0502,0.2528,mixed,0.286,1.571,1.0,0.0,,
Kozushima,kozu2,1,6,1155.83,988.0,0.1649,0.4582,mixed,0.957,6.652,5.0,0.0,,
Kozushima,kozu2,1,7,1145.0,988.33,0.2151,0.5233,mixed,0.833,5.3,5.0,0.0,,
Kozushima,kozu2,1,8,1214.1,991.1,0.0717,0.3021,mixed,0.6,2.0,2.0,0.0,,
Kozushima,kozu2,1,9,1221.0,995.5,0.0143,0.1351,weak_recovered,0.0,-2.0,-2.0,0.0,,
Kozushima,kozu2,1,10,1149.0,999.93,0.2007,0.5055,mixed,0.857,4.286,4.0,0.0,,
Kozushima,kozu2,1,11,1195.08,1006.68,0.1792,0.4777,mixed,0.8,4.36,4.0,0.0,,
Kozushima,kozu2,1,12,1205.43,1010.0,0.1004,0.3575,mixed,0.857,4.5,4.0,0.0,,
Kozushima,kozu2,1,13,1105.5,1016.0,0.0143,0.1351,weak_recovered,0.0,-1.5,-1.5,0.0,,
Kozushima,kozu2,1,14,1117.84,1021.91,0.2294,0.5404,mixed,0.219,0.219,0.0,0.0,,
Kozushima,kozu2,1,15,1227.25,1022.67,0.086,0.3309,mixed,0.833,4.583,3.5,0.0,,
Kozushima,kozu2,1,16,1254.0,1023.0,0.0215,0.1655,weak_recovered,0.0,-1.0,-1.0,0.0,,
Kozushima,kozu2,1,17,1190.25,1023.25,0.0287,0.1911,mixed,0.25,1.25,1.0,0.0,,
Kozushima,kozu2,1,18,1205.0,1026.0,0.0358,0.2136,mixed,0.6,2.2,2.0,0.0,,
Kozushima,kozu2,1,19,1108.94,1026.28,0.129,0.4053,mixed,0.389,1.611,1.0,0.0,,
Kozushima,kozu2,1,20,1139.0,1033.5,0.0143,0.1351,mixed,0.5,1.5,1.5,0.0,,
Kozushima,kozu2,1,21,1129.65,1033.72,0.5376,0.8274,mixed,0.8,6.333,6.0,0.0,,
Kozushima,kozu2,1,22,1081.08,1034.75,0.086,0.3309,weak_recovered,0.0,-0.833,-0.5,0.0,,
Kozushima,kozu2,1,23,1206.0,1034.88,0.0573,0.2702,weak_recovered,0.0,-1.0,-1.0,0.0,,
Kozushima,kozu2,1,24,1088.5,1039.5,0.0573,0.2702,mixed,0.625,1.75,2.0,0.0,,
Kozushima,kozu2,1,25,1147.57,1041.14,0.1004,0.3575,mixed,0.786,6.357,6.5,0.0,,
Kozushima,kozu2,1,26,1157.0,1041.5,0.0143,0.1351,mixed,0.5,2.0,2.0,0.0,,
Kozushima,kozu2,1,27,1111.4,1041.8,0.0717,0.3021,mixed,0.6,2.6,2.5,0.0,,
Kozushima,kozu2,1,28,996.5,1042.0,0.0143,0.1351,weak_recovered,0.0,-1.0,-1.0,0.0,,
Kozushima,kozu2,1,29,943.13,1042.73,0.2151,0.5233,mixed,0.633,2.567,2.0,0.0,,
Kozushima,kozu2,1,30,965.6,1043.5,0.0717,0.3021,weak_recovered,0.0,-0.5,-0.5,0.0,,
Kozushima,kozu2,1,31,1026.0,1043.5,0.0143,0.1351,weak_recovered,0.0,-0.5,-0.5,0.0,,
Kozushima,kozu2,1,32,1105.5,1048.0,0.0143,0.1351,mixed,0.5,1.5,1.5,0.0,,
Kozushima,kozu2,1,33,1048.16,1048.47,0.3226,0.6409,mixed,0.867,4.556,4.0,0.0,,
Kozushima,kozu2,1,34,1254.56,1048.89,0.0645,0.2866,mixed,0.333,1.333,1.0,0.0,,
Kozushima,kozu2,1,35,1005.0,1049.0,0.0215,0.1655,weak_recovered,0.0,-0.667,0.0,0.0,,
Kozushima,kozu2,1,36,1031.62,1049.3,0.3799,0.6955,mixed,0.792,2.943,3.0,0.0,,
Kozushima,kozu2,1,37,995.9,1049.95,0.1434,0.4273,mixed,0.35,0.7,1.0,0.0,,
Kozushima,kozu2,1,38,1079.13,1050.67,0.1075,0.37,mixed,0.333,1.333,1.0,0.0,,
Kozushima,kozu2,1,39,1118.5,1051.5,0.0143,0.1351,mixed,0.5,1.5,1.5,0.0,,
Kozushima,kozu2,1,40,1092.8,1052.5,0.0717,0.3021,strong,1.0,7.3,7.5,0.0,,
Kozushima,kozu2,1,41,1058.56,1053.67,0.0645,0.2866,mixed,0.889,2.333,2.0,0.0,,
Kozushima,kozu2,1,42,1264.35,1055.0,0.1434,0.4273,mixed,0.55,2.1,2.0,0.0,,
Kozushima,kozu2,1,43,986.0,1057.0,0.0645,0.2866,mixed,0.111,0.556,1.0,0.0,,
Kozushima,kozu2,1,44,1013.58,1057.88,0.172,0.468,mixed,0.792,5.667,5.5,0.0,,
Kozushima,kozu2,1,45,1028.49,1060.9,0.6165,0.886,mixed,0.849,6.488,6.0,0.0,,
Kozushima,kozu2,1,46,940.22,1062.24,1.6201,1.4362,mixed,0.796,6.004,4.0,0.0,,
Kozushima,kozu2,1,47,1130.75,1062.56,0.1147,0.3821,mixed,0.875,4.25,4.0,0.0,,
Kozushima,kozu2,1,48,1273.9,1064.04,0.4803,0.782,mixed,0.866,5.896,5.0,0.0,,
Kozushima,kozu2,1,49,1062.89,1066.08,0.2724,0.5889,mixed,0.816,6.0,6.0,0.0,,
Kozushima,kozu2,1,50,959.33,1069.02,0.4158,0.7276,mixed,0.759,3.345,3.0,0.0,,
Kozushima,kozu2,1,51,1265.8,1070.1,0.0717,0.3021,weak_recovered,0.0,-1.3,-2.0,0.0,,
Kozushima,kozu2,1,52,1088.5,1070.39,0.4014,0.7149,mixed,0.732,4.893,4.0,0.0,,
Kozushima,kozu2,1,53,981.0,1070.57,0.1004,0.3575,mixed,0.857,4.286,4.0,0.0,,
Kozushima,kozu2,1,54,969.33,1071.98,0.3728,0.6889,mixed,0.558,3.038,2.0,0.0,,
Kozushima,kozu2,1,55,995.2,1072.45,0.6021,0.8756,mixed,0.869,5.393,4.0,0.0,,
Kozushima,kozu2,1,56,1269.54,1074.08,0.0932,0.3445,mixed,0.308,1.154,1.0,0.0,,
Kozushima,kozu2,1,57,1015.51,1074.38,0.8459,1.0378,mixed,0.729,7.008,4.0,0.0,,
Kozushima,kozu2,1,58,1026.76,1075.44,0.1792,0.4777,mixed,0.88,5.8,6.0,0.0,,
Kozushima,kozu2,1,59,946.56,1078.22,0.0645,0.2866,mixed,0.444,1.333,1.0,0.0,,
Kozushima,kozu2,1,60,929.46,1078.49,0.2796,0.5966,mixed,0.872,9.308,8.0,0.0,,
Kozushima,kozu2,1,61,1298.43,1078.96,3.0538,1.9718,mixed,0.831,5.662,5.0,0.0,check,
Kozushima,kozu2,1,62,971.13,1082.63,0.4301,0.74,mixed,0.867,4.967,4.5,0.0,,
Kozushima,kozu2,1,63,1185.75,1082.67,0.086,0.3309,mixed,0.75,3.833,3.5,0.0,,
Kozushima,kozu2,1,64,1030.19,1083.41,0.2652,0.5811,mixed,0.919,4.622,4.0,0.0,,
Kozushima,kozu2,1,65,1282.0,1083.5,0.0143,0.1351,weak_recovered,0.0,-2.0,-2.0,0.0,,
Kozushima,kozu2,1,66,995.45,1087.57,0.4158,0.7276,mixed,0.862,6.19,5.0,0.0,,
Kozushima,kozu2,1,67,1058.41,1089.12,0.2437,0.5571,mixed,0.824,5.294,4.0,0.0,,
Kozushima,kozu2,1,68,1091.0,1089.5,0.043,0.234,mixed,0.333,1.833,1.0,0.0,,
Kozushima,kozu2,1,69,1341.33,1089.67,0.0215,0.1655,weak_recovered,0.0,-0.333,0.0,0.0,,
Kozushima,kozu2,1,70,965.0,1090.0,0.0215,0.1655,weak_recovered,0.0,1.0,1.0,0.0,,
Kozushima,kozu2,1,71,933.12,1090.75,0.0573,0.2702,mixed,0.625,3.375,3.0,0.0,,
