island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Toshima,toshima2~3,1,102,96,6,1,27.935,5.335,4.861,0.474,19.479,0.2739,0.1183,4.595,0.0,1,272,103.613,19.787,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,2,41,40,1,0,3.047,0.506,0.474,0.032,6.812,0.0743,0.0358,0.3513,0.0,1,0,3.047,0.506,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,3,56,48,8,0,8.502,1.629,1.217,0.412,10.731,0.1518,0.0538,1.9426,0.0,1,160,53.147,10.185,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,4,40,34,6,0,7.735,2.413,2.018,0.396,12.481,0.1934,0.0753,1.5125,0.0,1,139,32.961,10.285,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,5,92,78,14,2,37.512,15.199,12.838,2.361,37.277,0.4077,0.1434,4.7383,0.0,1,286,78.896,31.967,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,6,255,239,16,8,145.111,20.885,18.458,2.427,36.7,0.5691,0.1219,21.0107,0.0,1,761,296.071,42.611,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,7,154,144,10,5,85.176,11.49,10.525,0.965,20.774,0.5531,0.1039,33.0609,0.0,1,405,238.896,32.226,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,8,277,271,6,3,67.512,10.481,9.647,0.835,43.004,0.2437,0.0932,7.5269,0.0,1,535,195.57,30.362,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,9,215,202,13,6,95.369,14.403,13.219,1.184,32.471,0.4436,0.1147,23.6344,0.0,1,674,194.881,29.433,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,10,58,57,1,0,6.444,1.316,1.302,0.013,11.841,0.1111,0.043,0.5878,0.0,1,156,45.441,9.277,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,11,4,2,2,0,0.172,0.194,0.097,0.097,4.511,0.043,0.0394,0.0789,0.0,0,0,0.172,0.194,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,12,49,48,1,0,11.24,2.437,2.227,0.21,10.624,0.2294,0.1075,1.5197,0.0,1,116,60.265,13.066,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,13,39,39,0,0,3.111,0.544,0.539,0.005,6.815,0.0798,0.043,0.5448,0.0,1,0,3.111,0.544,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,14,84,80,4,0,13.111,2.43,2.173,0.258,15.571,0.1561,0.0896,1.0251,0.0,1,230,65.52,12.146,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,15,66,64,2,0,5.728,0.959,0.835,0.124,11.047,0.0868,0.0358,0.4731,0.0,1,0,5.728,0.959,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,16,82,75,7,1,19.398,2.754,2.375,0.379,11.641,0.2366,0.0645,6.81,0.0,1,237,68.753,9.761,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,17,92,88,4,0,12.108,2.12,1.929,0.191,16.107,0.1316,0.0609,0.9606,0.0,1,226,76.251,13.349,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
