stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,24507,255,223.0,182.0,255.0,23,141.0,17.0,222.0,38,126.0,24.0,215.0
green_reproductive_organ,7171,205,149.0,44.0,212.0,223,221.0,66.0,243.0,71,120.0,56.0,200.0
