island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Niijima,niijima2~4,1,110,104,6,0,12.48,2.795,2.549,0.246,24.636,0.1135,0.0466,1.0323,0.0,1,197,114.645,25.676,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00217,5,4,824,208.78|326.75|444.31|562.22|680.50
Niijima,niijima2~4,2,22,22,0,0,2.337,0.608,0.606,0.002,5.727,0.1062,0.0502,0.3871,0.0,1,0,2.337,0.608,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00217,5,4,824,208.78|326.75|444.31|562.22|680.50
Niijima,niijima2~4,3,25,25,0,0,0.753,0.195,0.193,0.002,6.47,0.0301,0.0215,0.1004,0.0,0,0,0.753,0.195,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00217,5,4,824,208.78|326.75|444.31|562.22|680.50
Niijima,niijima2~4,4,27,25,2,0,2.796,0.726,0.601,0.125,7.009,0.1035,0.086,0.4516,0.0,1,0,2.796,0.726,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00217,5,4,824,208.78|326.75|444.31|562.22|680.50
Niijima,niijima2~4,5,90,85,5,0,7.885,1.624,1.345,0.279,18.537,0.0876,0.0502,0.8244,0.0,1,161,41.426,8.532,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00217,5,4,824,208.78|326.75|444.31|562.22|680.50
Niijima,niijima2~4,6,101,91,10,4,64.1,14.598,13.559,1.038,23.001,0.6347,0.0932,16.5304,0.0,1,371,129.613,29.517,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00217,5,4,824,208.78|326.75|444.31|562.22|680.50
Niijima,niijima2~4,7,146,140,6,1,51.491,11.165,10.506,0.659,31.658,0.3527,0.1111,7.5555,0.0,1,382,135.097,29.294,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00217,5,4,824,208.78|326.75|444.31|562.22|680.50
