island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc
Niijima,3,niijima2~4,,2|3|4,,,,1,348,1348,1,1,not_triggered,29.04,22.61,0.779,,,446.5,12.48,2.795,110,24.636,0.912,1,0.184,1,5.74,23.6,5,0.933,1.22,,104,6,0,2.549,0.246,0.1135,0.0466,1.0323,0.0,197,114.645,25.676,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00217,5,4,824,208.78|326.75|444.31|562.22|680.50,29.041,22.344,446.494,5.72,23.236,20.405,18.627,11.938,6.495,33.132,0.2795,1.7092,1.2475,2.972,1.897,0.197,0.9132,0.3997,5,opened_or_broad,flat_span_over_pi,0.1354,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima2~4,,2|3|4,,,,2,1161,1348,2,1,not_triggered,27.94,20.74,0.742,,,384.2,2.337,0.608,22,5.727,0.34,1,0.011,0,10.13,18.07,3,0.913,1.24,,22,0,0,0.606,0.002,0.1062,0.0502,0.3871,0.0,0,2.337,0.608,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00217,5,4,824,208.78|326.75|444.31|562.22|680.50,27.94,20.32,384.164,3.785,24.071,13.208,16.087,13.123,4.204,13.882,0.1747,1.0065,1.4963,0.583,1.763,0.1355,0.65,0.7509,4,opened_or_broad,flat_span_over_pi,0.139,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima2~4,,2|3|4,,,,3,838,1394,3,1,not_triggered,26.84,21.59,0.804,,,386.4,0.753,0.195,25,6.47,0.775,0,0.02,0,13.48,15.63,3,0.84,1.24,,25,0,0,0.193,0.002,0.0301,0.0215,0.1004,0.0,0,0.753,0.195,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00217,5,4,824,208.78|326.75|444.31|562.22|680.50,26.839,20.422,386.394,3.996,22.758,17.018,21.505,11.007,5.417,23.047,0.238,1.5462,1.0583,0.188,0.417,0.1489,0.8333,0.6136,4,opened_or_broad,flat_span_over_pi,0.1895,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima2~4,,2|3|4,,,,4,386,1789,5,1,not_triggered,27.01,21.25,0.787,,,385.2,2.796,0.726,27,7.009,0.588,1,0.012,0,5.44,17.22,5,0.921,1.07,,25,2,0,0.601,0.125,0.1035,0.086,0.4516,0.0,0,2.796,0.726,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00217,5,4,824,208.78|326.75|444.31|562.22|680.50,27.009,20.828,385.161,8.167,18.757,15.494,20.405,9.144,4.932,19.104,0.2629,1.6944,0.9193,0.947,0.0,0.3024,0.7439,0.1573,5,opened_or_broad,flat_span_over_pi,1.0,guide_density_secondary,profile_fallback,sinus
Niijima,3,niijima2~4,,2|3|4,,,,5,778,1820,4,1,not_triggered,30.9,24.05,0.778,,,485.5,7.885,1.624,90,18.537,0.662,1,0.013,0,6.68,16.92,4,0.884,1.18,,85,5,0,1.345,0.279,0.0876,0.0502,0.8244,0.0,161,41.426,8.532,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00217,5,4,824,208.78|326.75|444.31|562.22|680.50,30.903,23.791,485.433,4.251,26.568,20.574,20.828,7.112,6.549,33.684,0.2465,2.8929,1.2756,1.053,11.069,0.1376,0.8648,0.7973,5,opened_or_broad,flat_span_over_pi,0.1103,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima2~4,,2|3|4,,,,6,357,2306,6,1,not_triggered,26.84,22.94,0.855,,,439.1,64.1,14.598,101,23.001,0.978,1,0.033,0,6.39,20.31,5,0.932,1.17,,91,10,4,13.559,1.038,0.6347,0.0932,16.5304,0.0,371,129.613,29.517,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00217,5,4,824,208.78|326.75|444.31|562.22|680.50,26.839,22.521,439.103,3.221,23.534,15.155,21.844,12.531,4.824,18.278,0.205,1.2095,1.0774,14.855,10.483,0.12,0.6729,0.4919,5,opened_or_broad,flat_span_over_pi,0.14,guide_density_secondary,boundary_sinuses,
Niijima,3,niijima2~4,,2|3|4,,,,7,794,2330,7,1,not_triggered,27.52,24.3,0.883,,,461.2,51.491,11.165,146,31.658,0.985,1,0.057,0,13.85,12.07,3,0.92,1.01,,140,6,1,10.506,0.659,0.3527,0.1111,7.5555,0.0,382,135.097,29.294,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00217,5,4,824,208.78|326.75|444.31|562.22|680.50,27.517,23.944,461.247,15.361,12.071,21.759,19.473,9.991,6.926,37.677,0.5738,2.178,0.6199,12.396,10.214,0.5582,0.9088,0.4705,3,opened_or_broad,flat_span_over_pi,0.0414,guide_density_secondary,boundary_sinuses,orientation
