island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Toshima,toshima1~2,1,138,134,4,2,48.437,11.139,10.061,1.078,31.735,0.351,0.1254,12.5305,0.0,1,381,139.046,31.976,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,2,125,117,8,2,30.688,9.522,8.61,0.912,38.786,0.2455,0.1004,6.5448,0.0,1,260,101.591,31.523,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,3,65,59,6,0,3.427,0.739,0.615,0.124,14.018,0.0527,0.0287,0.7957,0.0,1,0,3.427,0.739,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,4,142,140,2,0,13.606,3.18,2.911,0.27,33.194,0.0958,0.0502,1.5125,0.0,1,266,87.978,20.566,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,5,73,60,13,0,9.125,2.844,2.4,0.445,22.754,0.125,0.043,2.3369,0.0,1,131,97.842,30.498,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,6,80,76,4,1,20.91,4.349,3.914,0.435,16.639,0.2614,0.0932,4.6093,0.0,1,194,61.957,12.886,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,7,107,99,8,3,41.082,7.615,7.056,0.559,19.834,0.3839,0.086,7.2616,0.0,1,243,187.577,34.769,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,8,216,207,9,1,55.154,14.502,13.341,1.161,56.796,0.2553,0.0645,26.1648,0.0,1,337,159.498,41.939,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,9,129,119,10,3,53.434,10.836,10.068,0.768,26.16,0.4142,0.0932,7.1828,0.0,1,399,162.681,32.99,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,10,148,139,9,3,67.742,9.421,8.751,0.67,20.582,0.4577,0.1219,15.3907,0.0,1,507,170.831,23.757,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,11,99,95,4,0,18.495,3.144,2.902,0.241,16.827,0.1868,0.0717,1.2545,0.0,1,307,110.043,18.704,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,12,86,81,5,0,13.907,3.516,2.817,0.7,21.745,0.1617,0.0681,1.871,0.0,1,198,81.649,20.645,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,13,44,42,2,0,5.577,1.006,0.9,0.106,7.937,0.1268,0.0502,0.9892,0.0,1,0,5.577,1.006,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,14,37,36,1,0,5.176,1.376,1.197,0.179,9.838,0.1399,0.0645,0.7527,0.0,1,101,32.788,8.718,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,15,30,30,0,0,2.731,0.392,0.388,0.004,4.304,0.091,0.0466,0.4875,0.0,0,0,2.731,0.392,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,16,36,36,0,0,5.168,0.961,0.954,0.007,6.691,0.1436,0.0358,1.8208,0.0,1,0,5.168,0.961,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
Toshima,toshima1~2,17,34,34,0,0,2.803,0.501,0.493,0.008,6.079,0.0824,0.0466,0.7384,0.0,1,0,2.803,0.501,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,
