island,sheet,corolla_id,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Toshima,toshima1~2,1,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,28.617,18.119,434.817,4.765,23.767,16.256,18.034,15.833,5.174,21.029,0.2177,1.0267,1.3179,11.742,3.949,0.1665,0.8972,0.5878,4,opened_or_broad,flat_span_over_pi,0.2315,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima1~2,2,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,25.146,15.511,322.251,3.166,21.896,14.393,14.986,11.43,4.582,16.486,0.2092,1.2593,1.4611,9.557,9.708,0.1259,0.9279,0.5964,6,opened_or_broad,flat_span_over_pi,0.1988,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima1~2,3,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,28.702,19.727,463.706,3.444,25.173,18.542,18.542,14.901,5.902,27.359,0.2345,1.2443,1.3576,0.815,0.467,0.12,0.9399,0.4259,7,opened_or_broad,flat_span_over_pi,0.1563,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima1~2,4,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,31.581,17.526,427.792,6.428,25.068,16.679,16.933,13.631,5.309,22.138,0.2118,1.2236,1.4804,3.146,4.069,0.2036,0.9517,0.4834,3,opened_or_broad,flat_span_over_pi,0.2639,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima1~2,5,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,25.654,16.002,320.831,3.078,22.491,15.325,13.547,11.43,4.878,18.688,0.2169,1.3407,1.6603,2.549,8.308,0.12,0.9577,0.4866,7,opened_or_broad,flat_span_over_pi,0.231,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima1~2,6,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,29.21,20.32,480.845,3.505,25.62,18.034,19.389,14.647,5.74,25.881,0.2241,1.2312,1.3214,3.447,19.702,0.12,0.8875,0.4228,5,opened_or_broad,flat_span_over_pi,0.189,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima1~2,7,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,32.512,20.815,539.498,4.517,27.91,17.611,19.473,15.833,5.606,24.68,0.2008,1.1123,1.4333,7.87,4.743,0.1389,0.846,0.3023,4,opened_or_broad,flat_span_over_pi,0.274,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima1~2,8,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,27.686,19.219,380.265,5.832,21.769,13.208,18.119,11.43,4.204,13.882,0.1931,1.1556,1.2015,14.53,15.605,0.2107,0.6872,0.3654,4,opened_or_broad,flat_span_over_pi,0.1639,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima1~2,9,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,30.565,20.151,493.146,3.668,26.812,19.473,19.135,13.801,6.199,30.177,0.2312,1.411,1.4012,11.311,5.673,0.12,0.9664,0.5025,3,opened_or_broad,flat_span_over_pi,0.1526,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Toshima,toshima1~2,10,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,748,,35.645,27.347,719.096,7.039,28.521,24.553,24.977,17.78,7.816,47.975,0.274,1.381,1.1419,8.433,18.343,0.1975,0.8978,0.5207,6,opened_or_broad,flat_span_over_pi,0.2248,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
