stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,84741,255,229.0,169.0,255.0,20,135.0,13.0,233.0,0,116.0,12.0,224.0
green_reproductive_organ,27128,224,150.0,29.0,234.0,255,227.0,41.0,255.0,0,106.0,22.0,215.6
