island,sheet,organ_id,nearest_corolla,cx,cy,x1,y1,x2,y2,length_mm,width_mm,aspect,angle_deg,organ_type_auto,organ_type_FILL,exclude_FILL,detection_source,nearest_corolla_hint,association_confirmed,visibility_note
Toshima,toshima1~2,1,1,767.19,993.97,758,904,773,1085,42.83,0.52,82.75,85.26,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima1~2,2,2,1200.54,1039.68,1234,944,1174,1128,29.59,0.7,42.13,-71.94,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima1~2,3,4,2039.49,1066.33,2036,958,2040,1173,36.66,0.67,54.69,88.93,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima1~2,4,3,1683.81,1100.71,1658,984,1707,1208,41.45,0.63,66.12,77.66,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima1~2,5,5,720.1,1452.14,699,1349,730,1539,27.59,0.74,37.33,80.73,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima1~2,6,6,1215.69,1472.06,1210,1372,1226,1571,33.75,0.63,53.45,85.4,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima1~2,7,7,1716.0,1540.94,1698,1649,1737,1435,45.27,0.56,81.46,-79.67,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima1~2,8,8,720.54,1877.82,719,1776,716,1980,40.99,0.56,73.53,-89.16,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima1~2,9,9,1278.39,1880.44,1247,1785,1311,1967,41.62,0.53,77.84,70.63,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima1~2,10,10,1824.8,1975.49,1833,1858,1821,2097,50.6,0.52,96.51,-87.13,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima1~2,11,11,837.14,2273.68,873,2161,794,2370,40.64,0.55,74.07,-69.29,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima1~2,12,12,1344.99,2396.75,1361,2499,1328,2287,38.33,0.53,72.18,81.15,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima1~2,13,13,1777.49,2447.78,1769,2337,1780,2553,27.18,0.86,31.55,87.08,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima1~2,14,15,1145.96,2804.18,1169,2922,1122,2680,50.24,0.46,110.2,79.01,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima1~2,15,14,687.32,2822.09,666,2733,710,2899,31.71,0.51,62.25,75.15,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima1~2,16,16,1571.31,2844.84,1574,2738,1568,2944,42.99,0.49,88.24,-88.33,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Toshima,toshima1~2,17,17,2014.08,2872.04,2023,2792,2011,2949,24.23,0.65,37.43,-85.63,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
