global_id,island,sheet,sheet_corolla_id,corolla_length_mm,corolla_width_obs_mm,guide_coverage_pct,organ_length_mm
1,Oshima,oshima1,1,49.95,34.63,9.85,29.46
2,Oshima,oshima1,2,47.41,34.21,10.65,28.83
3,Oshima,oshima1,3,45.13,36.58,6.81,28.97
4,Oshima,oshima1,4,45.21,30.73,11.61,29.57
5,Oshima,oshima1(2),1,35.48,25.4,1.98,22.8
6,Oshima,oshima1(2),2,35.64,26.75,1.37,26.04
7,Oshima,oshima1(2),3,47.16,32.68,25.34,29.41
8,Oshima,oshima1(2),4,40.3,31.24,4.37,29.05
9,Oshima,oshima1(2),5,37.93,29.63,8.8,20.91
10,Oshima,oshima4,1,44.79,31.75,5.58,26.27
11,Oshima,oshima4,2,34.37,28.02,12.97,21.9
12,Oshima,oshima4,3,34.63,27.26,31.68,23.37
13,Oshima,oshima4,4,44.96,32.0,4.29,20.46
14,Oshima,oshima4,5,38.61,33.61,49.2,22.11
15,Oshima,oshima4,6,33.53,25.4,15.73,22.42
16,Oshima,oshima4,7,37.34,30.99,45.03,22.15
17,Oshima,oshima4,8a,31.85,30.85,9.22,20.58
18,Oshima,oshima4,8b,34.43,30.47,5.92,22.19
19,Oshima,oshima5,1,31.75,25.99,2.31,23.8
20,Oshima,oshima5,2,31.83,23.96,0.31,21.95
21,Oshima,oshima5,3,31.07,22.35,6.15,25.18
22,Oshima,oshima5,4,33.44,27.01,2.04,21.14
23,Oshima,oshima5,5,32.6,28.7,2.34,24.82
24,Oshima,oshima6,1,34.88,27.26,11.37,23.08
25,Oshima,oshima6,2,31.33,23.11,10.55,21.3
26,Oshima,oshima6,3,33.61,25.57,0.51,22.88
27,Oshima,oshima6,4,31.41,24.13,5.76,20.26
28,Oshima,oshima6,5,30.23,21.84,12.88,22.92
29,Oshima,oshima6,6,29.38,24.3,2.89,18.3
30,Oshima,oshima7,1,27.35,24.64,16.71,23.49
31,Oshima,oshima7,2,28.53,23.62,0.78,21.25
32,Oshima,oshima7,3,26.75,24.72,1.27,16.44
33,Oshima,oshima7,4,27.6,25.48,16.96,13.12
34,Oshima,oshima7,5,27.6,26.92,75.56,18.68
35,Oshima,oshima7,6,32.43,25.57,65.02,19.9
36,Oshima,oshima8,1,28.45,20.57,25.66,20.61
37,Oshima,oshima8,2,32.85,25.4,29.26,21.13
38,Oshima,oshima8,3,35.9,24.38,58.26,21.52
39,Oshima,oshima8,4,29.97,21.59,44.42,21.33
40,Oshima,oshima8,5,39.37,27.94,7.43,23.55
41,Oshima,oshima8,6,36.07,23.62,18.67,25.96
42,Oshima,oshima8,7,36.37,28.7,22.69,23.78
43,Oshima,oshima8,8,40.13,28.28,63.04,20.83
44,Oshima,oshima8-9,1,30.31,19.9,23.53,23.1
45,Oshima,oshima8-9,2,33.61,21.51,28.65,21.51
46,Oshima,oshima8-9,3,32.09,22.52,4.65,
47,Oshima,oshima8-9,4,33.78,28.28,28.08,22.57
48,Oshima,oshima8-9,5,28.79,20.57,45.39,19.64
49,Oshima,oshima8-9,6,33.78,23.28,6.99,20.13
50,Oshima,oshima8-9,7,31.75,22.94,11.13,18.6
51,Oshima,oshima8-9,8,30.56,25.15,10.57,20.08
52,Oshima,oshima8-9,9,42.5,26.5,48.05,22.87
53,Oshima,oshima8-9,10,34.21,29.21,10.52,19.13
54,Oshima,oshima8-9,11,33.44,26.67,6.14,17.3
55,Oshima,oshima8-9,12,42.16,28.28,24.16,20.93
56,Oshima,oshima8-9,13,43.86,29.46,21.82,22.78
57,Oshima,oshima8-9,14,38.35,21.84,18.15,21.71
