global_id,island,sheet,sheet_corolla_id,corolla_length_mm,corolla_width_obs_mm,guide_coverage_pct,organ_length_mm
58,Oshima,oshima10-13,1,33.87,21.84,27.29,20.54
59,Oshima,oshima10-13,2,39.03,26.25,19.88,21.17
60,Oshima,oshima10-13,3,39.29,26.92,11.35,23.16
61,Oshima,oshima10-13,4,39.71,26.75,39.8,23.46
62,Oshima,oshima10-13,5,35.9,27.52,43.19,21.85
63,Oshima,oshima10-13,6,38.18,24.81,33.17,22.87
64,Oshima,oshima10-13,7,38.86,25.91,29.14,21.17
65,Oshima,oshima10-13,8,24.05,21.08,39.65,14.74
66,Oshima,oshima10-13,9,23.71,21.0,31.36,13.82
67,Oshima,oshima10-13,10,31.24,22.44,44.31,18.51
68,Oshima,oshima10-13,11,34.12,22.35,55.67,21.21
69,Oshima,oshima10-13,12,32.26,23.11,25.11,27.59
70,Oshima,oshima10-13,13,36.83,23.2,18.47,25.77
71,Oshima,oshima10-13,14,41.57,26.42,36.15,22.11
72,Oshima,oshima10-13,15,39.37,24.98,44.85,23.84
73,Oshima,oshima10-13,16,34.8,22.18,1.96,20.67
74,Oshima,oshima10-13,17,36.58,27.69,0.6,22.53
75,Oshima,oshima10-13,18,32.09,26.16,7.42,23.12
76,Oshima,oshima13-15,1,32.0,23.88,7.3,20.35
77,Oshima,oshima13-15,2,40.64,30.73,1.05,26.36
78,Oshima,oshima13-15,3,33.87,26.08,6.9,19.57
79,Oshima,oshima13-15,4,29.46,26.16,0.41,24.14
80,Oshima,oshima13-15,5,37.42,28.7,38.24,22.16
81,Oshima,oshima13-15,6,43.26,31.41,22.77,28.7
82,Oshima,oshima13-15,7,37.34,26.25,20.0,26.08
83,Oshima,oshima13-15,8,41.99,28.62,28.67,28.47
84,Oshima,oshima13-15,9,42.08,32.17,22.87,28.07
85,Oshima,oshima13-15,10,47.92,27.52,2.85,24.4
86,Oshima,oshima13-15,11,48.68,31.16,4.56,26.6
87,Oshima,oshima13-15,12,44.11,30.73,2.72,24.45
88,Oshima,oshima13-15,13,42.5,29.72,6.3,27.5
89,Toshima,toshima1-2,1,27.94,18.12,3.66,15.38
90,Toshima,toshima1-2,2,24.38,15.83,3.18,16.39
91,Toshima,toshima1-2,3,28.53,19.98,0.13,19.41
92,Toshima,toshima1-2,4,29.29,17.61,1.09,18.21
93,Toshima,toshima1-2,5,25.4,16.26,0.65,16.3
94,Toshima,toshima1-2,6,28.36,20.66,1.31,16.9
95,Toshima,toshima1-2,7,31.75,23.11,4.51,18.42
96,Toshima,toshima1-2,8,24.21,18.97,8.59,17.27
97,Toshima,toshima1-2,9,30.48,20.66,4.36,16.33
98,Toshima,toshima1-2,10,32.17,26.33,4.98,20.26
99,Toshima,toshima1-2,11,32.43,23.2,1.26,18.92
100,Toshima,toshima1-2,12,26.84,18.8,0.58,18.17
101,Toshima,toshima1-2,13,33.1,24.13,0.29,18.31
102,Toshima,toshima1-2,14,24.64,21.25,0.4,14.54
103,Toshima,toshima1-2,15,32.0,28.28,0.04,20.87
104,Toshima,toshima1-2,16,26.67,24.47,0.33,17.45
105,Toshima,toshima1-2,17,28.19,26.5,0.02,13.33
106,Toshima,toshima2-3,1,29.04,22.86,2.6,18.28
107,Toshima,toshima2-3,2,33.78,24.21,0.0,19.5
108,Toshima,toshima2-3,3,30.48,22.61,0.17,18.74
109,Toshima,toshima2-3,4,21.76,18.46,0.73,13.58
110,Toshima,toshima2-3,5,19.47,15.41,3.3,11.59
111,Toshima,toshima2-3,6,34.12,22.69,10.51,21.33
112,Toshima,toshima2-3,7,33.36,22.18,5.96,19.42
113,Toshima,toshima2-3,8,36.15,22.94,4.68,21.03
114,Toshima,toshima2-3,9,34.54,24.55,5.02,17.87
115,Toshima,toshima2-3,10,28.19,22.78,0.39,16.85
116,Toshima,toshima2-3,11,27.6,21.34,0.83,18.45
117,Toshima,toshima2-3,12,28.36,24.13,0.15,18.31
118,Toshima,toshima2-3,13,28.11,24.13,0.87,16.64
119,Toshima,toshima2-3,14,30.65,25.06,0.26,15.17
120,Toshima,toshima2-3,15,32.85,25.99,0.55,18.94
121,Toshima,toshima2-3,16,30.06,24.89,0.58,18.68
122,Toshima,toshima3-6,1,24.72,22.01,0.63,15.01
123,Toshima,toshima3-6,2,27.43,19.9,0.14,15.73
124,Toshima,toshima3-6,3,21.0,16.68,2.09,12.75
125,Toshima,toshima3-6,4,24.72,17.53,10.41,14.55
126,Toshima,toshima3-6,5,26.92,41.57,0.0,17.9
127,Toshima,toshima3-6,6,19.13,15.58,0.0,14.52
128,Toshima,toshima3-6,7,32.26,26.42,4.71,23.1
129,Toshima,toshima3-6,8,32.43,25.91,3.0,22.45
130,Toshima,toshima3-6,9,35.73,26.16,0.27,18.94
131,Toshima,toshima3-6,10,31.07,23.45,0.2,17.49
132,Toshima,toshima3-6,11,31.33,27.18,0.62,19.42
133,Toshima,toshima3-6,12,34.46,26.08,0.29,19.93
134,Toshima,toshima3-6,13,31.07,19.56,6.95,18.34
135,Toshima,toshima3-6,14,26.84,18.46,6.34,18.44
136,Toshima,toshima3-6,15,28.45,22.94,1.34,15.79
137,Toshima,toshima6-8,1,26.67,21.51,16.25,18.05
138,Toshima,toshima6-8,2,25.82,21.67,15.17,14.92
139,Toshima,toshima6-8,3,26.92,38.61,1.84,20.2
140,Toshima,toshima6-8,4,26.59,19.3,3.01,17.41
141,Toshima,toshima6-8,5,28.11,23.11,10.46,18.38
142,Toshima,toshima6-8,6,32.51,24.72,7.62,21.59
143,Toshima,toshima6-8,7,28.96,24.21,6.24,20.48
144,Toshima,toshima6-8,8,23.71,21.0,6.61,18.68
145,Toshima,toshima6-8,9,32.34,26.08,2.56,21.52
146,Toshima,toshima6-8,10,31.16,34.04,0.36,17.82
147,Toshima,toshima6-8,11,32.68,29.13,0.19,18.78
148,Toshima,toshima6-8,12a,34.46,30.4,3.39,16.78
149,Toshima,toshima6-8,12b,33.96,26.27,0.01,
150,Toshima,toshima6-8,13,32.51,26.08,0.35,20.43
151,Toshima,toshima6-8,14,35.98,26.92,0.49,21.27
152,Toshima,toshima6-8,15,28.87,22.18,0.05,16.64
153,Niijima,niijiama1-2,1,32.77,23.54,3.0,17.77
154,Niijima,niijiama1-2,2,33.95,25.57,4.22,17.48
155,Niijima,niijiama1-2,3,31.67,24.64,32.11,17.92
156,Niijima,niijiama1-2,4,27.77,23.62,0.1,15.17
157,Niijima,niijiama1-2,5,28.7,26.59,0.01,18.37
158,Niijima,niijiama1-2,6,31.33,25.99,0.02,19.39
159,Niijima,niijiama1-2,7,29.72,25.15,0.03,18.16
160,Niijima,niijiama1-2,8,27.86,25.23,0.02,17.8
161,Niijima,niijiama1-2,9,25.74,21.42,0.0,16.13
162,Niijima,niijiama1-2,10,32.77,30.48,25.29,19.95
163,Niijima,niijiama1-2,11,29.72,24.55,19.17,16.47
164,Niijima,niijiama1-2,12,26.33,25.4,2.8,15.26
165,Niijima,niijiama1-2,13,24.98,23.45,9.15,15.97
166,Niijima,niijiama1-2,14,28.53,23.37,18.6,17.89
167,Niijima,niijiama1-2,15,27.26,22.44,31.48,16.33
168,Niijima,niijiama1-2,16,24.81,22.69,20.48,15.93
169,Niijima,niijiama1-2,17,32.0,51.39,19.05,16.9
170,Niijima,niijima2,1,29.04,25.65,23.59,18.51
171,Niijima,niijima2,2,29.21,24.13,31.52,19.37
172,Niijima,niijima2,3,32.09,22.86,21.71,16.55
173,Niijima,niijima2,4,38.02,31.67,1.06,19.04
174,Niijima,niijima2,5,31.24,29.63,2.87,17.94
175,Niijima,niijima2,6a,39.88,33.36,1.5,18.06
176,Niijima,niijima2,6b,34.51,28.8,15.81,19.25
177,Niijima,niijima2,7,32.85,26.42,3.58,18.8
178,Niijima,niijima2,8,30.99,29.29,0.26,18.81
179,Niijima,niijima2,9a,32.85,29.29,9.5,18.57
180,Niijima,niijima2,9b,29.53,27.23,10.54,15.23
181,Niijima,niijima2,10,31.41,27.35,4.09,17.21
182,Niijima,niijima2,11,31.24,26.33,2.62,17.5
183,Niijima,niijima2,12,27.69,23.71,2.4,14.93
184,Niijima,niijima2,13,28.87,22.94,0.64,16.74
185,Niijima,niijima2,14,28.53,25.57,1.16,17.72
186,Niijima,niijima2,15,26.84,23.79,0.41,15.56
187,Niijima,niijiama2-4,1,25.15,20.4,1.01,8.15
188,Niijima,niijiama2-4,2,24.81,19.98,0.18,12.89
189,Niijima,niijiama2-4,3,25.32,17.1,0.02,13.28
190,Niijima,niijiama2-4,4,24.98,19.56,0.05,16.26
191,Niijima,niijiama2-4,5,27.16,24.61,0.18,16.04
192,Niijima,niijiama2-4,6,24.72,19.3,8.18,15.7
193,Niijima,niijiama2-4,7,24.55,21.51,5.62,15.17
194,Shikinejima,shikine1,1,19.84,32.55,0.02,
195,Shikinejima,shikine1,2,26.84,20.57,0.0,15.98
196,Shikinejima,shikine1,3,23.71,19.56,0.06,
197,Shikinejima,shikine1,4,22.97,40.9,0.0,13.86
198,Shikinejima,shikine1,5,26.5,40.13,0.0,16.78
199,Shikinejima,shikine1,6,43.1,55.71,4.61,17.98
200,Kozushima,kozu1,1,21.17,29.38,0.28,12.64
201,Kozushima,kozu1,2,22.52,28.36,1.2,15.93
202,Kozushima,kozu1,3,16.93,25.65,5.71,10.64
203,Kozushima,kozu1,4,16.43,28.96,1.26,11.03
204,Kozushima,kozu1,5,15.83,23.11,0.2,11.63
205,Kozushima,kozu1,6,23.79,31.24,1.16,14.51
206,Kozushima,kozu1,7,21.42,30.56,3.61,12.87
207,Kozushima,kozu1,8,24.21,31.24,0.63,14.65
208,Kozushima,kozu1,9,20.15,27.86,0.23,
209,Kozushima,kozu1,10,18.97,27.86,0.89,14.91
210,Kozushima,kozu2,1,26.25,41.66,0.54,16.84
211,Kozushima,kozu2,2,26.08,41.74,0.02,16.68
212,Kozushima,kozu2,3,25.74,40.72,1.14,15.08
213,Kozushima,kozu2,4,22.78,43.18,0.0,13.09
214,Kozushima,kozu2,5,32.34,45.89,0.24,18.39
215,Kozushima,kozu2,6,32.43,49.7,0.22,17.33
216,Kozushima,kozu2,7,26.84,41.49,1.25,14.96
217,Kozushima,kozu2,8,26.5,43.43,0.71,15.0
218,Kozushima,kozu2,9,27.09,43.69,1.73,15.74
