sheet,corolla_id,guide_coverage_pct,has_nectar_guide
oshima13-15,1,19.81,1
oshima13-15,2,5.64,1
oshima13-15,3,16.34,1
oshima13-15,4,3.99,1
oshima13-15,5,51.49,1
oshima13-15,6,38.59,1
oshima13-15,7,33.72,1
oshima13-15,8,44.31,1
oshima13-15,9,39.92,1
oshima13-15,10,8.65,1
oshima13-15,11,12.73,1
oshima13-15,12,8.75,1
oshima13-15,13,17.22,1
oshima4,1,14.24,1
oshima4,2,26.34,1
oshima4,3,48.36,1
oshima4,4,11.58,1
oshima4,5,64.69,1
oshima4,6,34.03,1
oshima4,7,57.31,1
oshima4,8a,19.95,1
oshima4,8b,14.2,1
oshima5,1,5.07,1
oshima5,2,0.95,0
oshima5,3,15.06,1
oshima5,4,5.95,1
oshima5,5,5.88,1
oshima6,1,20.66,1
oshima6,2,22.21,1
oshima6,3,5.93,1
oshima6,4,13.74,1
oshima6,5,24.27,1
oshima6,6,8.91,1
oshima7,1,27.7,1
oshima7,2,7.93,1
oshima7,3,6.92,1
oshima7,4,24.29,1
oshima7,5,87.19,1
oshima7,6,83.03,1
oshima8-9,1,33.35,1
oshima8-9,2,46.52,1
oshima8-9,3,10.44,1
oshima8-9,4,46.51,1
oshima8-9,5,57.61,1
oshima8-9,6,11.74,1
oshima8-9,7,20.53,1
oshima8-9,8,23.1,1
oshima8-9,9,63.21,1
oshima8-9,10,17.93,1
oshima8-9,11,14.11,1
oshima8-9,12,37.28,1
oshima8-9,13,33.87,1
oshima8-9,14,29.92,1
oshima8,1,42.77,1
oshima8,2,47.37,1
oshima8,3,72.5,1
oshima8,4,60.51,1
oshima8,5,14.99,1
oshima8,6,31.42,1
oshima8,7,33.37,1
oshima8,8,73.04,1
shikine1,1,0.06,0
shikine1,2,0.13,0
shikine1,3,0.31,1
shikine1,4,0.0,0
shikine1,5,0.03,0
shikine1,6,12.96,1
toshima1-2,1,13.98,1
toshima1-2,2,12.32,1
toshima1-2,3,2.76,1
toshima1-2,4,6.32,1
toshima1-2,5,5.22,1
toshima1-2,6,5.12,1
toshima1-2,7,12.99,1
toshima1-2,8,20.33,1
toshima1-2,9,16.01,1
toshima1-2,10,12.43,1
toshima1-2,11,5.24,1
toshima1-2,12,4.63,1
toshima1-2,13,1.6,1
toshima1-2,14,2.47,1
toshima1-2,15,0.42,1
toshima1-2,16,1.57,1
toshima1-2,17,0.45,1
toshima2-3,1,7.7,1
toshima2-3,2,0.31,0
toshima2-3,3,2.02,1
toshima2-3,4,2.7,1
toshima2-3,5,12.31,1
toshima2-3,6,28.61,1
toshima2-3,7,22.0,1
toshima2-3,8,14.94,1
toshima2-3,9,15.64,1
toshima2-3,10,2.56,1
toshima2-3,11,4.27,1
toshima2-3,12,1.03,1
toshima2-3,13,4.16,1
toshima2-3,14,2.16,1
toshima2-3,15,2.62,1
toshima2-3,16,3.37,1
toshima3-6,1,3.06,1
toshima3-6,2,2.36,1
toshima3-6,3,8.2,1
toshima3-6,4,22.0,1
toshima3-6,5,0.0,0
toshima3-6,6,0.0,0
toshima3-6,7,9.19,1
toshima3-6,8,6.38,1
toshima3-6,9,1.45,1
toshima3-6,10,1.07,1
toshima3-6,11,2.78,1
toshima3-6,12,1.35,1
toshima3-6,13,14.34,1
toshima3-6,14,13.08,1
toshima3-6,15,5.98,1
toshima6-8,1,32.12,1
toshima6-8,2,32.02,1
toshima6-8,3,10.01,1
toshima6-8,4,13.61,1
toshima6-8,5,23.07,1
toshima6-8,6,14.93,1
toshima6-8,7,11.56,1
toshima6-8,8,12.79,1
toshima6-8,9,7.89,1
toshima6-8,10,2.13,1
toshima6-8,11,1.62,1
toshima6-8,12a,9.62,1
toshima6-8,12b,0.27,1
toshima6-8,13,1.92,1
toshima6-8,14,2.05,1
toshima6-8,15,0.17,0
