trait,key,island_a,island_b,pst,n_a,n_b
corolla length,corolla_length_mm,Oshima,Toshima,0.319,47,38
corolla length,corolla_length_mm,Oshima,Niijima,0.296,47,23
corolla length,corolla_length_mm,Oshima,Shikinejima,0.282,47,5
corolla length,corolla_length_mm,Oshima,Kozushima,0.579,47,12
corolla length,corolla_length_mm,Toshima,Niijima,0.0,38,23
corolla length,corolla_length_mm,Toshima,Shikinejima,0.0,38,5
corolla length,corolla_length_mm,Toshima,Kozushima,0.394,38,12
corolla length,corolla_length_mm,Niijima,Shikinejima,0.0,23,5
corolla length,corolla_length_mm,Niijima,Kozushima,0.381,23,12
corolla length,corolla_length_mm,Shikinejima,Kozushima,0.084,5,12
corolla width,corolla_width_fulleq_mm,Oshima,Toshima,0.225,47,38
corolla width,corolla_width_fulleq_mm,Oshima,Niijima,0.037,47,23
corolla width,corolla_width_fulleq_mm,Oshima,Shikinejima,0.376,47,5
corolla width,corolla_width_fulleq_mm,Oshima,Kozushima,0.617,47,12
corolla width,corolla_width_fulleq_mm,Toshima,Niijima,0.078,38,23
corolla width,corolla_width_fulleq_mm,Toshima,Shikinejima,0.001,38,5
corolla width,corolla_width_fulleq_mm,Toshima,Kozushima,0.32,38,12
corolla width,corolla_width_fulleq_mm,Niijima,Shikinejima,0.211,23,5
corolla width,corolla_width_fulleq_mm,Niijima,Kozushima,0.502,23,12
corolla width,corolla_width_fulleq_mm,Shikinejima,Kozushima,0.092,5,12
corolla area,corolla_area_fulleq_mm2,Oshima,Toshima,0.323,47,38
corolla area,corolla_area_fulleq_mm2,Oshima,Niijima,0.231,47,23
corolla area,corolla_area_fulleq_mm2,Oshima,Shikinejima,0.469,47,5
corolla area,corolla_area_fulleq_mm2,Oshima,Kozushima,0.596,47,12
corolla area,corolla_area_fulleq_mm2,Toshima,Niijima,0.005,38,23
corolla area,corolla_area_fulleq_mm2,Toshima,Shikinejima,0.194,38,5
corolla area,corolla_area_fulleq_mm2,Toshima,Kozushima,0.423,38,12
corolla area,corolla_area_fulleq_mm2,Niijima,Shikinejima,0.29,23,5
corolla area,corolla_area_fulleq_mm2,Niijima,Kozushima,0.509,23,12
corolla area,corolla_area_fulleq_mm2,Shikinejima,Kozushima,0.013,5,12
throat width,throat_width_mm,Oshima,Toshima,0.178,47,38
throat width,throat_width_mm,Oshima,Niijima,0.174,47,23
