trait,unit,pst,pst_ci,site_p_adj,lat_rho,Oshima,Toshima,Niijima,Shikinejima,Kozushima
organ/style length,mm,0.475,0.378-0.596,2.04e-05,0.74,22.68,17.89,16.73,16.15,14.07
mouth width,mm,0.374,0.313-0.483,2.33e-04,0.47,50.99,43.7,48.56,34.71,28.67
corolla area,mm2,0.37,0.292-0.48,3.51e-04,0.6,1553.78,1063.82,1140.79,772.43,611.94
corolla length,mm,0.332,0.248-0.468,3.89e-04,0.58,35.92,29.26,29.27,27.92,22.88
corolla width,mm,0.283,0.195-0.424,3.26e-03,0.45,53.08,45.44,49.92,41.91,34.7
guide coverage,%,0.241,0.171-0.342,2.87e-03,0.5,19.63,2.77,8.34,0.93,1.27
throat width,mm,0.238,0.147-0.378,3.24e-03,0.46,31.66,28.11,28.04,26.31,22.69
