date,island,no,lat,lon,id,collar,organ,status,sheet,sheet_corolla_id,fold_state,corolla_length_mm,corolla_width_obs_mm,corolla_area_obs_mm2,corolla_width_fulleq_mm,corolla_area_fulleq_mm2,roi_source,match_iou,has_nectar_guide,guide_coverage_pct,organ_length_mm,qc_flag,throat_width_mm,mouth_width_mm,corolla_aspect_L_W,tube_flare_W_throat,lobe_incision_mm,lobe_incision_ratio,organ_corolla_ratio,organ_status_check
2026.7.4,oshima,4,34.78443,139.4136,5,18,17,p,oshima4,8b,folded_half,34.43,30.47,732.0,60.94,1464.0,hand,,1,5.92,22.19,split_from_merged_pair,25.57,57.57,0.56,2.38,4.06,0.12,0.64,
2026.7.4,oshima,5,34.7846373,139.4115378,1,19,19,s,oshima5,1,folded_half,31.75,25.99,661.0,51.98,1322.0,iphone,0.913,1,2.31,23.8,,29.46,53.93,0.61,1.76,2.83,0.09,0.75,
2026.7.4,oshima,5,34.7846373,139.4115378,1,20,20,p,oshima5,2,folded_half,31.83,23.96,635.4,47.92,1270.8,iphone,0.891,0,0.31,21.95,,30.14,47.75,0.66,1.59,3.64,0.11,0.69,
2026.7.4,oshima,5,34.7846373,139.4115378,2,21,21,p,oshima5,3,folded_half,31.07,22.35,562.2,44.7,1124.4,iphone,0.943,1,6.15,25.18,,25.06,42.5,0.7,1.78,4.44,0.14,0.81,
2026.7.4,oshima,5,34.7846373,139.4115378,3,22,22,p,oshima5,4,folded_half,33.44,27.01,766.8,54.02,1533.6,iphone,0.927,1,2.04,21.14,,40.47,50.29,0.62,1.33,3.75,0.11,0.63,
2026.7.4,oshima,5,34.7846373,139.4115378,3,23,23,s,oshima5,5,folded_half,32.6,28.7,754.5,57.4,1509.0,iphone,0.942,1,2.34,24.82,,31.16,53.0,0.57,1.84,4.07,0.12,0.76,
2026.7.5,oshima,6,34.78538,139.39223,1,24,24,p,oshima6,1,folded_half,34.88,27.26,726.6,54.52,1453.2,iphone,0.934,1,11.37,23.08,,26.25,52.15,0.64,2.08,4.4,0.13,0.66,
2026.7.5,oshima,6,34.78538,139.39223,1,25,25,p,oshima6,2,folded_half,31.33,23.11,587.0,46.22,1174.0,iphone,0.91,1,10.55,21.3,,27.43,43.69,0.68,1.68,4.57,0.15,0.68,
2026.7.5,oshima,6,34.78538,139.39223,2,26,26,p,oshima6,3,folded_half,33.61,25.57,665.9,51.14,1331.8,iphone,0.939,1,0.51,22.88,,26.08,48.26,0.66,1.96,5.33,0.16,0.68,
2026.7.5,oshima,6,34.78538,139.39223,2,27,27,p,oshima6,4,folded_half,31.41,24.13,631.0,48.26,1262.0,iphone,0.921,1,5.76,20.26,,29.13,46.4,0.65,1.66,4.83,0.15,0.65,
2026.7.5,oshima,6,34.78538,139.39223,3,28,28,s,oshima6,5,folded_half,30.23,21.84,533.0,43.68,1066.0,iphone,0.911,1,12.88,22.92,,25.48,41.15,0.69,1.71,4.49,0.15,0.76,
2026.7.5,oshima,6,34.78538,139.39223,3,29,29,s,oshima6,6,folded_half,29.38,24.3,556.5,48.6,1113.0,iphone,0.918,1,2.89,18.3,,25.74,46.65,0.6,1.89,4.57,0.16,0.62,
2026.7.5,oshima,7,34.78843,139.39223,1,30,30,s,oshima7,1,folded_half,27.35,24.64,535.6,49.28,1071.2,iphone,0.931,1,16.71,23.49,,28.53,44.53,0.55,1.73,4.61,0.17,0.86,
2026.7.5,oshima,7,34.78843,139.39223,1,31,31,p,oshima7,2,folded_half,28.53,23.62,536.2,47.24,1072.4,iphone,0.923,1,0.78,21.25,,33.1,45.21,0.6,1.43,4.35,0.15,0.74,
2026.7.5,oshima,7,34.78843,139.39223,2,32,32,p,oshima7,3,folded_half,26.75,24.72,531.1,49.44,1062.2,iphone,0.921,1,1.27,16.44,,23.37,50.12,0.54,2.12,2.96,0.11,0.61,
2026.7.5,oshima,7,34.78843,139.39223,2,33,33,p,oshima7,4,folded_half,27.6,25.48,560.9,50.96,1121.8,iphone,0.843,1,16.96,13.12,,27.94,52.32,0.54,1.82,3.47,0.13,0.48,
2026.7.5,oshima,7,34.78843,139.39223,3,34,34,s,oshima7,5,folded_half,27.6,26.92,559.6,53.84,1119.2,iphone,0.774,1,75.56,18.68,,25.57,52.83,0.51,2.11,4.83,0.17,0.68,
2026.7.5,oshima,7,34.78843,139.39223,3,35,35,p,oshima7,6,folded_half,32.43,25.57,689.3,51.14,1378.6,iphone,0.923,1,65.02,19.9,,32.51,47.75,0.63,1.57,4.66,0.14,0.61,
2026.7.5,oshima,8,34.72078,139.35477,1,36,36,s,oshima8,1,folded_half,28.45,20.57,472.6,41.14,945.2,iphone,0.934,1,25.66,20.61,,27.09,39.29,0.69,1.52,3.47,0.12,0.72,
2026.7.5,oshima,8,34.72078,139.35477,1,37,37,p,oshima8,2,folded_half,32.85,25.4,721.3,50.8,1442.6,iphone,0.938,1,29.26,21.13,,32.85,49.61,0.65,1.55,2.62,0.08,0.64,
2026.7.5,oshima,8,34.72078,139.35477,2,38,38,p,oshima8,3,folded_half,35.9,24.38,689.6,48.76,1379.2,iphone,0.91,1,58.26,21.52,,30.14,49.95,0.74,1.62,3.89,0.11,0.6,
2026.7.5,oshima,8,34.72078,139.35477,2,39,39,s,oshima8,4,folded_half,29.97,21.59,594.5,43.18,1189.0,iphone,0.959,1,44.42,21.33,,28.28,43.35,0.69,1.53,0.0,0.0,0.71,
2026.7.5,oshima,8,34.72078,139.35477,3,40,40,p,oshima8,5,folded_half,39.37,27.94,916.5,55.88,1833.0,iphone,0.938,1,7.43,23.55,,41.06,55.2,0.7,1.36,4.02,0.1,0.6,
2026.7.5,oshima,8,34.72078,139.35477,3,41,41,p,oshima8,6,folded_half,36.07,23.62,724.2,47.24,1448.4,iphone,0.884,1,18.67,25.96,,30.65,45.04,0.76,1.54,4.77,0.13,0.72,
2026.7.5,oshima,8,34.72078,139.35477,4,42,42,p,oshima8,7,folded_half,36.37,28.7,755.6,57.4,1511.2,iphone,0.904,1,22.69,23.78,,34.37,53.17,0.63,1.67,4.06,0.11,0.65,
2026.7.5,oshima,8,34.72078,139.35477,4,43,43,p,oshima8,8,folded_half,40.13,28.28,912.5,56.56,1825.0,iphone,0.941,1,63.04,20.83,,37.34,54.69,0.71,1.51,4.82,0.12,0.52,
2026.7.5,oshima,8,34.72078,139.35477,5,44,44,p,oshima8-9,1,folded_half,30.31,19.9,540.9,39.8,1081.8,iphone,0.896,1,23.53,23.1,,28.28,37.93,0.76,1.41,2.84,0.09,0.76,
2026.7.5,oshima,8,34.72078,139.35477,5,45,45,p,oshima8-9,2,folded_half,33.61,21.51,569.7,43.02,1139.4,iphone,0.934,1,28.65,21.51,,26.33,41.15,0.78,1.63,4.13,0.12,0.64,
2026.7.5,oshima,8,34.72078,139.35477,6,47,47,p,oshima8-9,4,folded_half,33.78,28.28,759.5,56.56,1519.0,iphone,0.937,1,28.08,22.57,,33.36,56.22,0.6,1.7,2.79,0.08,0.67,
2026.7.5,oshima,8,34.72078,139.35477,6,48,48,s,oshima8-9,5,folded_half,28.79,20.57,458.0,41.14,916.0,iphone,0.933,1,45.39,19.64,,28.28,40.81,0.7,1.45,5.16,0.18,0.68,
2026.7.5,oshima,8,34.72078,139.35477,7,50,50,s,oshima8-9,7,folded_half,31.75,22.94,657.9,45.88,1315.8,iphone,0.799,1,11.13,18.6,,27.94,49.11,0.69,1.64,4.32,0.14,0.59,
2026.7.5,oshima,8,34.72078,139.35477,7,51,51,s,oshima8-9,8,folded_half,30.56,25.15,588.5,50.3,1177.0,iphone,0.927,1,10.57,20.08,,29.97,44.11,0.61,1.68,5.53,0.18,0.66,
2026.7.5,oshima,8,34.72078,139.35477,8,53,53,s,oshima8-9,10,folded_half,34.21,29.21,787.9,58.42,1575.8,iphone,0.913,1,10.52,19.13,,36.41,55.03,0.59,1.6,3.64,0.11,0.56,
2026.7.5,oshima,8,34.72078,139.35477,8,54,54,p,oshima8-9,11,folded_half,33.44,26.67,718.5,53.34,1437.0,iphone,0.933,1,6.14,17.3,,38.86,47.92,0.63,1.37,5.25,0.16,0.52,
2026.7.5,oshima,9,34.68577,139.3975,1,46,na,na,oshima8-9,3,folded_half,32.09,22.52,614.3,45.04,1228.6,iphone,0.912,1,4.65,,,34.46,42.5,0.71,1.31,3.56,0.11,,
