island,no,id,lat,n_flowers,frac_female,corolla_length_mm,corolla_width_fulleq_mm,corolla_area_fulleq_mm2,throat_width_mm,mouth_width_mm,corolla_aspect_L_W,tube_flare_W_throat,lobe_incision_mm,organ_length_mm,organ_corolla_ratio,guide_coverage_pct,guide_basal_frac,guide_midline_ratio
oshima,1,1,34.767,2,0.5,48.68,68.84,2591.2,37.845,65.535,0.705,1.82,7.44,29.145,0.6,15.965,0.845,1.881
oshima,1,2,34.767,2,0.5,45.17,67.31,2402.0,39.62,64.6,0.68,1.7,6.185,29.27,0.645,16.26,0.896,1.5215
oshima,1,3,34.767,2,1.0,35.56,52.15,1414.1,28.705,50.63,0.685,1.82,5.305,24.42,0.685,4.495,0.986,
oshima,1,4,34.767,1,0.0,47.16,65.36,2424.4,36.75,64.09,0.72,1.78,8.64,29.41,0.62,39.65,0.467,0.963
oshima,1,5,34.767,2,0.0,39.115,60.87,1889.8,33.91,58.0,0.645,1.795,5.6,24.98,0.635,13.905,0.7935,1.212
oshima,4,1,34.7844,2,0.5,44.875,63.75,2253.5,36.62,61.72,0.705,1.755,5.59,23.365,0.525,12.91,0.4285,1.1145
oshima,4,2,34.7844,2,1.0,37.975,64.6,1998.8,37.76,62.655,0.585,1.715,3.68,22.13,0.58,61.0,0.2275,1.222
oshima,4,3,34.7844,2,0.5,34.5,55.28,1524.0,31.115,51.65,0.625,1.78,5.66,22.635,0.655,37.35,0.4055,1.0585
oshima,4,4,34.7844,1,1.0,33.53,50.8,1391.6,32.0,46.74,0.66,1.59,5.5,22.42,0.67,34.03,0.204,1.201
oshima,4,5,34.7844,2,0.5,33.14,61.32,1487.5,33.275,57.53,0.54,1.945,5.715,21.385,0.645,17.075,0.5785,2.168
oshima,5,1,34.7846,2,0.5,31.79,49.95,1296.4,29.8,50.84,0.635,1.675,3.235,22.875,0.72,3.01,0.756,1.195
oshima,5,2,34.7846,1,1.0,31.07,44.7,1124.4,25.06,42.5,0.7,1.78,4.44,25.18,0.81,15.06,0.422,1.32
oshima,5,3,34.7846,2,0.5,33.02,55.71,1521.3,35.815,51.645,0.595,1.585,3.91,22.98,0.695,5.915,0.682,1.587
oshima,6,1,34.7854,2,1.0,33.105,50.37,1313.6,26.84,47.92,0.66,1.88,4.485,22.19,0.67,21.435,0.5885,1.4575
oshima,6,2,34.7854,2,1.0,32.51,49.7,1296.9,27.605,47.33,0.655,1.81,5.08,21.57,0.665,9.835,0.911,1.9125
oshima,6,3,34.7854,2,0.0,29.805,46.14,1089.5,25.61,43.9,0.645,1.8,4.53,20.61,0.69,16.59,0.717,2.0665
oshima,7,1,34.7884,2,0.5,27.94,48.26,1071.8,30.815,44.87,0.575,1.58,4.48,22.37,0.8,17.815,0.6925,1.95
oshima,7,2,34.7884,2,1.0,27.175,50.2,1092.0,25.655,51.22,0.54,1.97,3.215,14.78,0.545,15.605,0.6845,1.395
oshima,7,3,34.7884,2,0.5,30.015,52.49,1248.9,29.04,50.29,0.57,1.84,4.745,19.29,0.645,85.11,0.25,1.1205
oshima,8,1,34.7208,2,0.5,30.65,45.97,1193.9,29.97,44.45,0.67,1.535,3.045,20.87,0.68,45.07,0.3685,1.456
oshima,8,2,34.7208,2,0.5,32.935,45.97,1284.1,29.21,46.65,0.715,1.575,1.945,21.425,0.655,66.505,0.265,0.989
oshima,8,3,34.7208,2,1.0,37.72,51.56,1640.7,35.855,50.12,0.73,1.45,4.395,24.755,0.66,23.205,0.4295,1.0965
oshima,8,4,34.7208,2,1.0,38.25,56.98,1668.1,35.855,53.93,0.67,1.59,4.44,22.305,0.585,53.205,0.1935,0.92
oshima,8,5,34.7208,2,1.0,31.96,41.41,1110.6,27.305,39.54,0.77,1.52,3.485,22.305,0.7,39.935,0.3945,1.232
oshima,8,6,34.7208,2,0.5,31.285,48.85,1217.5,30.82,48.515,0.65,1.575,3.975,21.105,0.675,52.06,0.371,1.292
oshima,8,7,34.7208,2,0.0,31.155,48.09,1246.4,28.955,46.61,0.65,1.66,4.925,19.34,0.625,21.815,0.4365,1.807
oshima,8,8,34.7208,2,0.5,33.825,55.88,1506.4,37.635,51.475,0.61,1.485,4.445,18.215,0.54,16.02,0.6575,1.5045
oshima,9,1,34.6858,2,1.0,32.935,45.8,1286.5,35.05,44.45,0.72,1.31,3.345,20.13,0.6,11.09,0.7545,1.3375
oshima,9,2,34.6858,2,0.5,42.33,54.78,1897.7,34.29,54.185,0.775,1.6,4.995,21.9,0.52,50.245,0.3525,1.225
oshima,9,3,34.6858,2,0.0,41.105,51.3,1766.1,33.23,49.445,0.81,1.54,3.64,22.245,0.545,31.895,0.5755,1.1755
oshima,10,1,34.6846,1,1.0,33.87,43.68,1143.8,26.84,43.52,0.78,1.63,4.09,20.54,0.61,44.48,0.312,1.25
oshima,10,2,34.6846,2,0.5,39.16,53.17,1660.9,32.13,51.73,0.735,1.655,4.245,22.165,0.565,33.83,0.322,1.513
oshima,11,1,34.6964,2,1.0,37.805,54.27,1673.1,32.425,53.595,0.695,1.69,4.16,22.655,0.6,62.895,0.3065,1.154
oshima,11,2,34.6964,2,0.5,38.52,50.72,1556.9,30.015,45.635,0.76,1.69,6.275,22.02,0.57,43.265,0.268,1.189
oshima,11,3,34.6964,2,0.5,23.88,42.08,810.7,27.645,40.895,0.565,1.52,2.67,14.28,0.595,57.29,0.298,1.1785
oshima,11,4,34.6964,2,0.5,32.68,44.79,1156.1,31.115,35.22,0.73,1.44,7.99,19.86,0.605,69.81,0.306,1.1475
oshima,12,1,34.7832,2,0.5,34.545,46.31,1316.9,27.77,44.28,0.745,1.67,3.3,26.68,0.78,39.14,0.384,1.445
oshima,12,2,34.7832,2,1.0,40.47,51.4,1755.7,37.72,48.765,0.79,1.365,5.925,22.975,0.57,60.985,0.259,1.1415
oshima,13,1,34.7712,2,0.0,35.69,49.87,1520.9,26.8,49.655,0.72,1.86,3.935,21.6,0.605,4.015,0.7245,2.182
oshima,13,2,34.7712,1,0.0,32.09,52.32,1346.8,31.83,48.43,0.61,1.64,4.33,23.12,0.72,14.46,0.31,1.013
oshima,13,3,34.7712,2,0.5,30.73,50.04,1213.5,26.755,49.195,0.615,1.885,1.57,22.245,0.73,11.9,0.2795,1.376
