sheet,corolla_id,iphone_file,match_iou,corolla_length_mm,corolla_width_obs_mm,corolla_area_obs_mm2,corolla_width_fulleq_mm,corolla_area_fulleq_mm2,fold_state
niijiama2-4,3,HEIF画像 2.heic,0.933,25.32,17.1,361.7,34.21,723.3,folded_half
niijiama2-4,4,HEIF画像 4.heic,0.943,24.98,19.56,401.2,39.12,802.4,folded_half
niijiama2-4,5,HEIF画像 5.heic,0.93,27.16,24.61,479.7,49.22,959.4,folded_half
niijiama2-4,6,HEIF画像 7.heic,0.914,24.72,19.3,399.0,38.61,797.9,folded_half
niijiama2-4,7,HEIF画像 6.heic,0.905,24.55,21.51,457.9,43.01,915.8,folded_half
niijima2,1,HEIF画像 5.heic,0.933,29.04,25.65,565.9,51.31,1131.7,folded_half
niijima2,2,HEIF画像 7.heic,0.928,29.21,24.13,555.1,48.26,1110.1,folded_half
niijima2,3,HEIF画像 3.heic,0.902,32.09,22.86,544.9,45.72,1089.8,folded_half
niijima2,4,HEIF画像 9.heic,0.922,38.02,31.67,915.7,63.33,1831.4,folded_half
niijima2,5,HEIF画像 6.heic,0.934,31.24,29.63,676.8,59.27,1353.6,folded_half
niijima2,6,HEIF画像.heic,0.608,61.89,33.53,1723.7,67.06,3447.3,folded_half
niijima2,7,HEIF画像 4.heic,0.904,32.85,26.42,657.5,52.83,1315.1,folded_half
niijima2,8,HEIF画像 13.heic,0.92,30.99,29.29,705.5,58.59,1411.0,folded_half
niijima2,9,HEIF画像 17.heic,0.683,53.51,29.38,1388.5,58.76,2776.9,folded_half
niijima2,10,HEIF画像 12.heic,0.909,31.41,27.35,634.8,54.69,1269.7,folded_half
niijima2,11,HEIF画像 10.heic,0.898,31.24,26.33,623.9,52.66,1247.7,folded_half
niijima2,12,HEIF画像 14.heic,0.931,27.69,23.71,546.8,47.41,1093.6,folded_half
niijima2,13,HEIF画像 15.heic,0.939,28.87,22.94,493.0,45.89,986.0,folded_half
niijima2,14,HEIF画像 16.heic,0.92,28.53,25.57,533.1,51.14,1066.1,folded_half
niijima2,15,HEIF画像 8.heic,0.92,26.84,23.79,487.5,47.58,975.1,folded_half
oshima1,1,HEIF画像.heic,0.925,49.95,34.63,1335.3,69.26,2670.7,folded_half
oshima1,2,HEIF画像 2.heic,0.91,47.41,34.21,1255.9,68.41,2511.7,folded_half
oshima1,3,HEIF画像 3.heic,0.902,45.13,36.58,1304.0,73.15,2608.0,folded_half
oshima1,4,HEIF画像 4.heic,0.916,45.21,30.73,1098.0,61.47,2196.0,folded_half
oshima1(2),1,HEIF画像 2.heic,0.909,35.48,25.4,700.9,50.8,1401.8,folded_half
oshima1(2),2,HEIF画像.heic,0.911,35.64,26.75,713.2,53.51,1426.3,folded_half
oshima1(2),3,HEIF画像 3.heic,0.942,47.16,32.68,1212.2,65.36,2424.4,folded_half
oshima1(2),4,HEIF画像 4.heic,0.858,40.3,31.24,968.3,62.48,1936.5,folded_half
oshima1(2),5,HEIF画像 5.heic,0.939,37.93,29.63,921.5,59.27,1843.0,folded_half
oshima10-13,1,133.JPG,0.931,33.87,21.84,571.9,43.69,1143.8,folded_half
oshima10-13,2,134.JPG,0.921,39.03,26.25,805.7,52.49,1611.4,folded_half
oshima10-13,3,135.JPG,0.949,39.29,26.92,855.2,53.85,1710.3,folded_half
oshima10-13,4,136.JPG,0.949,39.71,26.75,859.4,53.51,1718.7,folded_half
oshima10-13,5,137.JPG,0.962,35.9,27.52,813.7,55.03,1627.3,folded_half
oshima10-13,6,138.JPG,0.898,38.18,24.81,741.0,49.61,1482.0,folded_half
oshima10-13,7,149.JPG,0.854,38.86,25.91,815.9,51.82,1631.9,folded_half
oshima10-13,8,140.JPG,0.937,24.05,21.08,417.6,42.16,835.3,folded_half
oshima10-13,9,141.JPG,0.92,23.71,21.0,393.1,41.99,786.2,folded_half
oshima10-13,10,142.JPG,0.915,31.24,22.44,583.2,44.87,1166.3,folded_half
oshima10-13,11,143.JPG,0.849,34.12,22.35,572.9,44.7,1145.8,folded_half
oshima10-13,12,145.JPG,0.943,32.26,23.11,628.6,46.23,1257.2,folded_half
oshima10-13,13,139.JPG,0.945,36.83,23.2,688.3,46.4,1376.6,folded_half
oshima10-13,14,146.JPG,0.932,41.57,26.42,897.3,52.83,1794.7,folded_half
oshima10-13,15,147.JPG,0.944,39.37,24.98,858.4,49.95,1716.8,folded_half
oshima10-13,16,148.JPG,0.901,34.8,22.18,599.3,44.37,1198.6,folded_half
oshima10-13,17,144.JPG,0.923,36.58,27.69,921.6,55.37,1843.3,folded_half
oshima10-13,18,150.JPG,0.924,32.09,26.16,673.4,52.32,1346.8,folded_half
oshima13-15,1,125.JPG,0.911,32.0,23.88,584.7,47.75,1169.3,folded_half
oshima13-15,2,122.JPG,0.873,40.64,30.73,902.9,61.47,1805.9,folded_half
oshima13-15,3,123.JPG,0.901,33.87,26.08,702.5,52.15,1405.0,folded_half
oshima13-15,4,121.JPG,0.929,29.46,26.16,628.8,52.32,1257.7,folded_half
oshima13-15,5,124.JPG,0.964,37.42,28.7,878.4,57.4,1756.9,folded_half
oshima13-15,6,131.JPG,0.904,43.26,31.41,1056.8,62.82,2113.6,folded_half
oshima13-15,7,126.JPG,0.932,37.34,26.25,803.5,52.49,1607.0,folded_half
oshima13-15,8,120.JPG,0.878,41.99,28.62,1029.3,57.23,2058.6,folded_half
oshima13-15,9,128.JPG,0.933,42.08,32.17,1099.0,64.35,2198.0,folded_half
oshima13-15,10,129.JPG,0.916,47.92,27.52,1034.3,55.03,2068.7,folded_half
oshima13-15,11,130.JPG,0.925,48.68,31.16,1145.8,62.31,2291.7,folded_half
oshima13-15,12,127.JPG,0.928,44.11,30.73,1078.2,61.47,2156.5,folded_half
oshima13-15,13,132.JPG,0.922,42.5,29.72,1013.7,59.44,2027.4,folded_half
oshima4,1,HEIF画像.heic,0.942,44.79,31.75,1159.7,63.5,2319.5,folded_half
oshima4,2,HEIF画像 5.heic,0.923,34.37,28.02,760.1,56.05,1520.1,folded_half
oshima4,3,HEIF画像 6.heic,0.94,34.63,27.26,763.9,54.53,1527.8,folded_half
oshima4,4,HEIF画像 2.heic,0.949,44.96,32.0,1093.8,64.01,2187.6,folded_half
oshima4,5,HEIF画像 3.heic,0.959,38.61,33.61,1066.4,67.23,2132.8,folded_half
oshima4,6,HEIF画像 7.heic,0.919,33.53,25.4,695.8,50.8,1391.6,folded_half
oshima4,7,HEIF画像 4.heic,0.934,37.34,30.99,932.4,61.98,1864.9,folded_half
oshima4,8,HEIF画像 8.heic,0.582,52.32,31.75,1549.0,63.5,3097.9,folded_half
oshima5,1,HEIF画像.heic,0.913,31.75,25.99,661.0,51.99,1322.0,folded_half
