sheet,corolla_id,fold_state,corolla_length_mm,corolla_width_fulleq_mm,throat_width_mm,mouth_width_mm,corolla_aspect_L_W,tube_flare_W_throat,lobe_incision_mm,lobe_incision_ratio,organ_corolla_ratio
niijiama1-2,14,folded_half,28.53,46.74,26.33,45.72,0.61,1.78,4.57,0.16,0.63
niijiama1-2,15,folded_half,27.26,44.88,26.59,45.97,0.61,1.69,4.66,0.17,0.6
niijiama1-2,16,folded_half,24.81,45.38,26.92,45.04,0.55,1.69,2.88,0.12,0.64
niijiama1-2,17,opened_full,32.0,51.39,31.58,32.09,0.62,1.63,10.34,0.32,0.53
niijiama2-4,1,folded_half,25.15,40.8,25.74,40.56,0.62,1.59,3.22,0.13,0.32
niijiama2-4,2,folded_half,24.81,39.96,25.06,39.29,0.62,1.59,3.44,0.14,0.52
niijiama2-4,3,folded_half,25.32,34.2,21.51,33.02,0.74,1.59,5.14,0.2,0.52
niijiama2-4,4,folded_half,24.98,39.12,25.74,36.66,0.64,1.52,2.88,0.12,0.65
niijiama2-4,5,folded_half,27.16,49.22,24.89,46.23,0.55,1.98,3.56,0.13,0.59
niijiama2-4,6,folded_half,24.72,38.6,27.86,33.36,0.64,1.39,4.68,0.19,0.64
niijiama2-4,7,folded_half,24.55,43.02,23.03,39.2,0.57,1.87,2.43,0.1,0.62
niijima2,1,folded_half,29.04,51.3,29.38,51.05,0.57,1.75,4.91,0.17,0.64
niijima2,2,folded_half,29.21,48.26,28.96,47.16,0.61,1.67,6.6,0.23,0.66
niijima2,3,folded_half,32.09,45.72,19.9,46.74,0.7,2.3,5.16,0.16,0.52
niijima2,4,folded_half,38.02,63.34,33.02,64.52,0.6,1.92,6.03,0.16,0.5
niijima2,5,folded_half,31.24,59.26,31.07,58.08,0.53,1.91,4.91,0.16,0.57
niijima2,6a,folded_half,39.88,66.72,35.56,64.77,0.6,1.88,7.28,0.18,0.45
niijima2,6b,folded_half,34.51,57.6,31.67,57.07,0.6,1.82,4.57,0.13,0.56
niijima2,7,folded_half,32.85,52.84,27.94,50.38,0.62,1.89,6.18,0.19,0.57
niijima2,8,folded_half,30.99,58.58,33.19,58.76,0.53,1.77,4.57,0.15,0.61
niijima2,9a,folded_half,32.85,58.58,37.08,57.91,0.56,1.58,4.32,0.13,0.57
niijima2,9b,folded_half,29.53,54.46,30.31,52.24,0.54,1.8,4.15,0.14,0.52
niijima2,10,folded_half,31.41,54.7,29.8,54.19,0.57,1.84,5.0,0.16,0.55
niijima2,11,folded_half,31.24,52.66,25.06,52.15,0.59,2.1,7.34,0.23,0.56
niijima2,12,folded_half,27.69,47.42,30.48,47.58,0.58,1.56,1.86,0.07,0.54
niijima2,13,folded_half,28.87,45.88,25.4,45.04,0.63,1.81,4.4,0.15,0.58
niijima2,14,folded_half,28.53,51.14,26.42,50.46,0.56,1.94,5.25,0.18,0.62
niijima2,15,folded_half,26.84,47.58,25.4,46.74,0.56,1.87,4.83,0.18,0.58
oshima1,1,folded_half,49.95,69.26,37.93,66.55,0.72,1.83,8.45,0.17,0.59
oshima1,2,folded_half,47.41,68.42,37.76,64.52,0.69,1.81,6.43,0.14,0.61
oshima1,3,folded_half,45.13,73.16,42.16,70.78,0.62,1.74,5.84,0.13,0.64
oshima1,4,folded_half,45.21,61.46,37.08,58.42,0.74,1.66,6.53,0.14,0.65
