sheet,shimask_path,raw_path,island_folder,status,return_code,n_traits,n_organs,n_spot_summaries,error
kozu1,shimask/kozu1.jpg,shimahotarubukuro/kozushima/kozu1.jpg,kozushima,success,0,10,10,10,
kozu2,shimask/kozu2.jpg,shimahotarubukuro/kozushima/kozu2.jpg,kozushima,success,0,9,9,9,
niijiama1-2,shimask/niijiama1-2.jpg,shimahotarubukuro/niijima/niijima1~2.jpg,niijima,success,0,17,17,17,
niijiama2-4,shimask/niijiama2-4.jpg,shimahotarubukuro/niijima/niijima2~4.jpg,niijima,success,0,7,7,7,
niijima2,shimask/niijima2.jpg,shimahotarubukuro/niijima/niijima2.jpg,niijima,success,0,15,17,15,
oshima1(2),shimask/oshima1(2).jpg,shimahotarubukuro/oshima/oshima1(2).jpg,oshima,success,0,5,6,5,
oshima1,shimask/oshima1.jpg,shimahotarubukuro/oshima/oshima1.jpg,oshima,success,0,4,4,4,
oshima10-13,shimask/oshima10-13.jpg,shimahotarubukuro/oshima/oshima10~13.jpg,oshima,success,0,18,18,18,
oshima13-15,shimask/oshima13-15.jpg,shimahotarubukuro/oshima/oshima13~15.jpg,oshima,success,0,13,14,13,
oshima4,shimask/oshima4.jpg,shimahotarubukuro/oshima/oshima4.jpg,oshima,success,0,8,9,8,
oshima5,shimask/oshima5.jpg,shimahotarubukuro/oshima/oshima5.jpg,oshima,success,0,5,5,5,
oshima6,shimask/oshima6.jpg,shimahotarubukuro/oshima/oshima6.jpg,oshima,success,0,6,6,6,
oshima7,shimask/oshima7.jpg,shimahotarubukuro/oshima/oshima7.jpg,oshima,success,0,6,6,6,
oshima8-9,shimask/oshima8-9.jpg,shimahotarubukuro/oshima/oshima8~9.jpg,oshima,success,0,14,13,14,
oshima8,shimask/oshima8.jpg,shimahotarubukuro/oshima/oshima8.jpg,oshima,success,0,8,8,8,
shikine1,shimask/shikine1.jpg,shimahotarubukuro/shikinejima/shikine1~4.jpg,shikinejima,success,0,6,4,6,
toshima1-2,shimask/toshima1-2.jpg,shimahotarubukuro/toshima/toshima1~2.jpg,toshima,success,0,17,17,17,
toshima2-3,shimask/toshima2-3.jpg,shimahotarubukuro/toshima/toshima2~3.jpg,toshima,success,0,16,16,16,
toshima3-6,shimask/toshima3-6.jpg,shimahotarubukuro/toshima/toshima3~6.jpg,toshima,success,0,15,15,15,
toshima6-8,shimask/toshima6-8.jpg,shimahotarubukuro/toshima/toshima6~8.jpg,toshima,success,0,15,15,15,
