sheet,corolla_id,island,n_guide_px,basal_frac_prox_third,rand_basal_frac,mean_along_length_pos,midline_ratio_all,midline_ratio_distal,distal_midline_p
kozu1,1,Kozushima,2963,0.142,0.283,0.525,1.497,1.579,1.43e-58
kozu1,2,Kozushima,8503,0.176,0.288,0.56,1.26,1.444,3.03e-39
kozu1,3,Kozushima,10497,0.245,0.285,0.499,1.129,1.127,7.00e-10
kozu1,4,Kozushima,3353,0.054,0.28,0.658,1.351,1.437,2.33e-22
kozu1,5,Kozushima,1601,0.22,0.325,0.539,1.728,1.423,8.15e-19
kozu1,6,Kozushima,7427,0.167,0.294,0.544,1.412,1.661,8.82e-92
kozu1,7,Kozushima,9972,0.387,0.292,0.46,1.398,1.748,5.30e-101
kozu1,8,Kozushima,3472,0.292,0.298,0.415,1.017,1.099,6.19e-18
kozu1,9,Kozushima,1308,0.239,0.288,0.511,1.623,1.636,1.18e-40
kozu1,10,Kozushima,5134,0.246,0.269,0.489,1.192,1.048,1.02e-01
kozu2,1,Kozushima,4352,0.372,0.306,0.48,1.533,1.524,8.30e-41
kozu2,2,Kozushima,1263,0.129,0.321,0.642,1.23,0.99,1.00e+00
kozu2,3,Kozushima,5267,0.513,0.376,0.402,1.537,1.469,1.92e-31
kozu2,5,Kozushima,3991,0.252,0.305,0.546,1.328,1.274,3.38e-05
kozu2,6,Kozushima,3072,0.345,0.291,0.513,1.028,1.023,1.00e+00
kozu2,7,Kozushima,6023,0.083,0.33,0.694,1.33,1.338,1.17e-04
kozu2,8,Kozushima,4371,0.124,0.283,0.638,1.507,1.385,3.35e-15
kozu2,9,Kozushima,8068,0.05,0.237,0.696,1.035,0.987,1.00e+00
niijiama1-2,1,Niijima,9312,0.458,0.367,0.373,1.358,1.334,2.35e-23
niijiama1-2,2,Niijima,15291,0.417,0.316,0.475,1.176,1.439,8.22e-31
niijiama1-2,3,Niijima,39848,0.4,0.272,0.437,1.166,1.171,9.02e-11
niijiama1-2,4,Niijima,426,0.0,0.282,0.564,2.127,2.332,4.49e-41
niijiama1-2,5,Niijima,204,0.201,0.254,0.482,4.162,4.844,2.98e-31
niijiama1-2,10,Niijima,43477,0.31,0.265,0.461,1.233,1.482,1.34e-155
niijiama1-2,11,Niijima,25605,0.426,0.271,0.404,1.235,1.428,1.31e-97
niijiama1-2,12,Niijima,5950,0.818,0.295,0.223,1.29,2.814,1.60e-107
niijiama1-2,13,Niijima,13319,0.47,0.24,0.402,1.224,1.645,1.24e-123
niijiama1-2,14,Niijima,26790,0.404,0.271,0.414,1.318,1.61,6.59e-123
niijiama1-2,15,Niijima,36501,0.328,0.292,0.443,1.131,1.182,4.25e-55
niijiama1-2,16,Niijima,23308,0.385,0.275,0.43,1.183,1.344,3.25e-64
