stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,32116,255,228.0,164.0,255.0,0,137.0,14.0,229.0,35,124.0,19.0,222.0
green_reproductive_organ,11338,60,122.0,35.0,230.0,255,211.0,13.0,255.0,0,91.5,10.9,217.0
